rank,band,score,confidence,name,domain,website,seed_lead_score,GOLD_pts,TierA_pts,TierB_pts,TierC_pts,raw_before_caps,caps_applied,pre2024_basis,has_careers_page,jd_chars,public_repo,evidence,why_this_rank,promoted_from_skip
11,Priority,70,Inferred,Ketek,ketek.ro,https://www.ketek.ro/,8,25,20,15,10,70,,PROVEN — Wayback 2023-06 'Software Development Outsourcing Company - Ketek',yes,20951,,"Blog post: 'use some CI/CD scripts which will deploy our mic[roservices]' | Site: DevOps Outsourcing a named service line in main nav | Site: analysis, architecture, UX, coding, development operations | Site: since 2006 consulting for GE Healthcare; travel, printing verticals","Top of the shard and the only firm here with a genuine engineering blog post — an actual write-up of CI/CD scripts deploying microservices — which is the Tier A signal everything else lacks. Confidence stays Inferred, not Verified, because no private-repo host or explicit review gate is named anywhere; the 21k-char careers page was collected but yielded no signals, so re-scraping it is the highest-value next step on this record.",
12,Priority,70,Inferred,OceanoBe Technology,oceanobe.com,https://oceanobe.com/,8,10,0,40,20,70,,"No Wayback snapshot and no RDAP record; treated as MISSING, so weak +10 and explicitly no cap at 45.",,0,https://github.com/oceanobe,"Process page: 'regular knowledge sessions, code reviews and daily stand up' | Own site lists Senior Java Engineer in Banking opening (site_quotes.enterprise) | Process names DevOps, Release Management, Software Environment (site_quotes.sdlc) | No Wayback or RDAP record; pre-2024 unverified (tier_gold UNKNOWN)","Ties for top of batch despite the weakest GOLD evidence, because it is the only firm here that names an explicit review gate ('code reviews') in its own process copy. That was scored under Tier B +25 rather than Tier A, since it appears on the ways-of-working page rather than inside a job description, which is also why confidence stays Inferred. has_careers_page reads false, yet named engineering openings sit on the site itself. Pre-2024 is unverified rather than disproven, so the 45 cap was correctly withheld; that is the one thing worth checking before contact.",
13,Priority,70,Inferred,Sensidev,sensidev.com,https://sensidev.com/,8,25,0,35,10,70,"generalist-agency cap examined, not applied - DQ_agency quote is their own 2021 rebrand timeline",PROVEN - Wayback 2023-06-01 homepage reads 'Web & Mobile App Development Company',yes,26188,,"JD: 'Proficient in using version control systems like Git' | JD: Clean Code, TDD, SOLID named as quality standards | Site testimonial: 'code reviews by senior devs' shortened time-to-market | Wayback 2023: 'Web & Mobile App Development Company'","The only firm in this batch with substantive JD engineering content (26k chars, Git plus TDD), which is what lifts it above a pool where almost nobody publishes JDs. Confidence stays Inferred because the JD names no private-repo host and no explicit review gate - the code-review line is a client testimonial, not the firm describing its own workflow.",
14,Priority,70,Inferred,SOFTECH,softech.ro,https://softech.ro/,9,10,0,50,10,70,,"Wayback 2023-06-01 exists but quote is CSS, not software prose - downgraded to +10",yes,52048,,"Site: 'CI, CD, automated testing, infrastructure as code' DevOps practices | Site: 'DevOps, CI/CD, Microservices, Containerization (Docker, Kubernetes), Observability' | JD: DevOps Engineer role citing automation and continuous integration | Site: banking, finance, energy, IoT and security verticals","PROVEN was downgraded to the weak +10 because the captured Wayback quote is stylesheet text, not prose advertising software - though the CSS references a portfolio grid, so the 1998 founding claim is plausible and a better snapshot would likely restore +25 and push this to 85. Still clears Priority on genuine DevOps substance. The DQ_support hit is a conference-topics list, not their service bundle.",
15,Priority,70,Inferred,Zitec,zitec.com,https://zitec.com/,9,25,0,25,20,70,,"Wayback 2023-06-01 service menu explicitly lists Software Development, Mobile Development, Quality Assurance and Cloud Services; corroborated by 2003 founding and a dated 2016-2018 company timeline.",yes,24893,,"Wayback 2023 menu names Software Development, QA, Cloud (tier_gold quote) | Owns Mirro HR SaaS, spun off 2018 (site_quotes.owns_product) | Banking client Nexent, UX-award case study (site_quotes.enterprise) | 24.9k-char careers page, no VCS or review keywords (jd)","The DQ_agency hit is a timeline entry about acquiring a design/marketing agency in 2016-2017, not current bundled SEO/PPC positioning, so the cap-at-30 was deliberately NOT applied; applying it mechanically would sink the strongest firm in the batch. Top of batch on Tier GOLD plus real product ownership and a DevOps/QA service line; stays Inferred because a 24.9k-char careers corpus yielded no repo-host or review-gate wording.",
16,Secondary,65,Inferred,Ascendro,ascendro.de,https://www.ascendro.de/,8,25,20,10,10,65,,Own blog post dated June 13 2023 on agile estimation — dated pre-2024 artefact,,0,,"Blog post dated 'June 13, 2023 Estimation methods for agile development' | 'TISAX-certified, ISO 27001-compliant, EU-based' (site_quotes compliance) | Blog: Node.js/Docker open-source tool, R&D findings published | Automotive Tier 1/2, fintech, healthcare, insurance clients named","Strongest firm in the batch and the only one clearing Secondary on substance. Two judgment calls drive it. First, Tier GOLD was upgraded from the harvester's EXISTED_NO_SW_WORDING to the full +25 because their own site carries a June 2023 dated blog post, which satisfies the dated-artefact test directly regardless of what the Wayback snapshot showed. Second, the DQ_support hits (IT Support Specialist, Network Engineer, Systems Administrator staffing) literally match the generalist-agency wording, but the cap-30 was deliberately NOT applied: software delivery is plainly core here (TISAX/ISO 27001 for automotive software, a decade of technical posts, R&D publications), and the support roles are one vertical of a nearshore staffing menu, not a helpdesk business with dev bolted on. The Tier A +20 is for a genuine engineering blog, though its topics are agile estimation and Dockerised tooling rather than PR workflow specifically — slightly adjacent to the rubric's named subjects. No careers page was found, so Tier A JD points and Verified confidence remain out of reach.",
17,Secondary,63,Inferred,InnovatorSpark SRL,innovatorspark.com,https://innovatorspark.com/,8,25,0,20,18,63,,PROVEN — Wayback 2023-06-01 body copy 'more than a software company',yes,11863,,Site: HIPAA/GDPR-aligned development for regulated healthcare clients | Site: continuous testing in Agile sprints; QA Lead on team | Site: owns Drugs Audit cloud platform with custom builder | JD: 12k-char careers page with no Git or CI/CD wording,,
18,Secondary,63,Inferred,mindit.io,mindit.io,https://mindit.io/,9,10,0,35,18,63,,"Wayback 2023-06-01 quote is nav text ('DEVOPS EXPERTISE', 'CAREERS') - downgraded to +10",yes,113525,,"JD: 'Familiarity with MLOps practices (MLflow, CI/CD for ML)' | Site: 'earned ISO9001 certification' (2022 milestone) | Site: 'our accelerators'; proprietary manufacturing and telecom products | 113k chars of JDs produced two engineering signals total","PROVEN was downgraded because the snapshot captured only navigation, though that nav does list 'Development Teams' and 'DevOps expertise' pre-2024, so this is a collection artifact rather than doubt about the firm - a better snapshot would add 15. The bigger drag is that 113k characters of job descriptions yielded one CI/CD mention: for a 250-engineer firm the careers content reads as data/BI consultancy staffing, not product engineering discipline.",
19,Secondary,60,Inferred,7code,7code.ro,https://www.7code.tech/,8,25,0,15,20,60,,Wayback 2023-06-01 tagline fragment 'modern way to build digital products',,0,https://github.com/7codeRO; https://github.com/7code,"No careers page at all; zero JD characters collected | Site: 'Two-week sprints with continuous deployment'; pgvector, Pinecone pipelines | Site: '8+ yrs engineering practice', European Parliament e-voting work | Note: public github.com/7codeRO org - scores zero","Held down purely by having no careers page - there is no JD text in existence for this firm, so the +25 Tier B and all of Tier A were unreachable regardless of how they actually work. What the site does show (continuous deployment per sprint, real AI infrastructure, e-voting and HIPAA-grade delivery) is stronger than the 60 suggests. Blog and team pages exist so the cap-at-40 does not apply.",
20,Secondary,60,Inferred,Areus Development,areusdev.com,https://areusdev.com/,8,25,0,25,10,60,,Wayback 2020-06-01: 'Areus - Custom Software Development Services',yes,12188,,"Site: 'automated testing and CI/CD pipelines for banking platforms' (Raiffeisen) | Site: 'DevOps & cloud services (migration, automation), QA & testing' | JD: 'Experience in TDD, BDD' - no Git or review gate | Site: 'Managed IT services... IT management team available 24/7'","Held down by a careers page that repeats one Senior .NET role and never mentions Git, CI/CD or code review, so the +25 Tier B JD point could not be awarded. I considered the generalist cap for the managed-IT/24-7 service card but did not apply it: their Wayback identity and hero are custom software development, with managed IT one of six lines. Note the IKEA/Allianz/Dell testimonials read as boilerplate and are worth verifying.",
21,Secondary,60,Inferred,Arnia Software,arnia.com,https://www.arnia.com/,8,10,0,35,15,60,,EXISTED_NO_SW_WORDING — Wayback 2023-06-01 snapshot without software wording,yes,117679,https://github.com/twbs,JD: 'Experience with Git and CI/CD' in two roles | JD: Senior QA Automation Engineer / QA Enablement Lead role | Site: Fortune 500 and Forbes 50 clients named | Site: SFMC platform engineering role; Agile/Scrum process page,"118k characters of job descriptions yielded only 'Experience with Git and CI/CD' — no private host and no review gate, which is what keeps a long-established outsourcer out of Priority.",
22,Secondary,60,Inferred,BitStone SRL,bitstone.com,https://bitstone.com/,8,25,0,25,10,60,,Wayback 2023-06-01 snapshot page title reads 'BitStone - Software Development'; seed claims operation since 2006.,yes,20641,,"2023 snapshot title: 'BitStone - Software Development' (tier_gold quote) | Named infra: Kubernetes, Prometheus, Grafana, Kuma (site_quotes.cicd) | Cross-functional Agile team across entire SDLC, 10-12 members (site_quotes.sdlc) | 20.6k-char careers page, no repo-host or review wording (jd)","All three DQ flags were checked and rejected as extraction artefacts: DQ_agency is Digital Marketing listed as a client industry, DQ_bpo quotes describe a client's manual data entry that BitStone automated away plus a PIM import feature, DQ_training is a student internship programme. Applying any of those caps mechanically would have wrongly buried a firm whose named Kubernetes/Prometheus/Grafana stack is the most concrete DevOps evidence in the batch.",
23,Secondary,60,Inferred,ConturSoft,contursoft.com,https://contursoft.com/,8,25,0,25,10,60,,PROVEN — Wayback 2023-06-01 title 'Custom Software Development Company - ConturSoft',yes,8267,,"Site: 'code reviews, product support, or system upgrades' offered | Site: QA team focused on quality and long-term scalability | Site: product engineering process from strategy to programming | JD: 8k-char careers page with no VCS wording",,
24,Secondary,60,Inferred,rinf.tech,rinf.tech,https://www.rinf.tech/,9,25,0,25,10,60,,PROVEN — Wayback 2023-06-01 title 'Custom Software Development Company in Romania',yes,25100,,"Wayback 2023: page title advertises custom software development | Site: embedded testing, QA audits, manual and automation testing | Site: 'your team owns the pipeline we design' enablement track | JD: 25k chars careers text, no Git or review wording",,
25,Secondary,60,Inferred,Thinslices,thinslices.com,https://www.thinslices.com/,8,25,0,20,15,60,,PROVEN — Wayback 2023-06-01 title 'We build digital products',yes,67408,,"Site: 'test-driven development, peer programming' named as practice | Site: QA, DevOps, Agile PM as named maintain services | Site: fintech clients SaaScada, Tuum, Yapily; established 2010 | Site 'pipeline' hits are sales-role job ads, not CI/CD","67k characters of careers content with zero Git, CI/CD or review wording is why it earns no Tier A despite being one of the more mature firms here (est. 2010, core-banking clients).",
26,Secondary,58,Inferred,UPDIVISION,updivision.com,https://updivision.com/,8,10,0,30,18,58,,Wayback 2023-06-01 quote is nav text only - downgraded to +10,yes,12177,,"Site: 'We use Gitflow for faster project onboarding' | Site: Docker and Kubernetes 'to automate the software deployment, scaling' | Careers page 12k chars, zero engineering signals | Site nav carries 'Products' and 'Open Source' sections","GitFlow is a named branching strategy and the clearest process evidence here, but it sits in about-page prose rather than a JD, so it was credited at a reduced site-level +15 and confidence stays Inferred. PROVEN downgraded because the snapshot captured only navigation. Flagging a fit concern the score does not express: they publish open-source products and sell AI code-review agents, so part of their codebase is already public, which cuts against buying a never-public one.",
27,Secondary,55,Inferred,Around25,around25.com,https://www.around25.com/,7,10,20,15,10,55,"generalist-agency cap examined, not applied - the SEO item is a technical blog post, not a service line","EXISTED_NO_SW_WORDING - archived 2022-06-01 without software wording; the site's '15+ years' / since-2006 claim is an uncorroborated founding claim, so weak +10",yes,4072,https://github.com/Around25,"Blog: 'How to do CI/CD in GitLab' - pipelines, pages | Blog: Kubernetes Horizontal Pod Autoscaler cost post | Site: MVPs grown into products used by Fortune 500 | Careers GitHub line is open-source perk, not process","Ranks second on its engineering blog alone: real posts on GitLab CI/CD pipelines and Kubernetes autoscaling earn Tier A +20 and Tier B +15 for named DevOps tooling, both sourced from the same blog. Its careers-page GitHub line is a public open-source perk and was deliberately not scored under the revised rubric. Confidence stays Inferred because the Tier A signal came from the blog, not from a JD naming a private-repo host or review gate.",
28,Secondary,55,Inferred,Floating Dots,floatingdots.co,https://floatingdots.co/,8,25,0,15,15,55,,Wayback 2023-06-01: 'specialized in custom software development... for emerging startups',yes,38763,,"Site: 'senior architects and tech leads... system design, code reviews' | Site: 'agile sprints, version control, and transparent reporting' | JD asks only for a GitHub portfolio, no process requirements | Site: 'Continuous Delivery Teams' with no named tooling","Tier B was awarded at a reduced +15 rather than +25 because the code-review and version-control language lives in site marketing prose, not in a job description - their careers page only asks candidates to send a GitHub portfolio. Real but unverified practice; a single collected JD would likely move this into Priority range.",
29,Secondary,55,Inferred,Qualysoft,qualysoft.com,https://qualysoft.com/,7,10,0,35,10,55,,"Wayback 2023-06 snapshot, existed but no software wording — weak +10",yes,15733,,"Site: Jenkins plus Tricentis Tosca named in QA stack | Site: ISO 9001, ISO 27001, GDPR compliance claimed | Site: BFSI, banking, Deutsche Telekom clients named | Lever board jobs.lever.co/qualysoft listed but never read","Ranked on site tooling and certifications alone: 15.7k characters of careers text produced no repo host or review-gate language, and the Lever board was never opened — re-scraping it is the cheapest way to move this one. The CV-formatting quote also hints at a staffing/brokerage model rather than a codebase owner.",
30,Secondary,55,Inferred,SPD Technology,spd.tech,https://spd.tech/?utm_source=Goodfirms&utm_medium=referral,9,10,0,25,20,55,,Wayback 2023-06-01 archived but snapshot carried no software wording (+10 only),yes,54887,,"Careers: 54k chars collected, zero Git/CI/review signals | Site: 'Cloud & DevOps' capability; ETL/ELT pipeline engineering | Site: 'Quality Engineering', automated testing, dedicated QA engineers | Site: 'Long-Term Product Engineering Mindset'; fintech/payments/healthcare clients","Seed scored this 9 and the marketing site is the most polished in the batch, but 54k characters of careers content produced not one engineering-process signal - no Git, no review gate, no named pipeline tool. Its score is carried almost entirely by Tier C positioning, which is exactly the decorative-buzzword case the rubric warns about. Compliance was not awarded because GDPR/HIPAA/SOC 2 are described for client systems, not held by the firm.",
31,Secondary,55,Inferred,UP2DATE,up2date.ro,https://up2date.ro/,8,10,0,25,20,55,,EXISTED_NO_SW_WORDING — Wayback 2023-06-01; .ro so RDAP unavailable,yes,8141,,"Site: 'your Git branching model, your definition of done' | Site: ISO 27001 named; 15+ years building software | Site: owns SaaS products eID Romania, VetCRM, HeyDoc | Site: principal engineers anchor squads; PPC and BRD clients","Names a branching model and definition-of-done on site, but the careers page carries none of it; .ro means only Wayback could date it, and that snapshot lacked software wording.",
32,Secondary,53,Inferred,Codemart,codemart.ro,https://codemart.ro/codemart/zwei/,8,25,0,10,18,53,,Wayback 2023-06-01 snapshot advertises fullstack work on a global B2B eCommerce system with a named Java/Python/TypeScript/React stack; .ro so RDAP is unavailable by design.,yes,9326,,"2023 snapshot names global B2B eCommerce system and stack (tier_gold quote) | ISO 9001 for developing client-oriented software, TUV Austria (site_quotes.compliance) | Authored world's largest WebObjects system, 1bn euro volume (site_quotes.enterprise) | Seed: Virtual Brain / BrainXplore neuroscience platforms since 2004 (seed_reason)","The GOLD quote is an internship recruitment banner, which normally invites downgrade, but it names concrete delivered projects and a real stack, so full +25 was kept. ISO 9001 scoped specifically to software development is stronger than a generic cert. .ro domain means Wayback was the only pre-2024 test available.",
33,Secondary,53,Inferred,Custom Code Factory,customcodefactory.com,https://customcodefactory.com/,8,25,0,15,13,53,,"Wayback 20220601 snapshot advertising web, mobile and cloud development — PROVEN",,0,,"Wayback 2022: 'Software development ... Mobile applications Web development' | Site: 'infrastructure setup, continuous integration CI/CD, quality assurance QA' | Site: 'Agile Development Process', 13 sdlc hits (site_signals) | Owns time-tracking SaaS, CRM and document apps (seed, site)","Reaches Secondary on Tier GOLD strength plus one explicit delivery-lifecycle sentence, not on process depth — the CI/CD and QA award rests on a single services blurb naming them without any tool, so it is the weakest +15 in this file and I did not also take the QA +10 from the same sentence. The 2022 Wayback proof is the oldest in the batch. No careers page exists at all, so Tier A is structurally unavailable rather than failed. DQ_template hits refer to document templates inside their own app, not a template shop, so no minus-15.",
34,Secondary,53,Inferred,Enlivy,enlivy.dev,https://enlivy.dev/,6,25,0,15,13,53,"cap_30_generalist_agency (considered, not applied)","Wayback 2023-06 prose: 'At the Core, Enlivy is a software development company'",,0,https://github.com/robertuniqid; https://github.com/KadarCla,"Cites servers, CI/CD and dev tooling as delivery infrastructure | Expanding from services into its own SaaS products | Fifty-article blog: 29 web development, 13 performance posts | Two GitHub links are personal accounts, not the firm","Top of the batch on a matter-of-fact CI/CD reference — mentioned as background infrastructure excluded from a quote, not as a marketing bullet — plus the clearest pre-2024 software wording in the pool. The generalist-agency cap was considered and declined: the SEO evidence is a Clutch review title and blog categories, not a services page, and no services page was reached to confirm a bundled offering. If a later crawl shows SEO or ads sold as a service line, this drops to 30. The two GitHub links belong to individuals, not an org matching the company, so they score zero either way.",
35,Secondary,53,Inferred,Nerds Computing,nerds.sh,https://nerds.sh/,8,10,0,25,18,53,,"UNKNOWN: no Wayback snapshot and no RDAP for .sh; missing data, weak +10, no 45 cap",yes,15379,https://github.com/nerds-sh,"JD demands unit, integration and e2e testing experience | Video platform engineering: DRM, encoding, entitlement systems | Own automated energy-market bidding platform described | 15k-char careers page names no repo host or review gate","Clearly the strongest file in the batch yet no Tier A: the long JD names stacks and testing but never a repo host or review gate. Both DQ flags were false positives (marketing job ads on their own careers page; 'template' from a build-vs-buy article), and most CI hits were domain language (encoding, ingestion, sales pipelines), so Tier B rests on real test and platform-ops substance. Public github.com/nerds-sh scores zero.",
36,Secondary,50,Inferred,Kavita Systems,kavitasystems.com,https://kavitasystems.com/,7,10,0,30,10,50,,"DOMAIN_ONLY - registered 2014-08-23; proves name ownership, not software activity",,0,,"Site: 'Technical strategy, code reviews, and delivery planning' | Site: 'Staging checks, CI/CD setup, cloud deployment, logs and alerts' | Site: 'QA Engineer & Release Validator... release checks before handoff' | No careers page; no blog; team page present","Two ceilings apply at once and neither is about practice quality: DOMAIN_ONLY caps Tier GOLD at +10, and with no careers page the JD-based +25 is unreachable, so its code-review and CI/CD evidence was credited at a reduced site-level +15. A small senior-only agency whose process page is unusually concrete about release gating; worth a look despite the number.",
37,Secondary,50,Inferred,MCRO,mcro.tech,https://mcro.tech/,8,25,0,10,15,50,,"Own blog carries dated technical posts from Nov 2018, Jan 2019 and Jun 2020, which is the rubric's 'dated blog posts before 2024-01-01' route; upgraded from UNKNOWN to PROVEN.",yes,34727,https://github.com/MCROEngineering,"Dated posts: Nov 2018, Jan 2019, Jun 2020 (site_quotes.sdlc) | Careers page hires Engineer, Manager, UX Designer, QA (site_quotes.qa) | Healthcare, fintech, real-estate case work named (site_quotes.enterprise) | Public org github.com/MCROEngineering recorded, scores zero (public_vcs_links)","Tier GOLD was upgraded from UNKNOWN (+10) to PROVEN (+25) because the site itself carries blog posts dated 2018-2020, which the RDAP/Wayback lookups missed. That single correction is what lifts it into Secondary; the 34.7k-char careers corpus produced no repo or review wording.",
38,Secondary,50,Verified,Primal Skill,primalskill.com,https://primalskill.com/,7,25,0,25,0,50,,Wayback 2023-06-01: 'Primal Skill - Web Development Done Right!',yes,15378,https://github.com/primalskill,"JD: 'Peer code review; lead a small team of junior developers' | JD: 'Concept of/Experience with version control (Git)' | Site: no CI/CD, QA or compliance signal anywhere | Note: public github.com/primalskill org - scores zero",,
39,Skip,45,Inferred,FYB Romania,fyb.ro,https://fyb.ro/,7,10,0,35,0,45,,"MISSING: .ro absent from RDAP, no Wayback snapshot — weak +10, no cap",yes,11536,,"JD: 'GIT repository usage' on careers page (jd.quotes) | JD: 'Unit testing experience' required of candidates (jd.quotes) | Site: 'code reviews and security updates' sold as Magento service | Seed: web software developer since 2003, Magento/Symfony","Best JD evidence in this batch — Git and unit testing named in an actual job ad — yet it lands below Secondary purely because the .ro RDAP gap plus no Wayback capture leaves Tier GOLD at the weak +10 instead of +25. That data gap alone costs it 15 points and the band. The site's 'code reviews' line is a service they sell to clients, not an internal gate, so no Tier A. Treat as a de facto Secondary candidate pending a pre-2024 artefact.","score suppressed by missing evidence, not by a disqualifying fact"
40,Skip,45,Inferred,Momentum Software,momentum-software.ro,https://momentum-software.ro/wp/,8,10,0,25,10,45,,"UNKNOWN — .ro absent from RDAP, no Wayback snapshot; MISSING not new, weak +10",,0,,"Site: QA automation engineers use Bamboo and Selenium WebDriver | Site: manual testing, unit tests, bug-fix and feature work | Site: BPM for banking, insurance, energy, government, healthcare | 'WordPress Theme' footer credit only — not a template shop","Lands five points short of Secondary purely on the GOLD gate: a .ro domain has no RDAP record and no snapshot exists, so pre-2024 is missing rather than disproven, and the weak +10 is all it can earn. The Bamboo plus Selenium line is the most specific named-toolchain evidence in the shard after Ketek — a Wayback or registry check would likely lift this into Secondary.","score suppressed by missing evidence, not by a disqualifying fact"
41,Skip,45,Inferred,Qwertee Technology,qwertee.io,https://www.qwertee.io/,8,10,0,25,10,45,,"UNKNOWN — no Wayback snapshot and no RDAP record; missing data, weak +10, no 45 cap",yes,29979,https://github.com/sebrestin; https://github.com/romaintha,"Site: CI/CD pipelines validate code, data, models every commit | Site: GitHub Actions, Azure DevOps named as client stacks | JD: 30k-char careers page, zero Git or review wording | Site: Databricks, MLflow, IaC platform stack detailed","Genuine CI/CD and IaC prose; held down by pre-2024 evidence being missing (no Wayback, no RDAP), not by weak practice.","score suppressed by missing evidence, not by a disqualifying fact"
42,Skip,40,Inferred,Digital Artflow,digitalartflow.com,https://www.digitalartflow.com/,7,25,0,15,0,40,no careers page AND no blog AND no team → cap 40,PROVEN — Wayback 2023-06-01 nav names VR/AR software development and case studies,,0,,"Site: 'Releases are made through a Version Control System' | Site: git repository connects dev/test server to production | Site: founded 2009, agile project management methodology | Site: 'compliance' hits are GDPR cookie-banner text only","Held down purely by having no careers page, blog or team page (cap 40); the site does state git-based release flow, which is better than most here.","score suppressed by missing evidence, not by a disqualifying fact"
43,Skip,40,Inferred,Tooktech,tooktech.com,https://tooktech.com/,7,25,0,15,10,50,"no careers/blog/team cap 40 (binding, 50 to 40)","Wayback 2022-06-01 snapshot title reads 'Web&Mobile Applications, Software Development, Software consultancy | TookTech'.",,0,,"2022 snapshot title names software development and consultancy (tier_gold quote) | 'Early establish and execute an appropriate CI/CD pipeline' (site_quotes.cicd) | Process page names Agile, SCRUM, Kanban, versions and sprints (site_quotes.sdlc) | Architects named in delivery process (site_quotes.owns_product)","Would have reached Secondary at 50 on the strength of the most explicit CI/CD sentence in the batch, but has_no_careers_blog_or_team is true so the cap-at-40 binds and costs it 10 points. The suppression is structural (only the homepage exists) rather than a verdict on its practice.","score suppressed by missing evidence, not by a disqualifying fact"
