rank,score,name,domain,city,source,band_label,hc_num,pre2024_grade,pre2024_evidence,pre2024_confidence,owned_ip,ownip_quote,repo_host_hits,review_gate_hits,cicd_hits,nongit_hits,jd_chars,jd_quote,dev_quote,years_active,contact_name,contact_title,contact_linkedin,identity_status,why_this_rank
23,100,Shanti Infosoft LLP,shantiinfosoft.com,"Indore, India",goodfirms,50-249,150,PROVEN_EQUIV,goodfirms_founded=2013; rdap=2020-07-04; wayback=20230529,Verified,1,. --> Dave Carr Founder & CEO- United States Our SaaS & Ecommerce Platform improved signif,5,2,0,0,21745,ment trends and technologies. Participate in code reviews and provide constructive feedbac,Mobile App Development Native & Hybrid Apps Software Development Custom Enterprise Tools B,6,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2013); owned IP: . --> Dave Carr Founder & CEO- United St; review-gate JD x2; jd 21745ch; ~150 staff
24,100,QalbIT Infotech Pvt Ltd.,qalbit.com,"Ahmedabad, India",goodfirms,10-49,30,PROVEN_EQUIV,goodfirms_founded=2018; rdap=2018-04-28; wayback=20230610,Verified,1,software end to end — the same way we build our own SaaS products. Start a project → Techn,5,3,0,0,20085,le and appreciated. Learning &amp; mentoring Code reviews focused on fundamentals: clean c,QalbIT: Custom Software Development Company in India Skip to main co,8,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2018); owned IP: software end to end — the same way we bu; review-gate JD x3; jd 20085ch; ~30 staff
25,97,axiusSoftware,axiussoftware.com,"Kolkata, India",goodfirms,50-249,150,EXISTED_2COR,goodfirms_founded=2013; rdap=2017-10-10,Verified,1,edge needed to deliver quality web services. Our Products & Platforms Explore our powerful,28,12,8,2,59146,"icipate in sprint planning, daily stand-ups, code reviews, and retrospectives. Contribute ",Custom Software development company | axiusSoftware Skip to,9,,,,identity_pending,EXISTED_2COR(goodfirms_founded=2013); owned IP: edge needed to deliver quality web servi; review-gate JD x12; jd 59146ch; ~150 staff
26,95,Aexonic Technologies,aexonic.com,"Pune, India",goodfirms,50-249,150,PROVEN_EQUIV,goodfirms_founded=2012; rdap=2012-02-11; copyright_footer=2015; wayback=20230524,Verified,0,,11,3,4,0,45271,"opers, assisting them in problem-solving and code reviews. Conduct thorough testing of app",Aexonic : Home --> HOME OUR OFFERING PRODUCT ENGINEERING DIGITAL TRANSFORMATION CHAT-BOT M,14,Vikas Ranjan,Chief Technology Officer,https://www.linkedin.com/in/vikasr111,identity_full,PROVEN_EQUIV(goodfirms_founded=2012); review-gate JD x3; jd 45271ch; ~150 staff
27,95,Tagline Infotech,taglineinfotech.com,"Surat, India",goodfirms,50-249,150,PROVEN_EQUIV,goodfirms_founded=2017; rdap=2018-07-26; wayback=20230605,Verified,0,,2,1,2,0,29548,ons for speed and scalability Collaborate in code reviews and technical discussions Keep u,Best Software Development Company | Tagline Infotech LLP Case Study Ab,8,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2017); review-gate JD x1; jd 29548ch; ~150 staff
28,95,Flipkoins,flipkoins.com,"Bengaluru, India",goodfirms,50-249,150,PROVEN_EQUIV,goodfirms_founded=2016; rdap=2016-04-14; wayback=20230608,Verified,0,,11,1,6,0,28325,"preparing Design documents, Unit Test plans, Code review reports Should be well versed wit",nt-Remote Offshore Development Office Custom-Software Development Blogs Careers Contact Us,10,Dheepika Krishna,Partner Success Manager,https://www.linkedin.com/in/dheepika-krishna-a12875215,identity_full,PROVEN_EQUIV(goodfirms_founded=2016); review-gate JD x1; jd 28325ch; ~150 staff
29,95,Concept Infoway,conceptinfoway.net,"Ahmedabad, India",goodfirms,50-249,150,PROVEN_EQUIV,goodfirms_founded=2000; rdap=2000-03-30; wayback=20230601,Verified,0,,12,1,4,0,23223,"e, security, and scalability. Participate in code reviews, debugging, and continuous impro",Offshore Software Development Company | Concept Infoway Sales Email +1 832,26,Rikin Shah [Concept Infoway],Managing Director / Owner,https://www.linkedin.com/in/conceptinfoway,identity_full,PROVEN_EQUIV(goodfirms_founded=2000); review-gate JD x1; jd 23223ch; ~150 staff
30,95,GMTA Software Solutions,gmtasoftware.com,"Jaipur, India",goodfirms,10-49,30,PROVEN_EQUIV,goodfirms_founded=2019; rdap=2019-04-23; wayback=20230601,Verified,1,ements Choose an Engagement Model That Fits Your Product Stage We offer flexible engagemen,5,1,2,0,14909,h Git for version control and participate in code reviews. Required Skills and Qualificati,GMTA Software Solution: AI-Powered Custom Software &amp; mobile App Development 🚀 Launch w,7,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2019); owned IP: ements Choose an Engagement Model That F; review-gate JD x1; jd 14909ch; ~30 staff
31,95,Triveni Global Software Services LLP,triveniglobalsoft.com,"Surat, India",goodfirms,50-249,150,PROVEN_EQUIV,goodfirms_founded=2013; rdap=2013-05-11; wayback=20230529,Verified,1,tforms tailored for modern healthcare needs. Our flagship solution enables seamless online,0,2,0,0,13745,ics Engineering AI Engineering Governance AI Code Review AI Output Validation AI-Human Dev,"AI, SaaS &amp; Product Engineering services | Triveni Skip to content Menu Menu",13,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2013); owned IP: tforms tailored for modern healthcare ne; review-gate JD x2; jd 13745ch; ~150 staff
32,95,Mindbowser InfoSolutions,mindbowser.com,"Pune, India",goodfirms,50-249,150,PROVEN_EQUIV,goodfirms_founded=2010; wayback=20230609,Verified,1,", they’ve played a critical role in building our platform, working closely with us and our",0,1,0,0,12663,"ubscription. This amazing platform automates code reviews, saves you time, and helps you c",lth mHealth Clinical Decision Support System Product Development Digital Therapeutics Remo,16,,,,identity_pending,"PROVEN_EQUIV(goodfirms_founded=2010); owned IP: , they’ve played a critical role in buil; review-gate JD x1; jd 12663ch; ~150 staff"
33,95,Coder World Labs,coderworldlabs.com,"Noida, India",goodfirms,10-49,30,PROVEN_EQUIV,goodfirms_founded=2010; rdap=2016-12-02; wayback=20230605,Verified,1,elop an e-commerce portal and start selling your product online. Know More Brand Building ,1,1,0,0,12038,t processes and app features. Participate in code reviews to ensure a high-quality codebas,elopment Laravel development API Development Software Development Software Development Ser,10,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2010); owned IP: elop an e-commerce portal and start sell; review-gate JD x1; jd 12038ch; ~30 staff
34,95,Leadstocompany,leadstocompany.com,"Kolkata, India",goodfirms,10-49,30,PROVEN_EQUIV,goodfirms_founded=2015; rdap=2015-01-02; wayback=20230605,Verified,1,uring ERP ⏱️ 12 Months View All Case Studies Our Products Platforms Built For Scale Enterp,0,1,1,0,10958,"▸ Mentor junior developers and contribute to code reviews. ▸ Troubleshoot, debug, and upgr","Enterprise Software Development Company | Custom Software, ERP, CRM, AI & Sa",11,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2015); owned IP: uring ERP ⏱️ 12 Months View All Case Stu; review-gate JD x1; jd 10958ch; ~30 staff
35,95,Planet Web Solutions Pvt. Ltd,planetwebsolution.com,"Jaipur, India",goodfirms+nasscom,50-249,150,EXISTED_2COR,"goodfirms_founded=2004; rdap=2005-11-30; copyright_footer=2002; nasscom_harvest=nasscom:Wayback 2023-06 advertised web, ",Verified,1,"h have also been favorable, as the number of our platform's visitors and engagement increa",0,1,0,0,10663,"JD: 'Git / Github (commits, branches, pull requests)' | Site: SEO, SEM, PPC and content-ma",ay Per Click Service Branding --> Scale your software development efforts. Effortlessly. s,21,,,,identity_pending,"EXISTED_2COR(goodfirms_founded=2004); owned IP: h have also been favorable, as the numbe; review-gate JD x1; jd 10663ch; ~150 staff"
36,95,SolutionChamps Technologies,solutionchamps.com,"Coimbatore, India",goodfirms,50-249,150,PROVEN_EQUIV,goodfirms_founded=2016; rdap=2015-12-12; copyright_footer=2022; wayback=20230225,Verified,1,The SCT team has been working hard to ensure our platform exceeds our customer's expectati,0,1,0,0,9361,"r overseeing project development, conducting code reviews , and guiding developers through",SCT – Custom Software Development Company India | Web Application,11,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2016); owned IP: The SCT team has been working hard to en; review-gate JD x1; jd 9361ch; ~150 staff
37,95,Gavista Tech,gavista.com,"Bengaluru, India",goodfirms,10-49,30,PROVEN_EQUIV,goodfirms_founded=2010; rdap=2011-11-23; wayback=20230604,Verified,1,"product to compete in the cutthroat market. Our products carry a number of new features, w",1,1,0,0,7154,"and comfort with Git for branching/merging, pull requests and overall code management. Agi",Software Application Development Company | Web Applications & Mobile Applicat,15,Lakshman Srikanth D,Co Founder & Head of Technology,https://www.linkedin.com/in/lakshmansrikanth,identity_full,PROVEN_EQUIV(goodfirms_founded=2010); owned IP: product to compete in the cutthroat mark; review-gate JD x1; jd 7154ch; ~30 staff
38,95,Codezilla Technology and Consultancy Pvt Ltd.,codezilla.io,"Indore, India",goodfirms,50-249,150,PROVEN_EQUIV,goodfirms_founded=2017; wayback=20230609,Verified,1,"arrow Farukh CEO, Alziraatech Codezilla Labs Our Products AI-native products built from ou",0,1,0,0,7099,for calls verified_user Reviewly AI-powered code review and security shield_locked SkyGuar,AI-Powered &amp; AI-Driven Software Development | Codezilla menu Who we are What we do exp,9,,,,identity_pending,"PROVEN_EQUIV(goodfirms_founded=2017); owned IP: arrow Farukh CEO, Alziraatech Codezilla ; review-gate JD x1; jd 7099ch; ~150 staff"
39,95,Durapid Technology Private Limited,durapid.com,"Jaipur, India",goodfirms,50-249,150,PROVEN_EQUIV,goodfirms_founded=2018; rdap=2018-08-27; wayback=20230604,Verified,1,agement Seamless Integration Hire Developers Our Products Products Built for Real Business,1,0,2,0,6651,"ent. C I/CD development environment s/tools: Git, Maven, Jenkins. Participate in software ",Explore All Services AI Development &#8250; Software Development &#8250; Cloud Application,8,(verify),,,identity_name_only,PROVEN_EQUIV(goodfirms_founded=2018); owned IP: agement Seamless Integration Hire Develo; jd 6651ch; ~150 staff
40,95,M-Square Technologies,msquaretec.com,"Surat, India",goodfirms,10-49,30,PROVEN_EQUIV,goodfirms_founded=2017; rdap=2017-06-18; wayback=20230528,Verified,1,olutions Quality Assurance Digital Marketing Our Products Our Products Client Work --> Por,3,1,0,0,5079,and optimize app performance. Participate in code reviews and team meetings. Documenting a,"roach that drives innovation in the space of software development, mobile applications, an",9,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2017); owned IP: olutions Quality Assurance Digital Marke; review-gate JD x1; jd 5079ch; ~30 staff
41,95,Spysr,spysr.in,"Delhi, India",goodfirms,50-249,150,EXISTED_2COR,goodfirms_founded=2014; rdap=2013-12-08; wayback=20230812,Verified,1,annels — from AI chat assistants trained on your product data to voice agents that handle ,1,0,1,0,5031,"systems that matter, send your portfolio or GitHub to careers@spysr.in. We review every ap",,13,,,,identity_pending,EXISTED_2COR(goodfirms_founded=2014); owned IP: annels — from AI chat assistants trained; jd 5031ch; ~150 staff
42,92,VD Hosts,vdhosts.com,"Bengaluru, India",goodfirms,50-249,150,EXISTED_2COR,goodfirms_founded=2017; rdap=2023-08-24,Verified,1,"d Tech Squads Long-term teams embedded with your product &amp; leadership: PM, engineers, ",2,2,4,0,11843,O-like delivery discipline Included: CI/CD · Code reviews · Security checks Bonus: Tech ro,ome Services Web Development App Development Software Development AI &amp; Automation Clou,3,,,,identity_pending,EXISTED_2COR(goodfirms_founded=2017); owned IP: d Tech Squads Long-term teams embedded w; review-gate JD x2; jd 11843ch; ~150 staff
43,90,RheinBrucke IT Consulting Pvt Ltd,rheincs.com,Chennai,nasscom,,,EXISTED_2COR,rdap=2013-07-07; copyright_footer=2014; nasscom_harvest=nasscom:PROVEN; rdap:2013-07-07,Verified,1,"ur needs."",""Contact us today to discover how our platforms can help you achieve measurable",3,0,12,0,886743,"""Maintain a central contract repository with version control and approval workflows."":""Mai","e, and recall readiness"",""Faster, more agile product engineering, manufacturing, and launc",13,,,,identity_pending,"EXISTED_2COR(rdap=2013-07-07); owned IP: ur needs."",""Contact us today to discover; jd 886743ch"
44,90,Revinfotech Inc,revinfotech.com,"Gurgaon, India",goodfirms,50-249,150,PROVEN_EQUIV,goodfirms_founded=2007; rdap=2007-04-18; wayback=20230615,Verified,1,ion Services Salesforce Integration Services Our Products Metadesk Suite Metadesk Remote A,8,0,0,0,74131,"trophy:before{content:""\f091""}.awsm-job-icon-github-square:before{content:""\f092""}.awsm-jo",ics Digital Transformation Agile Development Product Development Software Development Mobi,19,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2007); owned IP: ion Services Salesforce Integration Serv; jd 74131ch; ~150 staff
45,90,Xornor Technologies Pvt. Ltd.,xornor.co,"Mohali, India",goodfirms,10-49,30,PROVEN_EQUIV,goodfirms_founded=2016; wayback=20230605,Verified,1,"mp; SEO skills, to optimise the presence of your product or brand, increase visibility in ",8,0,1,0,68725,"rthday-cake:before { content: ""\f1fd""; } .fa-bitbucket:before { content: ""\f171""; } .fa-bi",Xornor Technologies: Top Software Development Company in India --> --> --> --> --> --> -->,10,,,,identity_pending,"PROVEN_EQUIV(goodfirms_founded=2016); owned IP: mp; SEO skills, to optimise the presence; jd 68725ch; ~30 staff"
46,90,Walking Tree Technologies,walkingtree.tech,"Hyderabad, India",goodfirms,50-249,150,PROVEN_EQUIV,goodfirms_founded=2008; rdap=2015-10-27; wayback=20230602,Verified,1,r Automate Compliance & governance framework Our Accelerators AI-driven accelerators enhan,8,0,0,0,67406,"trophy:before{content:""\f091""}.awsm-job-icon-github-square:before{content:""\f092""}.awsm-jo",ent Services Digital Engineering AI assisted Product Engineering Simulation Services Gener,11,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2008); owned IP: r Automate Compliance & governance frame; jd 67406ch; ~150 staff
47,90,iauro systems pvt ltd,iauro.com,"Pune, India",goodfirms+nasscom,50-249,150,PROVEN_EQUIV,goodfirms_founded=2009; rdap=2009-01-16; wayback=20230328,Verified,1,tners Partnering to Re-imagine possibilities Our Accelerators Our In-house Proprietary Acc,8,0,0,0,64493,"trophy:before{content:""\f091""}.awsm-job-icon-github-square:before{content:""\f092""}.awsm-jo",p you use your data to make better decisions Custom Software Development Build custom soft,17,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2009); owned IP: tners Partnering to Re-imagine possibili; jd 64493ch; ~150 staff
48,90,KritiKal Solutions Pvt. Ltd.,kritikalsolutions.com,"Noida, India",goodfirms,50-249,150,PROVEN_EQUIV,goodfirms_founded=2002; wayback=20230607,Verified,1,& Classification Innovative Services Explore our Products & IP KritiLife: Embryo Grading P,8,0,0,0,62553,"trophy:before{content:""\f091""}.awsm-job-icon-github-square:before{content:""\f092""}.awsm-jo",KritiKal - Product Engineering | Software Development | Embedded Systems EX,24,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2002); owned IP: & Classification Innovative Services Exp; jd 62553ch; ~150 staff
49,90,Smartify Software Solutions LLP,smartifysol.com,"Hyderabad, India",goodfirms,50-249,150,PROVEN_EQUIV,goodfirms_founded=2016; wayback=20230610,Verified,1,"ge educational experience. SMATOAPPS Explore our flagship software suite: intuitive, power",8,0,0,0,61856,"trophy:before{content:""\f091""}.awsm-job-icon-github-square:before{content:""\f092""}.awsm-jo",evelopment Mobile App Development E-Commerce Application Development Artificial Intelligen,10,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2016); owned IP: ge educational experience. SMATOAPPS Exp; jd 61856ch; ~150 staff
