domain,name,source,pre2024_prepass,pre2024_basis,jd_chars,repo_host_hits,review_gate_hits,cicd_hits,jd_evidence,contact_name,contact_title,contact_linkedin,identity_status,crawl_needs
vistasadindia.com,Vistas AD Media Communications,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:1997,,,,,,,,,identity_pending,wayback+homepage+careers
goodworklabs.com,GoodWorkLabs,goodfirms+nasscom,SOURCE_STATED_ONLY,goodfirms_founded:2013,,,,,,,,,identity_pending,wayback+homepage+careers
optirise.in,Optrise Software Pvt.Ltd,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2010,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
techautomationsolutions.com,Tech Automation Solutions,goodfirms,,,,,,,,,,,identity_pending,wayback+homepage+careers
eidesign.net,EI Design Pvt Ltd,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:1999,,,,,,Martin Stanley,Director Of Business Development,https://www.linkedin.com/in/martinjosephstanley,identity_full,wayback+homepage+careers
tesseractlearning.com,Tesseract Learning Inc,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2015,,,,,,,,,identity_pending,wayback+homepage+careers
teknotrait.com,Teknotrait,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2014,,,,,,,,,identity_pending,wayback+homepage+careers
valuechain.com,Value Chain,goodfirms,,,,,,,,,,,identity_pending,wayback+homepage+careers
locus.sh,Locus,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2015,,,,,,Karan Sethi,Co-founder & director,https://www.linkedin.com/in/karansethi-locusmedia,identity_full,wayback+homepage+careers
sen-sei.in,Sensible solutions,goodfirms,,,,,,,,,,,identity_pending,wayback+homepage+careers
bitsnpixs.com,BitsNPixs,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2011,,,,,,Siva Kumar,Managing Director,https://www.linkedin.com/in/siva-kumar-21054847,identity_full,wayback+homepage+careers
flipkoins.com,Flipkoins,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2016,,,,,,Dheepika Krishna,Partner Success Manager,https://www.linkedin.com/in/dheepika-krishna-a12875215,identity_full,wayback+homepage+careers
iterator.in,Iterator,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2021,,,,,,Casper Hougaard Jensen,CEO and Co-Founder,https://www.linkedin.com/in/casper-hougaard-jensen-b2017961,identity_full,wayback+homepage+careers
slksoftware.com,SLK Software,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2000,,,,,,,,,identity_pending,wayback+homepage+careers
onebytelabs.in,One Byte Labs,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2018,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
cloudonhire.com,CloudOnHire,goodfirms,,,,,,,,,,,identity_pending,wayback+homepage+careers
websigmaglobal.com,Websigma Private Limited,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2014,,,,,,,,,identity_pending,wayback+homepage+careers
nexevo.in,Nexevo Technologies.,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2012,,,,,,,,,identity_pending,wayback+homepage+careers
thedevengine.com,The Dev Engine,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2022,,,,,,,,,identity_pending,wayback+homepage+careers
qdesigns.co.in,Qdesigns Web Developement Services,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2016,,,,,,,,,identity_pending,wayback+homepage+careers
erppeers.com,ERP Peers,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2023,,,,,,,,,identity_pending,wayback+homepage+careers
codewave.com,Codewave,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2013,,,,,,,,,identity_pending,wayback+homepage+careers
metafic.co,Metafic,goodfirms+nasscom,SOURCE_STATED_ONLY,nasscom:PROVEN; goodfirms_founded:2018,0,0,0,0,pre-2024: proven | site mentions cicd,Adeen Shukla,Chief Technology Officer,https://www.linkedin.com/in/adeen-s,identity_full,wayback+homepage+careers
thoughtcoders.com,Thoughtcoders,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2021,,,,,,,,,identity_pending,wayback+homepage+careers
aryushinfotech.com,Aryush Infotech India Private Limited,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2017,,,,,,Surendra Kumar Sahu,Founder and Director,,identity_name_only,wayback+homepage+careers
nextdynamix.com,NextDynamix Tech,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2023,,,,,,,,,identity_pending,wayback+homepage+careers
kyurius.tech,Kyurius Tech Studios,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2019,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
carmatec.com,Carmatec,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2003,,,,,,Steffan Stridsberg,Technical director,https://www.linkedin.com/in/steffan-stridsberg-0a170312,identity_full,wayback+homepage+careers
imcrinox.com,Imcrinox,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2015,,,,,,Waqas Maddas,Founder & CEO,https://www.linkedin.com/in/waqas-maddas-53252ba7,identity_full,wayback+homepage+careers
webshark.in,Webshark Web Services,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2019,,,,,,,,,identity_pending,wayback+homepage+careers
dbzeus.com,DBZeus,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2015,,,,,,Poornima Arun,Director,https://www.linkedin.com/in/poornima-arun-7214081b,identity_full,wayback+homepage+careers
codegres.com,Codegres,goodfirms,,,,,,,,,,,identity_pending,wayback+homepage+careers
codelinear.com,Codelinear Software Solutions Pvt Ltd,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2022,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
covalensedigital.com,Covalense Digital Solutions,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2004,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
vivantatechnologies.com,Vivanta Technologies,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2012,,,,,,,,,identity_pending,wayback+homepage+careers
flashyminds.com,Flashyminds,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2021,,,,,,Gayathri VS,Senior Digital Marketing Consultant,https://www.linkedin.com/in/gayathri-vs,identity_full,wayback+homepage+careers
imperialwebdesign.in,Imperial Web Design,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2010,,,,,,Daven White,CEO,https://www.linkedin.com/in/daven-white-15a970137,identity_full,wayback+homepage+careers
sugoilabs.com,Sugoi Labs,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2013,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
limrasoftech.com,Limra Softech Private Limited,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2015,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
unizentechnologies.com,Unizen Technologies,goodfirms,,,,,,,,,,,identity_pending,wayback+homepage+careers
arjunrajkumar.in,Arjun Rajkumar,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2009,,,,,,,,,identity_pending,wayback+homepage+careers
simplyfi.tech,SimplyFI Softech India Pvt. Ltd.,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2016,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
systemmade.com,SystemMade Software Solutions,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2016,,,,,,SystemMade Software Solutions,Founder,https://www.linkedin.com/in/systemmade-software-solutions-2845101a0,identity_full,wayback+homepage+careers
techmanyata.com,Tech Manyata,goodfirms,,,,,,,,,,,identity_pending,wayback+homepage+careers
geeksynergy.com,Geeksynergy Technologies Private Limited,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2015,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
thecodework.com,TheCodeWork,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2018,,,,,,,,,identity_pending,wayback+homepage+careers
healimpilo.com,Healimpilo,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2020,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
echopx.com,Echopx Technologies,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2007,,,,,,Surya Echo Px Technologies,Software Engineer,,identity_name_only,wayback+homepage+careers
coact.co.in,COACT,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2019,,,,,,"Amanda Arizola, MBA, MHSM",Co-Founder & COO,https://www.linkedin.com/in/amandajarizola,identity_full,wayback+homepage+careers
versatile.club,Versatile Club,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2021,,,,,,,,,identity_pending,wayback+homepage+careers
reintenspark.com,Reintenspark Technology Private Limited,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2019,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
techbrainz.com,TechBrainz Consulting,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2018,,,,,,Suresh Nalluru,Founder & CEO,https://www.linkedin.com/in/suresh-nalluru-20406222,identity_full,wayback+homepage+careers
techtez.com,TechTez LLP,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2021,,,,,,,,,identity_pending,wayback+homepage+careers
zool.in,Zool Tech Solutions Pvt Ltd,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2010,,,,,,,,,identity_pending,wayback+homepage+careers
tunerlabs.com,Tunerlabs Consulting Private Limited,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2018,,,,,,,,,identity_pending,wayback+homepage+careers
inncrewin.com,Inncrewin Technologies,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2008,,,,,,atmosol Technologies,Director,,identity_name_only,wayback+homepage+careers
appswise.com,AppsWise Technologies Pvt. Ltd,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2015,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
bcits.co.in,BCITS PVT LTD,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:1999,,,,,,Sridhar Tummala,Owner,https://www.linkedin.com/in/sridhar-tummala-64153b10,identity_full,wayback+homepage+careers
gavista.com,Gavista Tech,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2010,,,,,,Lakshman Srikanth D,Co Founder & Head of Technology,https://www.linkedin.com/in/lakshmansrikanth,identity_full,wayback+homepage+careers
nynedge.com,NYNEDGE SOFTWARE PRIVATE LIMITED,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2018,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
smoketrees.in,SMOKETREES DIGITAL LLP,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2021,,,,,,Abhijay Kishore,Partner,https://www.linkedin.com/in/abhijay-kishore,identity_full,wayback+homepage+careers
abstrabit.com,Abstrabit Technologies Private Limited,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2020,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
xmplar.in,Xmplar Management Solutions,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2013,,,,,,,,,identity_pending,wayback+homepage+careers
technoforte.co.in,Technoforte,goodfirms+nasscom,SOURCE_STATED_ONLY,goodfirms_founded:2000,,,,,,,,,identity_pending,wayback+homepage+careers
mantiqh.com,Mantiqh Technologies Pvt Ltd,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2021,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
flatworldsolutions.com,Flatworld Solutions,goodfirms+nasscom,SOURCE_STATED_ONLY,nasscom:PROVEN: 2023-06-01 Wayback snapshot listing Software Development Services; goodfirms_founded:2002,11927,0,0,0,"Wayback 2023: 'Call Center Services Healthcare BPO ... Software Development' | Site: call centre, medical coding, transcription, photo editing lines | Site: 5,0",,,,identity_pending,wayback+homepage
hitouchtechnologies.com,Hitouch Technologies (P) Ltd.,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2012,,,,,,R. K. Jain,Director,https://www.linkedin.com/in/erpdaddy,identity_full,wayback+homepage+careers
facileconsulting.com,Facile Consulting Private Limited,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2015,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
infolinkindia.com,Infolink Technologies Pvt.Ltd,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2000,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
velozion.com,Velozion Technologies Pvt Ltd,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2017,,,,,,,,,identity_pending,wayback+homepage+careers
pentechs.com,Pentechs,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2011,,,,,,Anish De,Co-founder,https://www.linkedin.com/in/anishde,identity_full,wayback+homepage+careers
altorumleren.com,Altorum Leren Pvt Ltd,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2017,,,,,,VIJAYKUMAR G,CONSUTING PARTNER,https://www.linkedin.com/in/vijaykumar-g-6622901bb,identity_full,wayback+homepage+careers
vsmsoftware.com,VSM Software P Ltd,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2006,,,,,,,,,identity_pending,wayback+homepage+careers
wawbiz.com,Wawbiz,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2019,,,,,,,,,identity_pending,wayback+homepage+careers
officeanywhere.io,ERachana Technologies,goodfirms,,,,,,,,,,,identity_pending,wayback+homepage+careers
softicatechnologies.com,Softica,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2011,,,,,,Aziz Norkhujaev,CEO,https://www.linkedin.com/in/aziz-norkhujaev-571358193,identity_full,wayback+homepage+careers
zivratech.com,Zivra Technologies,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2010,,,,,,,,,identity_pending,wayback+homepage+careers
geogo.in,GEOGO Technologies,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2016,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
q-dat.com,Q-Dat IT Solutions,goodfirms,,,,,,,,,,,identity_pending,wayback+homepage+careers
hexad.de,Hexad Infosoft Private Limited,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2010,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
thesileo.com,SILEO TECHNOLOGIES PRIVATE LIMITED,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2022,,,,,,,,,identity_pending,wayback+homepage+careers
forklyft.in,Forklyft ERP Solutions,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2017,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
finvatech.com,Finva Tech Pvt Ltd,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2023,,,,,,,,,identity_pending,wayback+homepage+careers
enaviya.com,Enaviya Information Technologies Pvt Ltd,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2006,,,,,,,,,identity_pending,wayback+homepage+careers
cortexcraft.com,Cortexcraft Innovation Labs Pvt Ltd,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2014,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
idattec.com,IDATTEC,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2019,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
equantechsolutions.com,EQUANTECH SOLUTIONS PVT LTD,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2021,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
truerize.com,Truerize IQ Strategic Solutions Pvt Ltd,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2020,,,,,,,,,identity_pending,wayback+homepage+careers
weframetech.com,WeframeTech,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2020,,,,,,,,,identity_pending,wayback+homepage+careers
techinflo.com,Techinflo solution pvt ltd,goodfirms,,,,,,,,,,,identity_pending,wayback+homepage+careers
six30labs.io,Six30 Labs Pvt. Ltd.,goodfirms,,,,,,,,,,,identity_pending,wayback+homepage+careers
detrans.io,Detrans Solutions LLP,goodfirms,,,,,,,,,,,identity_pending,wayback+homepage+careers
gideons.tech,Gideons Catalyst,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2018,,,,,,Deepak Yisrael,Co-Founder & CEO,https://www.linkedin.com/in/deepakyisrael,identity_full,wayback+homepage+careers
sodaru.com,Sodaru Technologies,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2020,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
techsopi.com,Techsopi Global Pvt Ltd,goodfirms,,,,,,,,,,,identity_pending,wayback+homepage+careers
greypathsolutions.com,Greypath Solutions,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2004,,,,,,Richard Fekete,Partner,https://www.linkedin.com/in/richard-fekete-2282286,identity_full,wayback+homepage+careers
corseltechnologies.com,Corsel Technologies,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2017,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
magnence.com,Magnence,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2020,,,,,,Sandra Charmillon,Owner,https://www.linkedin.com/in/sandra-charmillon-4619905,identity_full,wayback+homepage+careers
claritytechnologies.com,Clarity Information Technologes Pvt Ltd,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:1994,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
spritzsf.com,Spritz LLC,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2009,,,,,,Charlie Givens II,Founder & CEO,https://www.linkedin.com/in/charlie-givens-ii,identity_full,wayback+homepage+careers
techiesys.in,Techiesys It Solutions,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2014,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
gramenerit.com,Gramener IT Services,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2010,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
thirdeyeinfo.com,Third Eye Infosystems,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2019,,,,,,,,,identity_pending,wayback+homepage+careers
visparatechnosoft.com,Vispara Technosoft Pvt Ltd,goodfirms,,,,,,,,,,,identity_pending,wayback+homepage+careers
divum.in,Divum Corporate Services Pvt Ltd,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2008,,,,,,Vaideeswaran Sethuraman,Founder & CEO,https://www.linkedin.com/in/hivaidee,identity_full,wayback+homepage+careers
spartanlabs.in,Spartan Labs Software Pvt Ltd,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2016,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
smacware.com,Smacware,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2018,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
ibux.in,iBux Business Solutions,goodfirms,,,,,,,,,,,identity_pending,wayback+homepage+careers
think201.com,Think201,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2012,,,,,,,,,identity_pending,wayback+homepage+careers
mobiux.in,Mobiux,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2019,,,,,,Harshit Shah,Business Process Owner,,identity_name_only,wayback+homepage+careers
wizmobi.com,Wizmobi Technologies Pvt Ltd,goodfirms,,,,,,,,,,,identity_pending,wayback+homepage+careers
binarysemantics.com,Binary Semantics,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:1986,,,,,,,,,identity_pending,wayback+homepage+careers
tedlite.com,Tedlite 4+ Gen Software Company,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2020,,,,,,,,,identity_pending,wayback+homepage+careers
criadorlabs.com,Criador Design Labs Pvt Ltd,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2017,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
logmate.co.in,Logmate Logistics,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2011,,,,,,Logmate Logistics,CEO - FOUNDER,https://www.linkedin.com/in/logmate-logistics-6a107a63,identity_full,wayback+homepage+careers
ruckustech.co,Ruckus Tech,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2020,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
techfnatic.com,TechFNatic,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2016,,,,,,Swaroop Kishan,Founder & CEO,https://www.linkedin.com/in/swaroop-kishan-52a23838,identity_full,wayback+homepage+careers
reapmind.com,ReapMind Innovations Pvt Ltd,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2018,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
speedwebservice.in,Speedweb services,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2020,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
lookupitsolutions.com,Lookupit Solutions,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2014,,,,,,(verify),,,identity_name_only,wayback+homepage+careers
tudotechnologies.com,Tudo Technologies Pvt Ltd,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2015,,,,,,,,,identity_pending,wayback+homepage+careers
rubixe.com,Rubixe,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2017,,,,,,Ashok Veda,Founder and CEO,https://www.linkedin.com/in/ashokveda,identity_full,wayback+homepage+careers
zeptcode.com,ZEPTCODE TECHNOLOGIES LIMTED,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2017,,,,,,,,,identity_pending,wayback+homepage+careers
sashinfo.com,Sash Info,goodfirms,,,,,,,,,,,identity_pending,wayback+homepage+careers
techkit.in,Techkit,goodfirms,,,,,,,,,,,identity_pending,wayback+homepage+careers
smartborn.io,SMARTBORN,goodfirms,SOURCE_STATED_ONLY,goodfirms_founded:2021,,,,,,Rekha Shirol,Founder,https://www.linkedin.com/in/rekha-shirol-a11a003b3,identity_full,wayback+homepage+careers
