rank,score,name,domain,city,source,band_label,hc_num,pre2024_grade,pre2024_evidence,pre2024_confidence,owned_ip,ownip_quote,repo_host_hits,review_gate_hits,cicd_hits,nongit_hits,jd_chars,jd_quote,dev_quote,years_active,contact_name,contact_title,contact_linkedin,identity_status,why_this_rank
35,65,Nexevo Technologies.,nexevo.in,"Bengaluru, India",goodfirms,10-49,30,PROVEN_EQUIV,goodfirms_founded=2012; rdap=2015-06-27; wayback=20230608,Verified,1,oking for expert website builders to create your platform from scratch or experienced webs,0,0,0,0,9352,,lopment Website Maintenance Website Redesign Software Development CRM Software Enterprise ,11,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2012); owned IP: oking for expert website builders to cre; jd 9352ch; ~30 staff
36,65,Scalent Infotech Pvt. Ltd.,scalent.io,"Pune, India",goodfirms,10-49,30,PROVEN_EQUIV,goodfirms_founded=2018; wayback=20230605,Verified,1,Solution Enjoy crystal-clear video calls on our platform. Connect securely from any device,0,0,0,0,9331,,Scalent - Your All-In-One Software Development Partner Skip to content Services Golang Dev,8,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2018); owned IP: Solution Enjoy crystal-clear video calls; jd 9331ch; ~30 staff
37,65,Odan Infotech,odaninfotech.com,"Surat, India",goodfirms,10-49,30,PROVEN_EQUIV,goodfirms_founded=2018; rdap=2020-12-05; wayback=20230606,Verified,1,"ckchain, cloud, and full-stack technologies. OUR PRODUCTS Digital Platforms Built For Oper",0,0,1,0,9299,,low Us Skip to content Odan Infotech Home AI Development Services Web Development Custom w,6,,,,identity_pending,"PROVEN_EQUIV(goodfirms_founded=2018); owned IP: ckchain, cloud, and full-stack technolog; jd 9299ch; ~30 staff"
38,65,Vetron IT Servcies,vetron.in,"Surat, India",goodfirms,10-49,30,EXISTED_2COR,rdap=2015-04-20; wayback=20230131,Verified,1,on the top with the ideal marketing tactics Our Product Portfolio Grow your business with ,0,0,0,0,9006,,,11,,,,identity_pending,EXISTED_2COR(rdap=2015-04-20); owned IP: on the top with the ideal marketing tact; jd 9006ch; ~30 staff
39,65,Mentobile Technologies LLP,mentobile.com,"Gurgaon, India",goodfirms,10-49,30,PROVEN_EQUIV,goodfirms_founded=2013; rdap=2014-08-20; copyright_footer=2023; wayback=20230601,Verified,1,"ver the best possible solution and to build your product on a strong foundation, so your p",0,0,0,0,8973,,ution Fantasy Cricket Software Sport Betting Software Development Fantasy Stock Market Sof,12,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2013); owned IP: ver the best possible solution and to bu; jd 8973ch; ~30 staff
40,65,AAA 2 Innovate Pvt Ltd,aaa2innovate.com,"Noida, India",goodfirms,50-249,150,PROVEN_EQUIV,rdap=2020-05-14; wayback=20230530,Verified,1,ndia and can find the right vendor to bring your product vision to life. Design &amp; PD W,0,0,0,0,8965,,ucts and processes. Also using their website development services. S Sanjay Kumar Integrat,6,,,,identity_pending,PROVEN_EQUIV(rdap=2020-05-14); owned IP: ndia and can find the right vendor to br; jd 8965ch; ~150 staff
41,65,Empiric Infotech LLP,empiricinfotech.com,"Surat, India",goodfirms,50-249,150,PROVEN_EQUIV,goodfirms_founded=2020; rdap=2021-10-07; wayback=20230608,Verified,1,"rategic Discovery We begin by understanding your product vision, business goals and techni",0,0,0,0,8775,,Developers Company Book a Free Consultation Development Services Software Development Web ,5,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2020); owned IP: rategic Discovery We begin by understand; jd 8775ch; ~150 staff
42,65,Zaapr,zaapr.com,"Bengaluru, India",goodfirms,10-49,30,EXISTED_2COR,goodfirms_founded=2015; rdap=2015-06-25; wayback=20221227,Verified,1,"kaging with creativity and precision, making our products stand out on the shelf. Henna Ja",0,0,0,0,8748,,,11,,,,identity_pending,"EXISTED_2COR(goodfirms_founded=2015); owned IP: kaging with creativity and precision, ma; jd 8748ch; ~30 staff"
43,65,Sysquare Technologies Pvt.Ltd.,sysquare.com,"Jaipur, India",goodfirms,10-49,30,EXISTED_2COR,goodfirms_founded=2012; rdap=2014-05-17; copyright_footer=2023,Verified,1,nce Management View More Product Development Our product development services help bring y,0,0,0,0,8710,,ty Assurance and Testing ERP and CRM Support Product Development Big data & Cloud Computin,12,,,,identity_pending,EXISTED_2COR(goodfirms_founded=2012); owned IP: nce Management View More Product Develop; jd 8710ch; ~30 staff
44,65,BM Consulting,bmconsulting.in,"Pune, India",goodfirms,10-49,30,EXISTED_2COR,rdap=2013-07-25; wayback=20230511,Verified,1,and's identity with stunning visuals—giving your products and messages the attention they ,0,0,0,0,8598,,,13,,,,identity_pending,EXISTED_2COR(rdap=2013-07-25); owned IP: and's identity with stunning visuals—giv; jd 8598ch; ~30 staff
45,65,KGN Technologies,kgntechnologies.com,"Ahmedabad, India",goodfirms,10-49,30,PROVEN_EQUIV,goodfirms_founded=2009; rdap=2009-11-08; wayback=20230517,Verified,1,l Solution We value your privacy & re-brand your product 100% Quality Satisfaction We neve,0,0,0,0,8518,,pment. Read More Website Maintenance Our web development services aren’t limited to develo,17,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2009); owned IP: l Solution We value your privacy & re-br; jd 8518ch; ~30 staff
46,65,Alphaware Next Technologies,alphaware.io,"Mumbai, India",goodfirms,10-49,30,PROVEN_EQUIV,goodfirms_founded=2012; wayback=20230623,Verified,1,-End Product Leadership Powered by Alphaware Our flagship Product Suite 01 / 04 Digital KY,0,0,0,0,8371,,&amp; Monitoring Monitor and improve systems Application Development Custom Digital Soluti,14,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2012); owned IP: -End Product Leadership Powered by Alpha; jd 8371ch; ~30 staff
47,65,MNB SOFT SOLUTION,mnbsoft.com,"Noida, India",goodfirms,10-49,30,PROVEN_EQUIV,goodfirms_founded=2014; rdap=2018-01-17; wayback=20230601,Verified,1,in dealing with everyday operational issues. Our platform products include collaboration t,0,0,0,0,8197,,and building long-term business partnerships Development Services Business Solutions Smart,8,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2014); owned IP: in dealing with everyday operational iss; jd 8197ch; ~30 staff
48,65,Neuvo WebTech LLP,neuvo.co,"Kolkata, India",goodfirms,10-49,30,PROVEN_EQUIV,goodfirms_founded=2021; wayback=20230603,Verified,1,"Biswas Founder &amp; CEO ""We build like it's our own product — every decision engineered f",0,0,1,0,8153,,mmerce --> Ecommerce Maintenance Support --> Application Development --> Mobile Applicatio,5,,,,identity_pending,"PROVEN_EQUIV(goodfirms_founded=2021); owned IP: Biswas Founder &amp; CEO ""We build like ; jd 8153ch; ~30 staff"
49,65,Shartra Technology Pvt. Ltd.,shartratechnology.com,"Jaipur, India",goodfirms,10-49,30,PROVEN_EQUIV,rdap=2018-01-18; copyright_footer=2017; wayback=20230603,Verified,1,elp increase your sales by 4X by showcasing your product/ service to the right audience. 4,0,0,0,0,7918,,tal Marketing | Web | Software | Mobile Apps development services to global businesses &am,8,,,,identity_pending,PROVEN_EQUIV(rdap=2018-01-18); owned IP: elp increase your sales by 4X by showcas; jd 7918ch; ~30 staff
50,65,Gitysoft Technology,gitysoft.com,"Delhi, India",goodfirms,50-249,150,PROVEN_EQUIV,goodfirms_founded=2014; rdap=2022-05-28; copyright_footer=2010; wayback=20230709,Verified,1,t back and enjoy a stress-free transition to our platform without any additional costs. Mi,0,0,0,0,7860,,"New arrow_drop_down Custom Development code Custom Software CRM, ERP, HRM, LMS and more. s",4,(verify),,,identity_name_only,PROVEN_EQUIV(goodfirms_founded=2014); owned IP: t back and enjoy a stress-free transitio; jd 7860ch; ~150 staff
51,65,Codolin Technologies Pvt. Ltd,codolin.com,"Bengaluru, India",goodfirms,10-49,30,PROVEN_EQUIV,goodfirms_founded=2013; rdap=2015-02-05; wayback=20230305,Verified,1,diting 2D video Animation Portfolio About Us Our Products Blog Careers Contact Us Search f,0,0,0,0,7780,,ser does not support the video tag. Discover Development Services ---> Your browser does n,11,(verify),,,identity_name_only,PROVEN_EQUIV(goodfirms_founded=2013); owned IP: diting 2D video Animation Portfolio Abou; jd 7780ch; ~30 staff
52,65,Ucodice Technologies Pvt. Ltd.,ucodice.com,"Delhi, India",goodfirms,10-49,30,PROVEN_EQUIV,goodfirms_founded=2013; rdap=2013-05-01; wayback=20230507,Verified,1,"ce, updates, and support packages to ensure your product remains up to date, secure, and f",0,0,0,0,7719,,"Company in India | AI, Mobile App, Website & custom Software Development Home Mobile App W",13,,,,identity_pending,"PROVEN_EQUIV(goodfirms_founded=2013); owned IP: ce, updates, and support packages to ens; jd 7719ch; ~30 staff"
53,65,ScalaCode,scalacode.com,"Noida, India",goodfirms,50-249,150,PROVEN_EQUIV,goodfirms_founded=2011; rdap=2020-03-12; wayback=20230529,Verified,1,ents. Enterprise Services → SaaS Development Our SaaS development services focus on using ,0,0,0,0,7714,,AI Software Development Company | ScalaCode --> Home AI Solutions Ba,6,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2011); owned IP: ents. Enterprise Services → SaaS Develop; jd 7714ch; ~150 staff
54,65,ABC Info Soft Private Limited,abcinfosoft.com,"Noida, India",goodfirms,10-49,30,EXISTED_2COR,goodfirms_founded=1996; rdap=2008-08-23; copyright_footer=2008; wayback=20230609,Verified,1,us Valley Promoters Ltd. Few Clientele Liked our products? Start a relation with us. Conta,0,0,0,0,7589,,,18,,,,identity_pending,EXISTED_2COR(goodfirms_founded=1996); owned IP: us Valley Promoters Ltd. Few Clientele L; jd 7589ch; ~30 staff
55,65,Render Infotech,renderinfotech.com,"Bengaluru, India",goodfirms,10-49,30,PROVEN_EQUIV,goodfirms_founded=2013; rdap=2016-03-16; copyright_footer=2012; wayback=20230426,Verified,1,Infotech Why Render Infotech Request a Quote Our Products Case Study Careers Visit us Blog,0,0,0,0,7575,,elopment Web Development eComerece Solutions Software Development Open Source Web Developm,10,Kumar PCG,Marketing Director,https://www.linkedin.com/in/kumar-pcg-b12753269,identity_full,PROVEN_EQUIV(goodfirms_founded=2013); owned IP: Infotech Why Render Infotech Request a Q; jd 7575ch; ~30 staff
56,65,Epiphany Infotech,epiphanyinfotech.com,"Mohali, India",goodfirms,50-249,150,EXISTED_2COR,goodfirms_founded=2019; rdap=2019-01-23; copyright_footer=2015; wayback=20230609,Verified,1,"Europe, and if reviews play any role in how your products convert (they do),... read more ",0,0,0,0,7536,,,7,Brajinder Singh,Managing Director and CTO,https://www.linkedin.com/in/brajindersingh,identity_full,"EXISTED_2COR(goodfirms_founded=2019); owned IP: Europe, and if reviews play any role in ; jd 7536ch; ~150 staff"
57,65,Xerox Technology Services India LLP,xerox.com,Bengaluru,nasscom,,,EXISTED_2COR,rdap=1986-01-09; copyright_footer=1986; wayback=20220817,Verified,1,Drivers MySupport Printer Security Register Your Product Support Community Forum Support C,0,0,0,0,7486,,,40,,,,identity_pending,EXISTED_2COR(rdap=1986-01-09); owned IP: Drivers MySupport Printer Security Regis; jd 7486ch
58,65,Avishkar IT Services,avishkaritservices.com,"Vadodara, India",goodfirms,10-49,30,PROVEN_EQUIV,goodfirms_founded=2018; rdap=2018-09-30; copyright_footer=2023; wayback=20230607,Verified,1,s which works with your Office 365 services. OUR PRODUCT - DINE TO DIME - Dine to Dime is ,0,0,0,0,7477,,earn More WHAT WE DO - SERVICES WE PROVIDE - SOFTWARE DEVELOPMENT Tailored applications de,8,,,,identity_pending,PROVEN_EQUIV(goodfirms_founded=2018); owned IP: s which works with your Office 365 servi; jd 7477ch; ~30 staff
