name,website,description,relevance_status,lead_score,qualification_reason
ImplevistaBD,https://implevista.com/,"About Implevista Implevista is the Best Software Company with its main office in Denmark and a strong presence in Bangladesh. Renowned for transforming challenges into opportunities, Implevista turns obstacles into business cases and system bottlenecks into competitive advantages. As a dedicated partner in its clients' ...",RELEVANT,9,"Offers SAP services, cloud engineering, IoT and dedicated full-stack teams (React/Node/.NET/Python) with QA, DevOps and Scrum roles."
Farnex,https://farnex.net/,"FARNEX is an internationally recognised IT company led by an exemplary visionary. With extensive experience in the Bangladeshi industry in different sectors, we are equipped to lead the future of the technological revolution of Bangladesh.",IRRELEVANT,3,Website unreachable and the directory blurb is a generic 'internationally recognised IT company' with no concrete software-engineering signal.
Synesis IT PLC,https://synesisit.com.bd/,"Synesis IT Ltd. is a premier, CMMI Level 3 certified software development and IT solutions provider in Bangladesh. Established in 2006, the company specializes in enterprise e-governance, healthcare technology (mHealth), telecom infrastructure, and large-scale call center solutions.Headquartered in Dhaka, Synesis IT employs over 550 professionals. The company drives nation-wide digital transformation for government agencies, donor ...",RELEVANT,9,"CMMI Level 3 / ISO-certified enterprise software provider (e-governance, AI, cloud, IoT, data analytics) with 550+ engineers over 18+ years."
Codeworks,http://www.codeworksbd.com/,"Founded in 2012, Codeworks provides cost-effective,innovative IT consulting services and solutions to clients across multiple industries. Throughout our journey, we have been widely recognized for our collaborative, client-centric approach to the business experience, as well as our passion for excellence,both of which have resulted in ...",IRRELEVANT,4,"Offering is dominated by SEO, domain/hosting, product listing and data-entry teams; software work is generic website/app building."
Bangladesh Software Solution,https://bssoln.com/,"Bangladesh Software Solution (BSS) is a global software development company delivering AI-powered, scalable, and business-driven technology solutions. Since 2015, we have helped startups, SMEs, agencies, and enterprises accelerate digital transformation through custom software development, AI automation, enterprise applications, and eCommerce solutions.Our team combines experienced software ...",RELEVANT,9,"Custom software and AI/ML development with dedicated teams, staff augmentation, offshore delivery, DevOps & cloud and QA/testing."
Shobyoshachi,https://www.shobyoshachi.com/,"Shobyoshachi is a Dhaka-based software engineering collective building custom software, ERP systems, and applied ML/AI for clients worldwide. We work across full-stack web, mobile, backend infrastructure, and machine learning - from fintech platforms handling real money to ERP systems running real operations. No bloated scopes, no vague deliverables - we scope tight, build fast, and ...",RELEVANT,9,"Software-engineering collective building custom software, ERP and applied ML/AI across full-stack web, mobile and backend infrastructure to production."
Elegance IT Solution,https://eleganceit.co/,"At Elegance IT Solutions, we transcend the ordinary, forging a path of innovation and excellence in the digital realm. Established in 2016, we've evolved into a distinguished full-cycle digital agency, specializing in Web Design and Development, Mobile Application Development, Enterprise Resource Planning (ERP), Marketing, and ...",IRRELEVANT,3,"Generic digital agency centered on WordPress, Squarespace, Shopify and paid marketing rather than custom engineering."
SofGent,https://sofgent.com/,"SofGent transforms your bold ideas into powerful digital realities. As a modern custom software development company, we empower both startups and enterprises with scalable digital products. Specializing in full-stack development and innovative solutions, we craft custom web and mobile applications, SaaS platforms, and enterprise-grade solutions designed to fit your unique business needs. From initial concept ...",RELEVANT,9,"AI product studio shipping production AI (document automation, AI SaaS MVPs) with a modern stack (Next.js, Claude/OpenAI, PostgreSQL) and acceptance testing."
D-SAi,https://www.d-sai.com/,"D-SAi is an AI-first software development, data science, and business automation company serving mid-market businesses across the UAE, United Kingdom, and United States.We build the systems businesses need when they have outgrown off-the-shelf tools, custom platforms, intelligent automation, and data science solutions for hospitality, fintech, healthcare, legal tech, e-commerce, logistics, and pharmaceutical sectors.Our Core Services:Custom ...",RELEVANT,9,"AI-first software development, data science and business automation firm building RAG/LLMOps and AI-driven systems with secure, scalable software delivery."
Solyntra,https://solyntra.com/,"Solyntra is a senior-led software engineering firm built in Dhaka. We build custom software, AI-enabled systems, and engineering pods for software companies and growing businesses in the USA, UK, and Australia. Trust-heavy delivery, evidence trails, AWS-first.",RELEVANT,9,Senior-led B2B software engineering firm embedding senior engineers/pods to build custom software and AI-enabled systems for CTOs.
Southtech,https://www.southtechgroup.com/,Southtech Group started its journey in 1996 with a vision of providing ICT solutions for the betterment of society. Over a period of 23 years the Group has attained prolific growth and fulfilment that eventually led to spreading its footprint outside of Bangladesh. It is one of the longest-serving Fintech companies in Bangladesh with more ...,RELEVANT,9,"Established (1996) enterprise software company building microfinance, loan-origination, insurance, VAT and HR software with a development consultancy arm."
Qtec Solution Limited,https://qtecsolution.com/,Qtec Solution Limited was founded at the end of 2019 with an aim to engineer robust technology services for super growing businesses founded by visionaries. We served software solutions for over 30 clients in the last two years and completed 50+ Medium and Large projects. Most of Qtec Solution Limited’s team members have very good ...,RELEVANT,9,"Fully-managed software development and staff augmentation covering custom software, AI/ML, DevOps, ERP, SaaS and legacy modernization across 100+ technologies."
Microkodes Information & Technologies Ltd,https://microkodes.com/,"Founded in 2014, Microkodes Limited provides cost-effective,innovative IT consulting services and solutions to clients across multiple industries. Throughout our journey, we have been widely recognized for our collaborative, client-centric approach to the business experience, as well as our passion for excellence, both of which have ...",IRRELEVANT,2,"Website is a suspended/inactive hosting account; only a generic 'IT consulting' blurb remains, so it fails the active-engineering-firm bar."
Dynamic Solution Innovators Ltd. (DSi),https://www.dsinnovators.com/,"Get the finest engineering talents from DSi under your direction, or trust us to deliver end-to-end solutions with full responsibility. For over 25 years we have provided engineering support to organizations ranging from startups to enterprises. We have worked across banking, legal tech, education, logistics, and many other domains, helping clients worldwide make a positive ...",RELEVANT,9,25-year engineering firm providing dedicated AI/enterprise/mobile/DevOps/QA/cloud engineers and end-to-end product development.
Enosis Solutions,https://www.enosisbd.com/,"Enosis is a premier provider of software development and testing services. Having talented software engineers on board, we craft compelling web, desktop, and mobile applications for our clients. Since our inception, we have partnered with numerous companies and delivered operational gains to startup, emerging, and established organizations in the United States and Canada.",RELEVANT,9,"Established software development and QA/testing firm with strong engineering teams building web, desktop and mobile applications for clients."
Craftsmen,https://www.craftsmenltd.com/,Craftsmen was established on the perfect blend of highly skilled engineers having over a decade of experience providing premium technology solutions to the leading companies across the globe. Craftsmen is continuously engaged to invent new ways to help customers increase operational efficiency and excellence through technology.,RELEVANT,9,AI-native engineering partner with 15+ years of highly skilled engineers building high-impact software products for European and US companies.
iXora Solution Ltd.,https://ixorasolution.com/,"iXora Solution Ltd. is an offshore sofware development company, working from last 12+ years for differnt clients mostly from USA, Europe and Japan. iXora Solution has a broad range of technical expertise across most major development environments, technologies and platforms. We are technology independent and propose the best solution for your specific needs and environment. ...",RELEVANT,9,"Full-cycle offshore custom software developer (12+ years, US/EU/Japan clients) with dedicated agile teams, Odoo ERP and AI/blockchain/IoT engineering."
ARITS Limited,https://arits.tech/,"Our team at ARITS Ltd is based on a group of professionals who are constantly working to provide the highest quality of products to our clients, since 2015. As technology keeps improving exponentially, we believe with each passing day, there is always a better way to cater to our clients’ needs. We're happy to help ...",RELEVANT,9,"Custom software, web and mobile development with explicit DevOps/platform engineering (Kubernetes, CI/CD, observability), QA, staff augmentation and AI/ML."
MicroXen Technology,https://microxen.com/,MicroXen Technology is a full service of IT Solution Provider that achieved through an compromised service quality and customer satisfaction. MicroXen has highly trained professional developer.,RELEVANT,9,"Delaware-registered software firm building enterprise web platforms, compliance-ready fintech SaaS and payment infrastructure on React/Next/Laravel/Node."
MY SOFT IT,http://my-softit.com/,"MY SOFT IT World has been delivering Professional Software Development, Website Design And Development, Ecommerce website development to- individuals and corporate clients since the 2013 and now we are a recognised and well-known Web Development in Bangladesh. It's Total It Solution Centrer.",IRRELEVANT,3,"Primarily a web design, domain/hosting and SMS/email-marketing shop with outsourcing training; software is generic and secondary."
Nagorik Technologies,https://www.nagorik.tech/,"At Nagorik Technologies, we specialize in delivering cutting-edge software & mobile app solutions powered by AI & Blockchain technology, tailored to meet your business needs. Since 2014, we have been helping global brands and startups, including Fortune 500 companies turn their ideas into reality with our comprehensive suite of custom software and mobile app development ...",RELEVANT,9,"Leading software company deploying 200+ in-house engineers for enterprise custom software, AI/LLM, blockchain, cloud and cybersecurity plus MVP and team augmentation."
Andgate Technologies,https://andgatetech.net/,"Andgate Technologies is a product engineering company headquartered in Bangladesh. Since 2018, Andgate has helped businesses build SaaS platforms, enterprise web applications, mobile apps, AI automation systems, IoT connected platforms, cloud infrastructure, QA automation, and cybersecurity-ready software foundations.The company works with startups, SMBs, SaaS companies, and enterprise teams across Bangladesh, Canada, the United States, the ...",RELEVANT,9,"Product engineering company building SaaS platforms, enterprise web apps, AI, IoT and cloud infrastructure with multi-tenant architecture and cloud-native DevOps."
VISER X,https://viserx.com/,"VISER X is a global information technology, software development and digital marketing agency. We served more than 5000 clients from 106 countries so far.VISER X helps customers do business better by leveraging our industry-wide experience, deep technology expertise, comprehensive portfolio of services and vertically aligned ...",IRRELEVANT,4,Presents primarily as a 360° digital-marketing and lead-generation agency; software is a secondary offering.
SkyTech Solutions,https://www.skytechbpo.com/,"SkyTech Solutions was founded in September 2013 to meet the needs of organizations of all magnitudes, believing that the trend of outsourcing should not only benefit fortune 1000 companies but all businesses that aspire to become more competitive in their respective industries. Therefore, we set ...",IRRELEVANT,3,Positioned as an outsourcing/BPO provider (skytechbpo.com) with a near-empty site and no visible custom-engineering evidence.
OrFactor,https://orfactor.com/,"OrFactor is a software engineering and technology agency founded in 2014 and headquartered in Dhaka, Bangladesh, with a global client base spanning the US, UK, and EU. We design, build, and maintain enterprise-grade software — from custom web and mobile applications to AI-powered automation systems and SaaS platforms.Our core services cover end-to-end application development, AI ...",RELEVANT,9,"Enterprise software engineering 'lab' (since 2014, US/UK/EU clients) building scalable, secure web and mobile platforms from MVPs to complex systems."
Giant Marketers,https://giantmarketers.com/,"Giant Marketers is one of the fastest-growing digital marketing agencies in Bangladesh and Canada. With a passionate team of over 35+ professionals, we have been crafting exceptional online marketing strategies for more than 15 years. Our expertise has propelled clients to success in 57 countries, ...",IRRELEVANT,2,"SEO and digital-marketing agency (Shopify/eCommerce/SaaS SEO packages), which the rubric classifies as irrelevant."
Technext,https://technext.it/,"Technext is an innovative and solution-driven company that has been dedicatedly assisting startups, scale-ups, enterprises, and institutions in crafting exceptional digital products. With a wealth of experience in the tech industry spanning over a decade, Technext has firmly established itself as a reliable partner in empowering businesses to achieve their goals through cutting-edge development services. ...",RELEVANT,9,"Development partner building custom web/mobile apps and AI products with world-class developers behind real products (MailBluster, Gradnet, ThemeWagon)."
BJIT Group,https://www.bjitgroup.com/,"IEW BJIT is a trusted global software development agency formed as a joint venture between Japanese and Bangladeshis entities. We offer a full suite of software consulting and development services with world-class Japanese quality and south Asian cost efficiencies. We serve our clients from 6 locations around the world including Japan, USA, Singapore, Sweden, Finland, ...",RELEVANT,9,"Award-winning global software development JV with 750+ engineers across 8 countries offering outsourcing, remote development and IT consulting for Fortune 500s over 25 years."
Flyte Solutions,http://flytesolutions.com/,"Flyte Solutions : Top-Rated Custom Software Development Company Flyte Solutions is a top software development company in Bangladesh delivering custom, scalable, and ROI-driven digital solutions for startups, SMEs, and enterprises worldwide. Recognized on GoodFirms and Clutch, we help businesses accelerate growth through cutting-edge technology, proven ...",RELEVANT,8,"Supplies remote engineering teams (frontend, backend, mobile, QA, DevOps, AI/ML) for scalable custom software projects."
OMEGA SOLUTION,https://solution.omega.ac/,"A custom software development firm with over 8 years of experience, focusing on accelerating startups and enterprises through Minimum Viable Product (MVP) development, SaaS solutions, AI Implementation, and custom software. We offer full-cycle development, from concept to launch, including IT staffing and technical expertise to ...",RELEVANT,8,"Custom software development firm doing MVP, SaaS, AI automation and team augmentation with a large portfolio of ERP/CRM/POS products."
iBOS Limited,https://ibos.io/,"iBOS Limited stands as a global beacon of excellence in software development and IT services. Our mission is to harness innovative and cutting-edge technology to craft tailor-made software solutions that transcend expectations. With a legacy spanning 15 years, we've rapidly evolved into the fastest growing ...",RELEVANT,8,Enterprise software vendor building ERP/HR/VAT products plus custom software and business-automation services for 2000+ businesses.
Polygon Technology,https://polygontech.xyz/,"Polygon Information and Technology consists of a bunch of passionate techies, on a mission to impact lives through technology. Founded in 2022 Polygon Technology has 20+ Happy Clients, including industry giants. Our mission is to empower businesses with innovative software solutions that drive growth, efficiency, ...",RELEVANT,8,"AI-powered custom software development, IT staff augmentation and proprietary products (eKYC, e-wallet, LMS, payment gateway) with agile delivery."
Intelligent Systems and Solutions Ltd,https://intelligentsystemsltd.com/,"Intelligent Systems and Solutions Limited is a trusted technology partner specializing in delivering cutting-edge solutions to businesses worldwide. We offer a wide range of services including Cybersecurity, Oracle Application and Database Management, Custom Software Development, AI and Machine Learning Engineering, as well as Staff Augmentation ...",RELEVANT,8,"Enterprise software and digital-transformation firm building ERP, eCommerce and cloud/automation products for businesses worldwide."
PeopleNTech Software,https://peoplentech.net/,PeopleNTech Software is one of the top rated software company in Bangladesh. It has started the journey as software development company in 2014. Still now it has completed 100+ project successfully. To make life simple is the core mission of this company. we are well ...,RELEVANT,8,"Custom software agency delivering web apps, eCommerce, mobile apps, MVP design and IT consultancy since 2014."
Mediusware,https://www.mediusware.com/,"Mediusware is an 𝐀𝐈, 𝐒𝐚𝐚𝐒, 𝐚𝐧𝐝 𝐬𝐨𝐟𝐭𝐰𝐚𝐫𝐞 𝐞𝐧𝐠𝐢𝐧𝐞𝐞𝐫𝐢𝐧𝐠 𝐩𝐚𝐫𝐭𝐧𝐞𝐫 helping startups, SaaS companies, agencies, and growing businesses build faster, scale smarter, and execute with confidence. Most software products 𝐝𝐨𝐧’𝐭 𝐟𝐚𝐢𝐥 because of 𝐛𝐚𝐝 𝐢𝐝𝐞𝐚𝐬—they fail because of slow launches, unclear roadmaps, stretched engineering teams, or overbuilt products early in the cycle. That’s where Mediusware comes ...",RELEVANT,8,"AI/SaaS/software-engineering partner offering B2B outstaffing, MVP development and 850+ delivered projects with a large developer bench."
ConvyLab,https://www.convylab.com/,Conversion-focused digital solutions. We engage your audience by presenting your unique value online through optimized web design and digital marketing. ConvyLab operates everything remotely.,IRRELEVANT,3,"Conversion-focused agency doing web design, website audits/maintenance and social-media marketing rather than custom engineering."
Zaman IT,https://zaman-it.com/,"Zaman IT is the best website development company and leading software firm in Bangladesh.Our other services are search engine optimization, email marketing, sms marketing, online news paper and job site, ejobs21.com etc.ZAMAN IT is renowned Android app development company offering professional android app development services. ...",IRRELEVANT,3,"Web design shop bundled with heavy SMS/digital marketing, CCTV/PABX hardware and hosting; software is off-the-shelf, not custom engineering."
Leznit Software,https://www.leznit.com/,"At Leznit Software, we believe that technology should feel as uniquely crafted as your vision. Founded in 2021 and based in Vancouver, our team blends creativity, advanced technical know-how, and a client-first approach to transform complex ideas into practical, high-impact digital solutions. Whether you're a ...",RELEVANT,8,"Custom software, web, mobile and SaaS product development plus AI/ML solutions and API integration."
Sylnovia,https://www.sylnovia.com/,"Sylnovia, a leading software development agency, empowers businesses to bridge the gap between vision and reality. We offer a comprehensive suite of custom software solutions designed to unlock new possibilities, streamline operations, and propel your business forward. Our expertise lies in crafting cutting-edge software that ...",RELEVANT,8,"Custom software agency emphasizing agile engineering, enterprise-grade reliability and complex 20+ module AI-driven digital products."
3DEVS IT LTD,https://3-devs.com/,"3DEVs IT Ltd. is one of the frontline software development companies in Bangladesh. We specialize in web application development, mobile apps development, e-commerce development, and website development services. Our customer-first approach is geared to fuel fresh narratives about technology. We craft digital value to help customer’s worldwide rise above their competition. Founded in 2013 Served ...",RELEVANT,8,"Custom software, web application, mobile app and AI-powered solution builder positioning as a scalable engineering partner since 2013."
Technology and Business Solutions Ltd (TBS),http://www.tecbsl.com/,"Founded in 2005, Technology and Business Solutions Ltd. (TBS) is a professional service provider designing and developing customized Software Solutions and providing Independent Software Testing. In addition our organization has developed multiple products for the domestic and overseas market. Our clientele’s spans a full spectrum of organization type (small, medium to large) from Government, International ...",RELEVANT,8,20-year customized software developer with a strong independent software testing/QA practice for domestic and international markets.
WebAppick,https://webappick.com/,"We WebAppick, we developed WooCommerce plugins for the Ecommerce site for the marketing shopping channels. WebAppick presents you with well thought out plugins that are easy to use yet powerful.WebAppick LLC is a Software Development Company founded in 2014. WebAppick develops Plugins for WordPress and WooCommerce. WebAppick has introduced two WordPress plugins CTX Feed | ...",IRRELEVANT,4,WordPress/WooCommerce plugin vendor; a real product business but confined to the WordPress ecosystem rather than custom engineering.
KEHEM IT,https://kehem.com/,"KEHEM IT is a focused Django and Vue engineering studio building backend systems, SaaS platforms, and full-stack web applications for startups and growing businesses. We work as a true technical partner — not a feature factory. Every system we build is architected for the next 3 years, not just the next sprint. 50+ projects shipped. ...",RELEVANT,8,"Django/Vue engineering studio building backend systems, SaaS platforms and full-stack web applications with 50+ products shipped."
itservicebd.com,https://itservice.com.bd/,IT Infrastructure & Consultancy Services Onsite Managed IT Support & Maintenance Website Design & Software Development Completely eCommerce Business Solutions Laptop Desktop & Server Chip-Level Repair Networking & CCTV Camera Installation,IRRELEVANT,4,"Dominated by managed IT support, networking, CCTV and hardware repair; custom software is one line among infrastructure services."
Codonyx,http://codonyx.com/,"We transform ideas into powerful digital products. For over 12 years, we have helped startups, SMEs, and enterprises accelerate their growth with fast and reliable MVP development, custom software solutions, intuitive UI/UX, and mobile applications. We work across diverse industries including healthcare, insurance, finance, and the internet ecosystem, delivering solutions that are not just functional, ...",RELEVANT,8,"Custom software, enterprise integration, mobile apps, AI/data-driven solutions, MVP development and cloud & DevOps over 12+ years."
Kode Island,https://kodeisland.com/,Kode Island is a full-service digital agency that provides white label web and SEO services to businesses and marketing agencies. Our goal is to help our clients expand their online presence and achieve their goals with ease. Our team of experts will work with you ...,IRRELEVANT,4,White-label web and SEO agency; software/app development is listed but the positioning is web presence and marketing.
Teccmark PLC,https://teccmark.org/,"TECCMARK is a technology-driven software company specializing in custom software development, web and enterprise solutions for businesses across multiple industries. We help organizations streamline operations, improve efficiency, and build scalable digital systems through well-architected, secure, and performance-focused software solutions. Our core strength lies in understanding business processes and translating them into reliable software systems — ...",RELEVANT,8,"Digital product studio doing custom software, SaaS, mobile apps, AI/ML and cloud & DevOps with a precision-engineering positioning."
OITS Dhaka Ltd,https://oitsdhaka.com/,"OITS is your trusted international IT outsourcing and offshore development partner, delivering secure, scalable solutions in software engineering, cloud infrastructure, data services, cybersecurity, and blockchain. Our ISO 27001-certified and GDPR-compliant operations ensure transparency and security at every step. With our main development hub in Dhaka and commercial and project management consulting teams across Singapore, Malaysia, ...",RELEVANT,8,Self-styled 'frontier software engineering studio' building mission-critical Next.js enterprise applications with a strong offshore-engineering focus.
RuhaniSoft,https://ruhanisoft.com/,"RuhaniSoft is an offshore software development company specializing in Laravel, PHP, custom web applications, SaaS platforms, and business automation solutions. We help startups, digital agencies, and growing businesses build, improve, and maintain reliable software products with a clear and structured development process.Our team supports clients throughout the complete software development lifecycle, including requirement analysis, UI ...",RELEVANT,8,"Offshore Laravel/PHP engineering partner building multi-tenant SaaS backends, custom web apps and business-automation across fintech, health and logistics."
Spring Rain,https://springrainit.com/,"At Spring Rain, we are dedicated to bringing out the best possible solutions at all development stages. Keeping in mind your business's intention, we put your products and services at the forefront of our priority mindset. Being in this industry for over 10+ years has given us valuable insights that we imply and further advance ...",RELEVANT,8,"End-to-end software and MVP development with cloud app engineering, AI/ML, team augmentation and enterprise-grade managed support."
SOFTXMIND LIMITED,https://softxmind.com/,"Founded in 2019 in Dhaka, Bangladesh, Softxmind Limited is a passionate and driven technology company with a clear mission: to become a trusted technology partner for businesses seeking success. We help businesses of all sizes and across various industries leverage the power of technology to achieve their goals.Since our inception, we have proudly served over ...",RELEVANT,8,"AI product engineering and software development firm with MVP, enterprise solutions, staff augmentation, AEM/SharePoint and cloud/cybersecurity across 1250+ projects."
SoftBD Ltd,http://soft-bd.com/,"Soft-BD Ltd is full-service Web design, Web Development, Software Development company offering an extensive range of Internet services to businesses and organizations around the world. We specialize in web development, e-commerce, mobile development, custom website design, domain-hosting and more. Soft-BD's industry leading team is at the forefront of pioneering results-driven Internet business solutions and technologies. ...",RELEVANT,8,"Established 150+ engineer software company doing e-governance and custom software at scale (160M+ monthly users), Clutch-verified for custom development."
ERA-InfoTech Limited,http://www.erainfotechbd.com/,"ERA-InfoTech Limited was formed in 2002 with a vision to be the best IT Solutions and Services Company in the country. ERA has a team of talented professionals, continuously using state-of-the-art technology to create values for our community and ensure reasonable return to the stakeholders. Our mission is to serve clients with integrated and innovative ...",RELEVANT,8,"Enterprise banking-software vendor since 2002 (core banking, loan origination, AML, e-KYC, treasury) plus ERP, HR and customized applications."
Again Software Solutions,https://www.againsoft.com/,"Againsoft is a software development and web development Company based in Bangladesh. Since our establishment, we have been growing every day to meet the growing demands of our clients and surpass their expectations. Our expertise in providing industry-specific services and custom solutions has enabled us ...",IRRELEVANT,3,"Despite the name, presents as an eCommerce and digital-marketing/SEO agency focused on rankings and brand growth."
CodeClub IT Solutions,https://codeclubitsolutions.com/,"CodeClub IT Solutions stands as a dynamic force in the IT and software landscape of Bangladesh, commencing its journey in 2022. Over the years, we have emerged as a prominent provider of a wide array of IT-related services for local and international clients.Our service portfolio ...",IRRELEVANT,4,"Offers software/app development but bundled with digital marketing, graphics design, hosting and training as a general IT services shop."
CreativeSense,https://creativesense.xyz/,"CreativeSense is a global digital service agency specializing in delivering innovative and results-driven solutions for businesses of all sizes. With a focus on Web Development, Mobile App Design, Digital Marketing and SEO we empower brands to achieve their digital goals.",IRRELEVANT,3,"Unreachable site; blurb describes a digital-service agency centered on web, mobile and digital marketing/SEO."
GrowUp 2X Digital Company,https://growup2x.com/,"GrowUp 2X Digital Company, specialize in crafting tailored digital solutions that propel businesses into growth and success. As a full-service digital agency and an advanced IT solutions provider, we offer a diverse suite of services that includes digital marketing, web development, custom software development, mobile ...",IRRELEVANT,3,"Broad digital agency spanning app dev, digital marketing, SEO, graphics, data entry and video editing; engineering is not the core."
Bdtask Limited,https://www.bdtask.com/cyber-security-service.php,"BDTask Cyber Security Services: Protecting Your Digital World The importance of cybersecurity cannot be overstated. With the ever-increasing reliance on digital platforms for communication, business operations, and personal activities,The need for robust cybersecurity solutions has never been greater. Enter BDTask Cyber Security Services, a leading provider of comprehensive cybersecurity solutions designed to safeguard your digital ...",RELEVANT,8,"Established software house with a large catalog of engineered products (ERP, HRM, hospital, banking, LMS, marketplaces) plus cybersecurity services."
Marketing Help Lines,https://marketinghelplines.com/,"Digital marketing services encompass a wide range of strategies and tactics aimed at promoting products, services, or brands using digital channels. These services leverage the power of the internet and various online platforms to reach and engage with a target audience. Marketing Help Line's service ...",IRRELEVANT,2,"Digital marketing and creative agency (Facebook ads, SEO, SMS/email marketing, video production), not a software engineering firm."
JoulesLabs,https://jouleslabs.com/,"JoulesLabs turns your business ideas into powerful applications! We don't just do fancy SaaS - we build custom web, mobile, or desktop apps that perfectly fit your needs.Our expert developers work closely with you, ensuring clear communication and exceptional results. Ready to take your business to the next level?At JoulesLabs, we're passionate about turning your ...",RELEVANT,8,"Production-grade SaaS and AI development shop building custom web, mobile and desktop apps with an ownership-focused, AI-assisted engineering pipeline."
Raktch Technology & Software,https://www.raktch.com/,"Raktch Technology & Software is a cutting-edge tech company that offers a wide range of services, including web application development, mobile application development, AI-driven solutions, big data analytics, and API development. They specialize in building scalable, modern solutions using the latest technologies to help businesses achieve digital transformation and operational efficiency. In addition to their ...",RELEVANT,8,"Builds web/mobile applications, AI-driven and robotics software, rapid MVPs and legacy modernization with vetted AI/cloud specialists."
Intellis Idea,https://intellisidea.com/,"Intellis Idea is a product engineering and AI solutions company that helps startups, growing businesses, and enterprises transform ideas into scalable digital products. We combine product strategy, software engineering, cloud technologies, and artificial intelligence to build solutions that solve complex challenges, streamline operations, and create lasting business value. Our team of product managers, software engineers, ...",RELEVANT,8,"Product-engineering and AI firm offering custom software, ERP, web/mobile apps, AI & automation and cloud & DevOps with its own products (ERP, HMSPro)."
