name,linkedinUrl,website,tagline,description,foundedYear,employeeCount,employeeCountRange,followerCount,companyType,industries,specialities,hqCity,hqCountry
Fortmindz,https://www.linkedin.com/company/fortmindz/,https://fortmindz.com,Where Innovation Meets Perfection,"At Formindz we strive to offer you a broad experience with industry leading development practices and innovation. No job is too small, we are capable of creating a customised solution for your every need. From something as simple as an appealing company website with a spotless design and solid, dependable back-end logic, to a complex application that runs in the most demanding B2B or B2C marketplaces. ",2022,58,51-200,9045,Privately Held,IT Services and IT Consulting,"Website Development, Mobile Application Development, Software Development, UI/UX Design, Software Quality Assurance, Ecommerce Development, Product Engineering, Digital Transformation, Mobility Solutions, Digital Commerce, Technology Consulting, Product Design, Web Application Development, Custom Software Development",Kolkata,India
Coding Objects Private Limited (COPL),https://www.linkedin.com/company/codingobjects/,https://codingobjects.in/,"Empowering Industries with Deep AI — Backed by IIT Kharagpur, Driving Smart Automation & Sustainable Innovation.","Coding Objects Private Limited is a pioneering software development and analytics company specializing in Deep AI-powered industrial automation. We deliver intelligent, data-driven software products that help industries automate complex workflows, enhance operational efficiency, and generate actionable insights.  Our solutions are designed to meet the dynamic needs of modern manufacturing and industrial ecosystems—leveraging advanced AI, machine learning, and real-time analytics to drive innovat",2021,20,11-50,2553,Privately Held,IT Services and IT Consulting,"AI, Industries",Kolkata,India
Schemaphic Systems India Pvt. Ltd.,https://www.linkedin.com/company/schemaphic-systems/,https://www.schemaphic.com,"We design, we define, we publish your dream...","Schemaphic is lead by multidiscipline workforce, bringing together a wealth of talent and experience. Here, learning is not just our business, it is our passion. For us, seeking innovative and path-breaking ideas for our clients is a way of life.   Founded in 2012, Schemaphic believes in self, and that is the key to success. Schemaphic has one of the best top pool of executives who have spend nearly two decades in this IT industry.   Schemaphites work on patented and exciting products for compan",2012,17,11-50,1082,Privately Held,IT Services and IT Consulting,"Web developement, Mobile Development, Application Re-engineering, Product Development, Software Consultancy, AI, Customer Technical Support, Online Sotware Maintenance, Computer Vision, Machine Learning",Kolkata,India
SAR Venture & Softwares Pvt Ltd,https://www.linkedin.com/company/sar-venture-softwares-pvt-ltd/,https://sarvspl.com/,"Innovate | Automate | Elevate |
Your Digital Evolution Partner","SAR Venture & Softwares Pvt. Ltd. is a premier full-stack technology company dedicated to delivering innovative, scalable and secure digital solutions for businesses across the globe. Founded in 2020 as a vision-driven startup, we have rapidly evolved into a trusted digital transformation partner, helping hundreds of clients across industries adapt, innovate, and succeed in a fast-evolving world. Our expertise spans the entire digital ecosystem, from custom enterprise software and high-performan",2020,14,11-50,166,Privately Held,IT System Custom Software Development,"Web Development, Digital Marketing, IT Consulting, Core IT Services, Cloud & Infrastucture, Cybersecurity, Networking & IT support, Data & Analytics, Emerging , Emerging Technologies, Digital Marketing & Branding, Managed IT services, enterprise Solutions, Consulting & Outsourcing, Blockchain, mobile apps, Artificial Intelligence", Kolkata,India
Webbies,https://www.linkedin.com/company/webbies/,http://www.webbies.co,"We drive innovation through design-centred tech: be it your website, app or A.I integration. We can do it all!","Welcome to Webbies, where innovation meets excellence in web, app, and AI development. Tired of hearing that your timelines can't be attained or it's too complex? We can do it all!  11 years of trailblazing experience | Trusted by MNCs, SMEs and startups across 18 countries | Google awarded agency in tech and design and Apple WWDC17 invited company | A.I. driven solutions for today's challenges: Newly launched A.I. driven arm  We've worked with MNCs such as TCS, Jindal, Titan, Emami, Berger, Toy",2012,25,11-50,1756,Privately Held,Information Technology & Services,"App Development, Website development, Software services, artificial intelligence, A.I, ERP, react, mobile app development, UI/UX, Chatgpt, branding, logo design",Kolkata,India
Ingold Solutions GmbH,https://www.linkedin.com/company/ingold-solutions-gmbh/,https://ingoldsolutions.com/contact-us,"50+ Experts, 40+ Technologies, ISO 9001, 27001, SAP Partner, Adobe Commerce Solution Partner, Microsoft Solution Partner","Ingold Solutions GmbH is a full cycle digital agency with prestigious SAP silver partnership and Adobe Bronze partnership. As a Microsoft & Google certified partner, we help brands with proven digital strategies to create a sustainable brand identity and outsmart their competition. Our team of in-house, full-time experts have a sound exposure in Marketing, Design, Web & Cloud. As a service provider, we have catered a number of enterprise clients, SMEs as well as the startups to help them accentu",2022,8,11-50,740,Privately Held,IT Services and IT Consulting,,Berlin,Germany
Blue Horizon Energy,https://www.linkedin.com/company/blue-horizon-energy/,https://www.bluehorizonenergy.com,We're advancing America's transition to carbon-free energy.,"Blue Horizon Energy is an integrated development and construction firm delivering clean energy infrastructure for businesses, utilities, & communities across the United States. We deploy solar energy, battery storage, and EV charging technologies, and related electrical infrastructure.  What We Do:  Development | Construction | Financing | Project Operations | Maintenance  Markets We Serve:  Commercial | Industrial | Multi-Family | Agricultural | Civic | EPC Services  Technologies We Deploy:  So",2009,28,51-200,5052,Privately Held,Renewable Energy Power Generation,"Renewable Energy, Solar Energy, Energy Efficiency, Energy Saving Solutions, Solar Energy for Businesses, Solar Energy for Farms, Solar Energy for Government, Own Your Solar System, Dual-Axis Solar Trackers, Single-Axis Solar Trackers, Solar Energy for Schools, Commercial Solar Energy, Battery Storage, Demand Charge Management, EV Chargers, ESG Solutions, Carbon-free energy, EVSE, BESS, Solar Energy EPC, BESS EPC",Plymouth,United States
Oxbow Intellect,https://www.linkedin.com/company/oxbow-intellect/,http://oxbowintellect.com,"Leading Land Management, DroneTech & Geospatial Company","Oxbow Intellect is an ISO 9001:2015 and ISO 27001:2013 certified end-to-end IT, Geospatial, Drone Technology, Emerging Technologies, and Land Management solutions provider. We are deeply committed to delivering efficient, quality-driven services that not only meet but exceed client expectations—while significantly reducing operational costs and accelerating business growth.  Our strength lies in leveraging state-of-the-art technologies, including advanced UAV (drone) systems, AI-driven analytics",2022,19,11-50,5513,Privately Held,IT Services and IT Consulting,"Geospatial Services, AI & Machine Learning, Land & Revenue Management, Market Research, Software Development, Emerging Technologies, IOT, Drone Based Services, Industrial Automation",Kolkata,India
Perennation Computer Solutions Global Private Limited,https://www.linkedin.com/company/perennation-computer-solutions/,http://www.pcsgpl.com,Inspiring Young Engineers,"PCS Global Pvt. Ltd. is a leading global Information Technology services provider, committed to empowering businesses through innovative digital solutions. With a robust network of 1500+ skilled professionals across India, we serve enterprises across diverse industries, helping them accelerate digital transformation and achieve sustainable growth.  Our Core Services:  Web Application Development  Mobile Application Development  Internet of Things (IoT) Solutions  Data Science & Analytics  Staff ",2013,54,501-1000,15131,Privately Held,IT Services and IT Consulting,"Data Science, Python, Java J2EE, IoT, DBA, Corporate Training, Java, Salesforce",Kolkata,India
Detagenix Pvt. Ltd.,https://www.linkedin.com/company/detagenix/,www.detagenix.com,Empowering Businesses with Smarter IT,"Detagenix is an innovative IT services and consulting company focused on driving digital transformation for businesses of all sizes. We specialize in delivering end-to-end technology solutions, including software development, cloud services, and data-driven consulting.  Our expertise in Data Science, Artificial Intelligence, and Advanced Analytics empowers organizations to turn raw data into actionable insights, enabling smarter decisions and measurable growth.  At Detagenix, we combine deep tec",2020,26,11-50,1865,Privately Held,IT Services and IT Consulting,,INDIA,India
"AADI Global Solutions Inc.,",https://www.linkedin.com/company/aadiglobal-solutions/,https://www.aadiglobalsolutions.com/,"We customize the scale of the engagement according to client needs. Improving Business, Improving Lives.","With more than 7 years of experience serving numerous international and domestic clients across various industries and businesses, AADI Global Services Inc. delivers world-class contact centers, outsourcing, support services, and IT and Technological services from its three (3) state-of-the-art site centers in India and the Philippines. At AADI live our Mission, Vision, and Core Values every day, at every department and every level of the company. These principles are used as an active guide for",,33,51-200,272,Privately Held,Outsourcing and Offshoring Consulting,,Pasig,Philippines
GB Tech Service Private Limited,https://www.linkedin.com/company/gb-tech-service/,https://www.gbtechservice.com,Data Is Power,"We are end-to-end technology experts focused on providing solutions for Data Analytics Services, Software Development, Web Development, Knowledge Processing Outsourcing (KPO) and other IT Services for global customers. Our Company started it's full flagged IT operation from 2019 and has undertaken mission critical projects and product development on different technology domains for global customers to their complete satisfaction",2019,20,11-50,615,Privately Held,IT Services and IT Consulting,"Health-insurance claim adjudication & support, Fraud detection & predictive analytics, AI-as-a-Service (forecasting, data-modelling, risk scoring), Benefit Portal and Employee-Benefits Management Platforms, Custom enterprise application development, Repricing services & EDI integration",Kolkata,India
OrangeTree Global,https://www.linkedin.com/company/orangetreeglobal/,http://www.orangetreeglobal.com,Analytics and AI: Consulting & Training,"OrangeTree Global is one of India's leading Data Science, Analytics and AI training and consulting companies, founded in Kolkata in 2009.  In 15+ years, we have trained 10,000+ professionals and partnered with 50+ corporate clients — from fast-growing MSMEs to large enterprises — helping them build the data and AI skills they need to compete and grow.  What We Do  Analytics & BI Training — Business Analytics, Power BI, Tableau, SQL, and Excel for professionals and corporate teams.  Data Science ",2009,15,11-50,746,Privately Held,IT Services and IT Consulting,"Business Intelligence, Business analytics, Machine Learning, Artificial Intelligence, AI Product Design, Corporate Training, MSME Consulting, AI Consulting, Python Training, Data Science Training, Claude for Business Training, Data Visualisation, Digital Transformation",Sector V,India
WildCard Techno Services Pvt Ltd,https://www.linkedin.com/company/wildcard-techno-services-pvt-ltd/,http://www.wildcardts.com,Audio Communication | Video Conferencing | UC Solution | Workplaces Management,"For over 15 years, Wildcard Techno Services has been at the forefront of Unified Communications & Collaboration (UC&C), helping businesses modernize their communication infrastructure. As an authorized Value-Added Distributor for global brands like Yealink and Yeastar, we offer a full suite of IP telephony, meeting room technology, and cloud-based communication tools to enhance productivity and collaboration.  At Wildcard, we empower our channel partners with resources, expertise, and guidance n",2009,39,11-50,1421,Privately Held,IT Services and IT Consulting,"Dialers, VoIP Gateway, IP Phones, Networking, Call Centre Headsets, Firewall, Telephony Boards, IPBBX, Video Conferencing Solutions, UC&C Solutions, Wireless Headsets, Wired Headsets, Meeting Solutions, Microsoft Teams Integration, Conference Phones, Hybrid Workplace Tools, Video Room Systems",Kolkata,India
Tailors Cove,https://www.linkedin.com/company/tailorscove/,https://tailorscove.com/,A premium fashion brand . Where Style Meets Comfort in Every Stitch.,"""Step into Tailors Cove: Where Style Meets Comfort in Every Stitch. Our collection of men's apparel exemplifies luxury & comfort, tailored to add a spark of elegance to your wardrobe. Situated in the vibrant city of West Bengal – Kolkata. We are committed to offering the curated premium collection at a minimal cost with an eco-friendly approach. Our products come with biodegradable tags & packaging. Comfort & Quality is our first priority whether it’s our apparel or your shopping journey, that’s",,2,2-10,12,Privately Held,Retail Apparel and Fashion,,Kolkata,India
Minerva Infotech,https://www.linkedin.com/company/minerva-infotech/,http://www.minervainfotech.com,"Driving Innovation in Digital and Web Space. Enterprise WordPress Solutions, Mobile Apps & Digital Technology Consulting","Minerva Infotech is a leading website development and digital marketing company in India. For the last 15 years, We are super-specialized in Web Design and Development and digital marketing services.  We have completed over 1460+ projects for 275+ clients across the globe in 19+ countries.",,37,11-50,5169,Partnership,IT Services and IT Consulting,"website development, web design, wordpress, graphic design, digital marketing",KOLKATA,India
Ignituz.ai,https://www.linkedin.com/company/ignituz/,http://www.ignituz.ai,Turning your AI investments into Measurable ROI,"We're the full service AI consultants who started decades before ChatGPT became a verb. With full service deployment, we deliver the impact $$$",,1,51-200,10,Privately Held,IT Services and IT Consulting,"Data Engineering, AI and ML, Governance, Threat Modeling",Charlotte,United States
"PayCube, Inc.",https://www.linkedin.com/company/paycube-inc-/,http://www.paycubeinc.com,,"PayCube is founded with the vision to help drive change and innovation in the world of Payment technologies by providing IT Strategy, Consulting & Development services.   Payment and consumer transaction acquiring management is a challenge faced by almost all industries. PayCube has the experience in various verticals to deliver change, innovation and business as usual initiatives needed to positively influence consumer experiences for various payments, financial services and retail environmen",2011,15,51-200,2615,Privately Held,IT Services and IT Consulting,"ATM / Kiosks / Terminals, TITO - Ticket in Ticket out, Payment Gateway, Settlement systems, Mobile Applications, Payments, Fintech, Custom Software Development",Fremont,United States
Vidyalo,https://www.linkedin.com/company/vidyalo/,https://www.vidyalo.com/,Partnering in your child's holistic growth,"Vidyalo provides extensive information on schools across India and it also allows users access to detailed profiles of each institution as well as contact information so they can easily get in touch with representatives. Vidyalo offers valuable insights into current educational trends through news articles and expert advice. With this tool, finding quality schools is easier than ever before! We aim to bring a complete school education ecosystem in one platform. We believe that education should b",2023,3,2-10,176,Public Company,"Technology, Information and Internet",,Kolkata,India
Australian Translation Services,https://www.linkedin.com/company/australian-translation-service/,https://australiantranslationservices.com.au/,We only employ NAATI translators and have been operating translation service in a wide range of categories.,"Professional Translation Services provider By NAATI Translator. We translate all languages into English in Melbourne, Sydney, Perth.",,7,51-200,970,Privately Held,Translation and Localization,"Birth Certificate Translation, Driver License Translation, Marriage Certificate Translation, Medical Report Translation, Migration Translators , NAATI Translator, Website Translation, Business Translation,  Language Translation",NSW,Australia
Kloudz Computing,https://www.linkedin.com/company/kloudz-computing/,http://www.kloudzcomputing.tech,"AI Infrastructure, Agentic Workflows & Enterprise Product Engineering","Kloudz Computing designs, builds, and scales intelligent digital systems and cloud-native architecture for high-growth enterprises.  We partner with founders, CTOs, and operations leaders who need more than just developers; they need systems that are stable, secure, and built to scale.  Our work often begins where others stop: • Legacy systems that can’t scale • Applications that crash under real-world load • Rising infrastructure costs • MVPs that need to become real products  What we do best: ",2009,18,51-200,832,Privately Held,IT Services and IT Consulting,"Web Development (Custom & Responsive), Full-Stack Development (MERN, MEAN, LAMP, JAMstack), Mobile App Development (iOS, Android, React Native, Flutter), Frontend Development (React.js, Vue.js, Angular, HTML5, CSS3), Backend Development (Node.js, Django, Laravel, Express.js), E-commerce Platform Development, Cloud & DevOps (AWS, Google Cloud, Docker, Kubernetes), AI & Machine Learning Solutions, Blockchain Application Development, Internet of Things (IoT) Applications, UI/UX Design & Prototyping, Progressive Web Apps (PWAs), SaaS Platform Development, Social Networking Platform Development, Data Analytics & Reporting Tools, Cybersecurity & PCI DSS Compliance, SLM, Rag Applications, Private GPT, MVP to Scale, Business Automation, Legacy System Modernization",Kolkata,India
Web Prism Dynamics LLP,https://www.linkedin.com/company/wpdynamics/,https://webprismits.com/,"Your Success Partners in Digital, Business, & Technology! We specialize in developing mobile apps and designing websites","Web Prism is a technology services company. We specialize in software development and provide a variety of tailored services to startups, expanding businesses, and large enterprises around the world. With over 8 years of experience and a team of more than 155+ experts, we have successfully completed over 750+ projects, helping over 210+ clients globally launch digital products and boost business growth through our tailored solutions.  We offer a wide range of IT and business solutions, covering ",2019,27,51-200,1722,Privately Held,IT Services and IT Consulting,"Android and iOS apps development, Web Application Development, UI/ UX Design, Web Based Software, E-Commerce Development, Support and maintenance, SaaS and Cloud based Solutions, Desktop Application Development, Digital Marketing, Low Code and no Code Development, Blockchain,  Cloud Solutions, Product Design, Dedicated Hiring, Java Development, Python, AI, ML, Nodejs, Reactjs, Flutter, React Native, Progressive web app, Angular, Vuejs, CMS, WordPress, PHP, Haskell",Kolkata,India
AI Fiesta,https://www.linkedin.com/company/aifiesta/,https://aifiesta.ai,"The world’s most powerful AIs, all in one chat, at half the cost of a single premium AI subscription.","AI Fiesta brings you instant access to the world’s premium AI models—including ChatGPT, Gemini, Claude, DeepSeek, and Grok, all in one chat for just $12/month (₹999/month), which is nearly half the cost of a single premium AI subscription.  Key features include:  1. Multi-expert comparison: Get 10+ expert perspectives at once, toggle specific models, and retain chat history for streamlined research. 2. Prompt Boost: Instantly improve your questions for richer, smarter AI-generated answers—no pro",,25,11-50,3149,Privately Held,"Technology, Information and Internet",,,
SilverClouding | A Shopify Expert Agency,https://www.linkedin.com/company/silverclouding/,https://www.silverclouding.com,"We are an eCommerce, Shopify Website & App Development Agency.","Silverclouding - A Silver Touch To Your Online Presence.  We are passionate and believe in simple to create excellent websites for you business. We are small yet big to take pride in each and every job we do and confident enough to take every projects of all sizes. We always say, ""Bring in - We build it with a silver touch""​.  We pride ourselves on using a modern agile workflow and industry best practices to craft modern solutions to our clients’ problems that are as elegant as they are enjo",2012,18,11-50,2319,Privately Held,IT Services and IT Consulting,"Web Development, PHP Development, Web Design, Word Press Development, Magento Development, Shopify Development, Ecommerce Development, Logo Design, shopify experts, shopify, shopify eCommerce",Kolkata,India
Crystal Tech Lab,https://www.linkedin.com/company/crystaltech-lab/,https://crystaltechlab.com/,Crystal Tech Lab | Empowering Businesses Through Scalable IT & Tech Solutions,"Crystal Tech Lab (CTL), a brand of Actionsol Private Limited, helps businesses innovate, automate, and scale with intelligent digital and SaaS solutions. We empower enterprises to transform ideas into high-performance, scalable systems that deliver measurable impact and build future-ready technology ecosystems.  From concept to code, we partner with organizations to modernize legacy systems, harness data intelligence, and integrate emerging technologies that enable growth and resilience. With a ",2018,35,11-50,5211,Partnership,IT Services and IT Consulting,,kolkata,India
FastCad Coding,https://www.linkedin.com/company/fastcad-coding/,https://fastcadcoding.in,"Unlocking Code, Empowering Futures.","At FastCad Coding, we're on a mission to empower individuals and businesses by providing a comprehensive suite of IT services and solutions. Our expertise spans across a wide range of cutting-edge technologies, including software development, cloud computing, cybersecurity, and data analytics, to meet the evolving needs of our clients in today's digital age.  Through our innovative educational platform, we offer expertly crafted courses in programming, web development, and advanced technologies ",2020,3,11-50,2271,Privately Held,IT Services and IT Consulting,"Data Analytics, Artificial Intelligence (AI), Machine Learning (ML), IT Consulting, Web Development, Mobile App Development, Business Intelligence (BI), Blockchain Technology, Internet of Things (IoT), Network Infrastructure, Managed IT Services, Virtual Reality (VR), DevOps, Enterprise Resource Planning (ERP), Augmented Reality (AR)",pune,India
Aprodence Technologies LLP,https://www.linkedin.com/company/aprodence-technologies-llp/,https://www.aprodence.com,Building AI-Driven Digital Products,"Aprodence Technologies LLP is a trusted and leading full-service UI/UX Design and development company that offers futuristic and unique custom web & mobile App solutions. Aprodence Technologies LLP was established in 2021 and is a trusted web, iOS, and Android app development company with over 85 global engagements successfully delivered.  We develop and design an approach that will work most effectively for each client. Our dedicated Professional team will provide you with the best solution to ",2021,16,11-50,2624,Privately Held,Information Technology & Services,"Mobile App Development, Website Development, Flutter, iOS, Android, UI/UX, Figma, WordPress, AWS, Node js, Angular js, React js",Kolkata,India
Tecosys,https://www.linkedin.com/company/tecosysin/,tecosys.in,Reimagining Innovation Through AI,"Tecosys is a multi-layered deeptech company developing advanced reasoning, automation, and cognitive infrastructure solutions for global industries. The company builds Nutaan, a next-generation cognitive reasoning cloud powered by the patented H-RAM (Humanized Reasoning & Memory) & DEE architectures. Nutaan adds a Cognitive Reasoning Layer on top of traditional AI models, acting as the decision-making engine that increases factual accuracy, eliminates hallucinations, and ensures consistent outpu",,10,11-50,7306,Partnership,IT Services and IT Consulting,,Kolkata,India
Bizcommits,https://www.linkedin.com/company/bizcommits/,http://www.bizcommits.com,Committed to Business !,"We provide cutting edge Web and Mobile app solutions. We are emerging team of Software development and you will get best and delightful experience working with us.  We specialize in Microsoft, Oracle, Open Source & Mobile technologies & development.  Development centre based in Kolkata city, India.  Over a 15+ years of experience in Microsoft technologies like ASP .NET, .NET MVC and .NET Core.   Over 12 + Years of experience in Database , Data warehousing, ETL and Data Manupulation.  7+ years of",2019,13,11-50,724,Privately Held,Information Technology & Services,"Software Development, Power BI, BI Analytics, Customer Support",Kolkata,India
EEGRAB,https://www.linkedin.com/company/eegrab/,https://www.eegrab.com,Driving the Future of IoT and IIoT with Innovation and Precision,"EEGRAB is a leading provider of IoT and IIoT solutions, empowering industries to achieve digital transformation through innovative and scalable technologies. Our expertise spans:  IoT & IIoT Solutions: Optimizing industrial operations with connected devices and data-driven insights. Smart Monitoring Systems: Enhancing safety and efficiency with real-time analytics and predictive maintenance. Industrial Wearables: Improving health and safety for the workforce with cutting-edge tracking solutions.",2017,17,11-50,6630,Self Owned,IT Services and IT Consulting,"IoT, Cloud Controlled Locker, Indoor Navigation, Cloud Architect, Machine Learning, Embedded Design and Implementation, Blockchain development, AWS, Cognitive Intelligence, Smart Campus, Smart POS, Hot Desking, Asset tracking, File tracking, RFID, Smart Parking, Loan worker tracking, Labor tracking, Mobile app development, Beacons, Laptop tracking, Smart City",KOLKATA,India
VENKATESH IT SOLUTIONS PRIVATE LIMITED,https://www.linkedin.com/company/venkatesh-it-solutions-private-limited/,https://www.venkatesh-it.co.in/,One Stop Solution,"VENKATESH IT SOLUTIONS (VITS) is an ISO 9001:2008 and ISO 27001 certified, MSME-registered company, recognized as one of the leading system integrators in the industry. With a legacy of 30 Years- VITS offers a comprehensive range of IT products and services. We cater to a diverse clientele — from small and medium-sized businesses to blue-chip companies — and specialize in delivering tailored IT infrastructure solutions for educational institutions.",2013,19,51-200,282,Privately Held,IT Services and IT Consulting,,Kolkata,India
Senrysa Technologies Limited,https://www.linkedin.com/company/senrysa/,http://www.senrysa.com,India-Built | Bharat-Focused | Globally Relevant | Fintech • GovTech • AI • D2I Commerce • MSME Digitization,"India-Built. Bharat-Focused. Globally Relevant.  Senrysa Technologies is a pioneer in Digital Transformation, building the core infrastructure that powers India’s connected economy. For over 14 years, we’ve been at the forefront of Fintech, GovTech, AI, and Digital Commerce, contributing to the nation’s India Stack vision — where inclusion, innovation, and intelligence drive impact at scale.  From enabling Aadhaar-enabled payments and digital public distribution systems to designing AI-driven su",2011,235,201-500,5985,Public Company,IT Services and IT Consulting,"Financial Inclusion, Payment System, MicroATM, eGovernance, eCommerce, Cognitive Technologies, Digital Branding & Marketing, BFSI, Application Development, mobility, Data Management & Business Intelligence, IT Infrastructure Management, Internet of Things(IoT)",Kolkata,India
