wave,company,gate,gate_reason,outcome,contacts_pushed,founders_in_research,named_resolved,founders_recovered,founded,shutdown,funding_raised,status,source
"P2P Lending / Fintech NBFC (survivors: Faircent, LenDenClub)",Finzy,TARGET,dead/dormant + named founder,PUSHED to Ishpreet Sood,4,"Abhinav Sherwal, Amit More, Apoorv Gawde, Vishwas Dixit",4,0,-,~2024,-,Dead/frozen (RBI show-cause notice),medianama.com
"P2P Lending / Fintech NBFC (survivors: Faircent, LenDenClub)",Rang De,HOLD,NO_FOUNDER — research row has no named person,PUSHED to Ishpreet Sood,2,(none named in research),0,2,-,~2024,-,Halted withdrawals (RBI action),medianama.com; yourstory.com
"P2P Lending / Fintech NBFC (survivors: Faircent, LenDenClub)",Financepeer,HOLD,NO_FOUNDER — research row has no named person,PUSHED to Ishpreet Sood,1,(none named in research),0,1,-,~2024,-,Halted withdrawals (RBI action),medianama.com; yourstory.com
"P2P Lending / Fintech NBFC (survivors: Faircent, LenDenClub)",i-lend,HOLD,NO_FOUNDER — research row has no named person,no callable person found,0,(none named in research),0,0,-,~2024,-,Halted withdrawals (RBI action),medianama.com; yourstory.com
"P2P Lending / Fintech NBFC (survivors: Faircent, LenDenClub)",13Karat,HOLD,NO_FOUNDER — research row has no named person,no callable person found,0,(none named in research),0,0,-,~2024,-,Halted withdrawals (RBI action),medianama.com; yourstory.com
"Furniture & Home Decor E-comm (survivors: Pepperfry, Urban Ladder->Reliance)",FabFurnish,EXCLUDE,IP_HELD — acquirer owns the codebase,not targeted,0,"Vikram Chopra, Mehul Agrawal, Vaibhav Aggarwal",0,0,2011/12,2017,~$30M,Acquired-dead (Future Group 2016; IP w/ Future),inc42.com
"Furniture & Home Decor E-comm (survivors: Pepperfry, Urban Ladder->Reliance)",Mebelkart,TARGET,dead/dormant + named founder,PUSHED to Shobit Gupta,1,"Rahul Agrawal, Nikhil Saraf",2,0,~2013,2017,~$20M (via AskMe),Acquired then collapsed (AskMe shut 2016),wikipedia.org; yourstory.com
"Furniture & Home Decor E-comm (survivors: Pepperfry, Urban Ladder->Reliance)",Zansaar,TARGET,dead/dormant + named founder,PUSHED to Shobit Gupta,1,"Jawad Ayaz, Vinod Chandran",1,0,2012,~2015,~$6M,Dead (clean),crunchbase.com
"Furniture & Home Decor E-comm (survivors: Pepperfry, Urban Ladder->Reliance)",Fabmart/Indiaplaza,TARGET,dead/dormant + named founder,PUSHED to Shobit Gupta,1,K. Vaitheeswaran,1,0,1999,2013,angel/VC,"Dead (clean, historic)",business-standard.com
"Online Pharmacy (survivors: PharmEasy, 1mg/Tata, Netmeds/Reliance)",Zigy.com (PM Health & Life Care),TARGET,dead/dormant + named founder,no callable person found,0,"Phaneesh Murthy, Anil Bajpai",0,0,2015,2016,~$5M,Dead (clean),the-ken.com; cbinsights.com
"Online Pharmacy (survivors: PharmEasy, 1mg/Tata, Netmeds/Reliance)",Pluss,TARGET,dead/dormant + named founder,PUSHED to Shobit Gupta,2,"Atit Jain, Madhulika Pandey, Tarun Lawadia",2,0,2015,2016,~$1M,Acquired-dead (Netmeds),cbinsights.com
"Online Pharmacy (survivors: PharmEasy, 1mg/Tata, Netmeds/Reliance)",Medlife,TARGET,dead/dormant + named founder,no callable person found,0,"Prashant Singh, Tushar Kumar",0,0,2014,2021,~$39M,Acquired-dead (PharmEasy 2021),wikipedia.org; inc42.com
"Online Pharmacy (survivors: PharmEasy, 1mg/Tata, Netmeds/Reliance)",mChemist,HOLD,NO_FOUNDER — research row has no named person,PUSHED to Shobit Gupta,1,(none named in research),0,2,-,-,small,Dead/dormant,yourstory.com
"Online Pharmacy (survivors: PharmEasy, 1mg/Tata, Netmeds/Reliance)",Bookmeds,HOLD,NO_FOUNDER — research row has no named person,no callable person found,0,(none named in research),0,0,-,-,small,Dead/dormant,yourstory.com
"Online Pharmacy (survivors: PharmEasy, 1mg/Tata, Netmeds/Reliance)",Medidart,HOLD,NO_FOUNDER — research row has no named person,PUSHED to Ishpreet Sood,1,(none named in research),0,1,-,-,small,Dead/dormant,yourstory.com
"Online Pharmacy (survivors: PharmEasy, 1mg/Tata, Netmeds/Reliance)",Savemymeds,HOLD,NO_FOUNDER — research row has no named person,no callable person found,0,(none named in research),0,0,-,-,small,Dead/dormant,yourstory.com
Hyperlocal Home Services (survivor: Urban Company),Zimmber,TARGET,dead/dormant + named founder,PUSHED to Ishpreet Sood,3,"Anubhab Goel, Gaurav Shrivastava, Amit Kumar",3,0,2014,2017,~$11M,"Acquired-dead (Quikr, ~$10M all-stock)",inc42.com
Hyperlocal Home Services (survivor: Urban Company) | Hyperlocal Laundry (no dominant survivor),Doormint,TARGET,dead/dormant + named founder,PUSHED to Shobit Gupta,2,"Abhinav Agarwal, Naga Chokkanathan",2,0,2014/15,2016,Helion/Kalaari-backed,Dead (assets -> Wassup),yourstory.com
Hyperlocal Home Services (survivor: Urban Company),Housejoy,TARGET,dead/dormant + named founder,PUSHED to Ishpreet Sood,2,"Sunil Goel, Arjun Mendu, Saran Chatterjee",2,0,2015,~2019,~$27M,Dead/pivoted (construction),entrackr.com
Hyperlocal Home Services (survivor: Urban Company),FindYahan,TARGET,dead/dormant + named founder,PUSHED to Shobit Gupta,2,"Rachit Mathur, Snehil Khanor",2,0,2013,2016,small,Acquired-dead (Zimmber),cbinsights.com
Hyperlocal Home Services (survivor: Urban Company),Taskbob,TARGET,dead/dormant + named founder,PUSHED to Ishpreet Sood,1,Aseem Khare,1,0,2015,2017,~$5M,Dead (clean),Multiple sources
"Used Car Marketplaces (survivors: CarDekho, Cars24, CarTrade, Spinny, Droom)",Truebil,TARGET,dead/dormant + named founder,PUSHED to Shobit Gupta,4,"Rakesh Raman, Shanu Vivek, Suraj Kalwani, Shubh Bansal",4,0,2015,2020,~$27M,"Acquired-dead (Spinny, Aug 2020)",tracxn.com; cbinsights.com
"Social/Video Commerce (survivors: Meesho, DealShare)",Simsim,EXCLUDE,IP_HELD — acquirer owns the codebase,not targeted,0,"Amit Bagaria, Kunal Suri, Saurabh Vashishtha",0,0,2019,2023,~$17M,"Acquired-dead (YouTube 2021, ~$70M; IP = Google)",techcrunch.com; inc42.com
"Social/Video Commerce (survivors: Meesho, DealShare)",Bulbul,TARGET,dead/dormant + named founder,PUSHED to Shobit Gupta,1,Sachin Bhatia,1,0,2019,2022,~$18M,Acquired-dead (Good Glamm Group),inc42.com
"Social/Video Commerce (survivors: Meesho, DealShare)",Trell,TARGET,dead/dormant + named founder,PUSHED to Shobit Gupta,3,"Pulkit Agrawal, Prashant Sachan, Bimal Kartheek Rebba",3,0,2016,2022,~$57M,"Dead (financial-irregularity allegations, Sequoia exit)",inc42.com
"Quick Commerce (survivors: Zepto, Blinkit, Instamart)",Dunzo,TARGET,dead/dormant + named founder,PUSHED to Ishpreet Sood,2,"Kabeer Biswas, Ankur Agarwal, Dalvir Suri, Mukund Jha",2,0,2014,2025,$450M+ (incl. Reliance $200M),"Dead (clean, Jan 2025)",restofworld.org; wikipedia.org
"Quick Commerce (survivors: Zepto, Blinkit, Instamart)",Fraazo,TARGET,dead/dormant + named founder,PUSHED to Shobit Gupta,3,"Atul Kumar, Vikas Dosala, Sumit Rai, Aashish Krishnatre",3,0,2016,2022,~$68M,Dead,entrackr.com
"Quick Commerce (survivors: Zepto, Blinkit, Instamart)",1K Kirana (1K Stores),TARGET,dead/dormant + named founder,PUSHED to Ishpreet Sood,1,"Kumar Sangeetesh, Sachin Sharma, Abhishek Halder",1,0,2018,2024,~$36M,Dead (near-bankruptcy),inc42.com
"Quick Commerce (survivors: Zepto, Blinkit, Instamart)",Blip,TARGET,dead/dormant + named founder,no callable person found,0,"Ansh Agarwal, Sarvesh Kedia",2,0,2024,2025,bootstrapped,Dead (clean),yourstory.com
"Quick Commerce (survivors: Zepto, Blinkit, Instamart)",Otipy,TARGET,dead/dormant + named founder,PUSHED to Shobit Gupta,1,Varun Khurana,1,0,2020,~2025,~$40M,Dead,india.com
Hyperlocal Delivery/Logistics (consolidated into Zomato/Swiggy/Dunzo),Opinio,TARGET,dead/dormant + named founder,PUSHED to Ishpreet Sood,1,"Mayank Kumar, Lokesh Jangid",1,0,2014,2016,~$8.3M,Dead (clean; assets later to Cult.fit),yourstory.com; tracxn.com
Hyperlocal Delivery/Logistics (consolidated into Zomato/Swiggy/Dunzo),Parcelled,TARGET,dead/dormant + named founder,PUSHED to Ishpreet Sood,1,Xitij Kothi,1,0,2014,2016,~$5M,Dead (clean),yourstory.com; dealroom.co
Hyperlocal Delivery/Logistics (consolidated into Zomato/Swiggy/Dunzo),Roadrunnr/Runnr,TARGET,dead/dormant + named founder,PUSHED to Ishpreet Sood,1,"Mohit Kumar, Arpit Dave",1,0,2015,2017,~$21M,"Acquired-dead (Zomato, ~$40M)",inc42.com
Hyperlocal Laundry (no dominant survivor),PickMyLaundry,TARGET,dead/dormant + named founder,no callable person found,0,"Gaurav Agrawal, Ankur Jain, Samar Sisodia",0,0,2015,~2019,~$500K,Dead/dormant,tracxn.com; inc42.com
Hyperlocal Laundry (no dominant survivor),Tooler,TARGET,dead/dormant + named founder,no callable person found,0,Sukanth Srivastava,0,0,2015,2016,angel,Dead (clean),yourstory.com
Hyperlocal Laundry (no dominant survivor),LaundroKart,TARGET,dead/dormant + named founder,PUSHED to Ishpreet Sood,2,"Vineet Patil, Ravi Raghav",2,0,2014,~2017,unfunded,Dead/dormant,tracxn.com
Hyperlocal Laundry (no dominant survivor),Urban Dhobi,TARGET,dead/dormant + named founder,PUSHED to Ishpreet Sood,1,"Tushar Thettayil, Satyam Mishra",1,0,2015,~2017,~$18K,Dead/dormant,tracxn.com
Hyperlocal Laundry (no dominant survivor),Flashdoor,HOLD,NO_FOUNDER — research row has no named person,PUSHED to Shobit Gupta,1,(none named in research),0,1,-,~2016/17,small,Dead,Multiple sources
Hyperlocal Laundry (no dominant survivor),MyWash,HOLD,NO_FOUNDER — research row has no named person,PUSHED to Shobit Gupta,3,(none named in research),0,3,-,~2016/17,small,Acquired-dead (Housejoy),Multiple sources
Hyperlocal Laundry (no dominant survivor),OneClickWash,HOLD,NO_FOUNDER — research row has no named person,PUSHED to Ishpreet Sood,3,(none named in research),0,3,-,~2016/17,small,Acquired-dead (PickMyLaundry),Multiple sources
Daily Deals / Group Buying (2011-2013; no pure survivor),Taggle,TARGET,dead/dormant + named founder,PUSHED to Shobit Gupta,1,Rutvik Doshi,1,0,-,-,-,Dead (clean),businesstoday.in
Daily Deals / Group Buying (2011-2013; no pure survivor),Dealsandyou,TARGET,dead/dormant + named founder,no callable person found,0,Harish Bahl,0,0,-,-,-,Dead/dormant,afaqs.com
Daily Deals / Group Buying (2011-2013; no pure survivor),Koovs (deals era),TARGET,dead/dormant + named founder,no callable person found,0,Rakesh Biyani,0,0,-,-,-,"Pivoted to fashion, then dead",businesstoday.in
Daily Deals / Group Buying (2011-2013; no pure survivor),Shopo (Snapdeal C2C),EXCLUDE,IP_HELD — acquirer owns the codebase,not targeted,0,(none named in research),0,0,-,2017,-,Dead (IP w/ Snapdeal),cbinsights.com
"Crypto/Web3 Exchanges (survivors: CoinDCX, CoinSwitch)",Koinex,TARGET,dead/dormant + named founder,PUSHED to Shobit Gupta,3,"Rahul Raj, Rakesh Yadav, Aditya Naik",3,0,2017,2019,-,Dead (clean),cbinsights.com; dealroom.co
"Crypto/Web3 Exchanges (survivors: CoinDCX, CoinSwitch)",Coindelta,HOLD,NO_FOUNDER — research row has no named person,PUSHED to Shobit Gupta,2,(none named in research),0,3,-,~2019,-,Dead (clean),coingape.com; cbinsights.com
"Crypto/Web3 Exchanges (survivors: CoinDCX, CoinSwitch)",Coinome,HOLD,NO_FOUNDER — research row has no named person,no callable person found,0,(none named in research),0,0,-,~2018/19,-,Dead (clean),coingape.com; cbinsights.com
"Crypto/Web3 Exchanges (survivors: CoinDCX, CoinSwitch)",BTCXIndia,HOLD,NO_FOUNDER — research row has no named person,no callable person found,0,(none named in research),0,0,-,~2018/19,-,Dead (clean),coingape.com; cbinsights.com
