wave	company	founders	founded	shutdown	funding_raised	status	founder_notes	source
Edtech (survivors: PhysicsWallah, upGrad, Unacademy)	Crejo.Fun	various	-	2022	Matrix-backed	Dead (clean)	-	Prior session research
Edtech (survivors: PhysicsWallah, upGrad, Unacademy)	SuperLearn	various	-	2022	varies	Dead (clean)	-	Prior session research
Edtech (survivors: PhysicsWallah, upGrad, Unacademy)	Amazon Academy	(Amazon corporate)	2021	2023	corporate	Dead (IP = Amazon)	-	techcrunch.com
Edtech (survivors: PhysicsWallah, upGrad, Unacademy)	WhiteHat Jr	Karan Bajaj	-	wound down	acquired ($300M)	Acquired-dead (IP with BYJU'S)	-	Prior session research
Edtech (survivors: PhysicsWallah, upGrad, Unacademy)	Toppr	Zishaan Hayath	-	wound down	acquired ($150M)	Acquired-dead (IP with BYJU'S)	Zishaan Hayath -> exited 2021	Prior session research
P2P Lending / Fintech NBFC (survivors: Faircent, LenDenClub)	Monexo	Mukesh Bubna	-	~2024	-	Dead/wound down (RBI show-cause notice)	-	medianama.com
P2P Lending / Fintech NBFC (survivors: Faircent, LenDenClub)	Finzy	Abhinav Sherwal, Amit More, Apoorv Gawde, Vishwas Dixit	-	~2024	-	Dead/frozen (RBI show-cause notice)	-	medianama.com
P2P Lending / Fintech NBFC (survivors: Faircent, LenDenClub)	Rang De	various	-	~2024	-	Halted withdrawals (RBI action)	-	medianama.com; yourstory.com
P2P Lending / Fintech NBFC (survivors: Faircent, LenDenClub)	Financepeer	various	-	~2024	-	Halted withdrawals (RBI action)	-	medianama.com; yourstory.com
P2P Lending / Fintech NBFC (survivors: Faircent, LenDenClub)	i-lend	various	-	~2024	-	Halted withdrawals (RBI action)	-	medianama.com; yourstory.com
P2P Lending / Fintech NBFC (survivors: Faircent, LenDenClub)	13Karat	various	-	~2024	-	Halted withdrawals (RBI action)	-	medianama.com; yourstory.com
Furniture & Home Decor E-comm (survivors: Pepperfry, Urban Ladder->Reliance)	FabFurnish	Vikram Chopra, Mehul Agrawal, Vaibhav Aggarwal	2011/12	2017	~$30M	Acquired-dead (Future Group 2016; IP w/ Future)	Vikram Chopra -> founded Cars24	inc42.com
Furniture & Home Decor E-comm (survivors: Pepperfry, Urban Ladder->Reliance)	Mebelkart	Rahul Agrawal, Nikhil Saraf	~2013	2017	~$20M (via AskMe)	Acquired then collapsed (AskMe shut 2016)	-	wikipedia.org; yourstory.com
Furniture & Home Decor E-comm (survivors: Pepperfry, Urban Ladder->Reliance)	Zansaar	Jawad Ayaz, Vinod Chandran	2012	~2015	~$6M	Dead (clean)	Co-founder -> CapriCoast (later shut too)	crunchbase.com
Furniture & Home Decor E-comm (survivors: Pepperfry, Urban Ladder->Reliance)	Fabmart/Indiaplaza	K. Vaitheeswaran + 5	1999	2013	angel/VC	Dead (clean, historic)	K. Vaitheeswaran -> author/consultant	business-standard.com
Online Pharmacy (survivors: PharmEasy, 1mg/Tata, Netmeds/Reliance)	Zigy.com (PM Health & Life Care)	Phaneesh Murthy, Anil Bajpai	2015	2016	~$5M	Dead (clean)	Phaneesh Murthy -> advisory/PE	the-ken.com; cbinsights.com
Online Pharmacy (survivors: PharmEasy, 1mg/Tata, Netmeds/Reliance)	Pluss	Atit Jain, Madhulika Pandey, Tarun Lawadia	2015	2016	~$1M	Acquired-dead (Netmeds)	-	cbinsights.com
Online Pharmacy (survivors: PharmEasy, 1mg/Tata, Netmeds/Reliance)	Medlife	Prashant Singh, Tushar Kumar	2014	2021	~$39M	Acquired-dead (PharmEasy 2021)	Prashant Singh -> other ventures	wikipedia.org; inc42.com
Online Pharmacy (survivors: PharmEasy, 1mg/Tata, Netmeds/Reliance)	mChemist	various	-	-	small	Dead/dormant	-	yourstory.com
Online Pharmacy (survivors: PharmEasy, 1mg/Tata, Netmeds/Reliance)	Bookmeds	various	-	-	small	Dead/dormant	-	yourstory.com
Online Pharmacy (survivors: PharmEasy, 1mg/Tata, Netmeds/Reliance)	Medidart	various	-	-	small	Dead/dormant	-	yourstory.com
Online Pharmacy (survivors: PharmEasy, 1mg/Tata, Netmeds/Reliance)	Savemymeds	various	-	-	small	Dead/dormant	-	yourstory.com
Hyperlocal Home Services (survivor: Urban Company)	Zimmber	Anubhab Goel, Gaurav Shrivastava, Amit Kumar	2014	2017	~$11M	Acquired-dead (Quikr, ~$10M all-stock)	-	inc42.com
Hyperlocal Home Services (survivor: Urban Company)	Doormint	Abhinav Agarwal, Naga Chokkanathan	2014/15	2016	Helion/Kalaari-backed	Dead (assets -> Wassup)	-	yourstory.com
Hyperlocal Home Services (survivor: Urban Company)	Housejoy	Sunil Goel, Arjun Mendu, Saran Chatterjee	2015	~2019	~$27M	Dead/pivoted (construction)	-	entrackr.com
Hyperlocal Home Services (survivor: Urban Company)	FindYahan	Rachit Mathur, Snehil Khanor	2013	2016	small	Acquired-dead (Zimmber)	Snehil Khanor -> TrulyMadly	cbinsights.com
Hyperlocal Home Services (survivor: Urban Company)	Taskbob	Aseem Khare +	2015	2017	~$5M	Dead (clean)	-	Multiple sources
Used Car Marketplaces (survivors: CarDekho, Cars24, CarTrade, Spinny, Droom)	Truebil	Rakesh Raman, Shanu Vivek, Suraj Kalwani, Shubh Bansal	2015	2020	~$27M	Acquired-dead (Spinny, Aug 2020)	Shanu Vivek -> founder Reel Saga, GolBol	tracxn.com; cbinsights.com
Social/Video Commerce (survivors: Meesho, DealShare)	Simsim	Amit Bagaria, Kunal Suri, Saurabh Vashishtha	2019	2023	~$17M	Acquired-dead (YouTube 2021, ~$70M; IP = Google)	-	techcrunch.com; inc42.com
Social/Video Commerce (survivors: Meesho, DealShare)	Bulbul	Sachin Bhatia +	2019	2022	~$18M	Acquired-dead (Good Glamm Group)	Sachin Bhatia -> serial founder (ex-MakeMyTrip/TrulyMadly)	inc42.com
Social/Video Commerce (survivors: Meesho, DealShare)	Trell	Pulkit Agrawal, Prashant Sachan, Bimal Kartheek Rebba	2016	2022	~$57M	Dead (financial-irregularity allegations, Sequoia exit)	-	inc42.com
Quick Commerce (survivors: Zepto, Blinkit, Instamart)	Dunzo	Kabeer Biswas, Ankur Agarwal, Dalvir Suri, Mukund Jha	2014	2025	$450M+ (incl. Reliance $200M)	Dead (clean, Jan 2025)	Kabeer Biswas -> Flipkart Minutes head	restofworld.org; wikipedia.org
Quick Commerce (survivors: Zepto, Blinkit, Instamart)	Fraazo	Atul Kumar, Vikas Dosala, Sumit Rai, Aashish Krishnatre	2016	2022	~$68M	Dead	-	entrackr.com
Quick Commerce (survivors: Zepto, Blinkit, Instamart)	1K Kirana (1K Stores)	Kumar Sangeetesh, Sachin Sharma, Abhishek Halder	2018	2024	~$36M	Dead (near-bankruptcy)	-	inc42.com
Quick Commerce (survivors: Zepto, Blinkit, Instamart)	Blip	Ansh Agarwal, Sarvesh Kedia	2024	2025	bootstrapped	Dead (clean)	Ansh Agarwal (ex-Whatfix)	yourstory.com
Quick Commerce (survivors: Zepto, Blinkit, Instamart)	Otipy	Varun Khurana	2020	~2025	~$40M	Dead	Varun Khurana (ex-Grofers co-founder)	india.com
Hyperlocal Delivery/Logistics (consolidated into Zomato/Swiggy/Dunzo)	Opinio	Mayank Kumar, Lokesh Jangid	2014	2016	~$8.3M	Dead (clean; assets later to Cult.fit)	-	yourstory.com; tracxn.com
Hyperlocal Delivery/Logistics (consolidated into Zomato/Swiggy/Dunzo)	Parcelled	Xitij Kothi + 4	2014	2016	~$5M	Dead (clean)	-	yourstory.com; dealroom.co
Hyperlocal Delivery/Logistics (consolidated into Zomato/Swiggy/Dunzo)	Roadrunnr/Runnr	Mohit Kumar, Arpit Dave	2015	2017	~$21M	Acquired-dead (Zomato, ~$40M)	-	inc42.com
Hyperlocal Delivery/Logistics (consolidated into Zomato/Swiggy/Dunzo)	Townrush (logistics)	Saurya P. Sinha, Tushar Bisht, Ashutosh Banerjee	2015	2015	~$639K	Acqui-hired (Grofers)	-	inc42.com
Hyperlocal Laundry (no dominant survivor)	PickMyLaundry	Gaurav Agrawal, Ankur Jain, Samar Sisodia	2015	~2019	~$500K	Dead/dormant	All listed as former co-founders	tracxn.com; inc42.com
Hyperlocal Laundry (no dominant survivor)	Tooler	Sukanth Srivastava	2015	2016	angel	Dead (clean)	-	yourstory.com
Hyperlocal Laundry (no dominant survivor)	LaundroKart	Vineet Patil, Ravi Raghav	2014	~2017	unfunded	Dead/dormant	-	tracxn.com
Hyperlocal Laundry (no dominant survivor)	Urban Dhobi	Tushar Thettayil, Satyam Mishra	2015	~2017	~$18K	Dead/dormant	-	tracxn.com
Hyperlocal Laundry (no dominant survivor)	Doormint (laundry pivot)	Abhinav Agarwal	2015	2016	Helion/Kalaari	Dead (assets -> Wassup)	-	yourstory.com
Hyperlocal Laundry (no dominant survivor)	Flashdoor	various	-	~2016/17	small	Dead	-	Multiple sources
Hyperlocal Laundry (no dominant survivor)	MyWash	various	-	~2016/17	small	Acquired-dead (Housejoy)	-	Multiple sources
Hyperlocal Laundry (no dominant survivor)	OneClickWash	various	-	~2016/17	small	Acquired-dead (PickMyLaundry)	-	Multiple sources
Daily Deals / Group Buying (2011-2013; no pure survivor)	Taggle	Rutvik Doshi (CEO)	-	-	-	Dead (clean)	-	businesstoday.in
Daily Deals / Group Buying (2011-2013; no pure survivor)	Dealsandyou	Harish Bahl	-	-	-	Dead/dormant	-	afaqs.com
Daily Deals / Group Buying (2011-2013; no pure survivor)	Koovs (deals era)	Rakesh Biyani	-	-	-	Pivoted to fashion, then dead	-	businesstoday.in
Daily Deals / Group Buying (2011-2013; no pure survivor)	Shopo (Snapdeal C2C)	(Snapdeal)	-	2017	-	Dead (IP w/ Snapdeal)	-	cbinsights.com
Crypto/Web3 Exchanges (survivors: CoinDCX, CoinSwitch)	Koinex	Rahul Raj, Rakesh Yadav, Aditya Naik	2017	2019	-	Dead (clean)	-	cbinsights.com; dealroom.co
Crypto/Web3 Exchanges (survivors: CoinDCX, CoinSwitch)	Coindelta	various	-	~2019	-	Dead (clean)	-	coingape.com; cbinsights.com
Crypto/Web3 Exchanges (survivors: CoinDCX, CoinSwitch)	Coinome	various	-	~2018/19	-	Dead (clean)	-	coingape.com; cbinsights.com
Crypto/Web3 Exchanges (survivors: CoinDCX, CoinSwitch)	BTCXIndia	various	-	~2018/19	-	Dead (clean)	-	coingape.com; cbinsights.com
