founder,company,wave,founded,shutdown,funding_raised,status,primary_contact,notes
Dalvir Suri,Dunzo,Quick Commerce,2014,2025,$450M+ (incl. Reliance $200M),"Dead (clean, Jan 2025)",,Kabeer Biswas -> Flipkart Minutes head
Mukund Jha,Dunzo,Quick Commerce,2014,2025,$450M+ (incl. Reliance $200M),"Dead (clean, Jan 2025)",,Kabeer Biswas -> Flipkart Minutes head
Atul Kumar,Fraazo,Quick Commerce,2016,2022,~$68M,Dead,Y,-
Vikas Dosala,Fraazo,Quick Commerce,2016,2022,~$68M,Dead,,-
Sumit Rai,Fraazo,Quick Commerce,2016,2022,~$68M,Dead,,-
Aashish Krishnatre,Fraazo,Quick Commerce,2016,2022,~$68M,Dead,,-
Kumar Sangeetesh,1K Kirana (1K Stores),Quick Commerce,2018,2024,~$36M,Dead (near-bankruptcy),Y,-
Sachin Sharma,1K Kirana (1K Stores),Quick Commerce,2018,2024,~$36M,Dead (near-bankruptcy),,-
Abhishek Halder,1K Kirana (1K Stores),Quick Commerce,2018,2024,~$36M,Dead (near-bankruptcy),,-
Ansh Agarwal,Blip,Quick Commerce,2024,2025,bootstrapped,Dead (clean),Y,Ansh Agarwal (ex-Whatfix)
Sarvesh Kedia,Blip,Quick Commerce,2024,2025,bootstrapped,Dead (clean),,Ansh Agarwal (ex-Whatfix)
Varun Khurana,Otipy,Quick Commerce,2020,~2025,~$40M,Dead,Y,Varun Khurana (ex-Grofers co-founder)
Mayank Kumar,Opinio,Hyperlocal Delivery/Logistics,2014,2016,~$8.3M,Dead (clean; assets later to Cult.fit),Y,-
Lokesh Jangid,Opinio,Hyperlocal Delivery/Logistics,2014,2016,~$8.3M,Dead (clean; assets later to Cult.fit),,-
Xitij Kothi,Parcelled,Hyperlocal Delivery/Logistics,2014,2016,~$5M,Dead (clean),Y,-
Mohit Kumar,Roadrunnr/Runnr,Hyperlocal Delivery/Logistics,2015,2017,~$21M,"Acquired-dead (Zomato, ~$40M)",Y,-
Arpit Dave,Roadrunnr/Runnr,Hyperlocal Delivery/Logistics,2015,2017,~$21M,"Acquired-dead (Zomato, ~$40M)",,-
Gaurav Agrawal,PickMyLaundry,Hyperlocal Laundry,2015,~2019,~$500K,Dead/dormant,Y,All listed as former co-founders
Ankur Jain,PickMyLaundry,Hyperlocal Laundry,2015,~2019,~$500K,Dead/dormant,,All listed as former co-founders
Samar Sisodia,PickMyLaundry,Hyperlocal Laundry,2015,~2019,~$500K,Dead/dormant,,All listed as former co-founders
Sukanth Srivastava,Tooler,Hyperlocal Laundry,2015,2016,angel,Dead (clean),Y,-
Vineet Patil,LaundroKart,Hyperlocal Laundry,2014,~2017,unfunded,Dead/dormant,Y,-
Ravi Raghav,LaundroKart,Hyperlocal Laundry,2014,~2017,unfunded,Dead/dormant,,-
Tushar Thettayil,Urban Dhobi,Hyperlocal Laundry,2015,~2017,~$18K,Dead/dormant,Y,-
Satyam Mishra,Urban Dhobi,Hyperlocal Laundry,2015,~2017,~$18K,Dead/dormant,,-
Rutvik Doshi,Taggle,Daily Deals / Group Buying,-,-,-,Dead (clean),Y,-
Harish Bahl,Dealsandyou,Daily Deals / Group Buying,-,-,-,Dead/dormant,Y,-
Rakesh Biyani,Koovs (deals era),Daily Deals / Group Buying,-,-,-,"Pivoted to fashion, then dead",Y,-
Rahul Raj,Koinex,Crypto/Web3 Exchanges,2017,2019,-,Dead (clean),Y,-
Rakesh Yadav,Koinex,Crypto/Web3 Exchanges,2017,2019,-,Dead (clean),,-
Aditya Naik,Koinex,Crypto/Web3 Exchanges,2017,2019,-,Dead (clean),,-
