company_name,domain,domain_source,city,state_region,phone,email,source,profile_url,first_seen_run,notes
Braddock Infotech Pvt. Ltd.,braddockinfotech.com,listed,Kochi,Kerala,+91 9447530986,careers@braddockinfotech.com,infopark,https://infopark.in/companies-profile/braddock-infotech-pvt-ltd,2026-08-19,
Braid Technologies Pvt. Ltd,braidtechnologies.com,listed,Kochi,Kerala,9847128982,info@braidtechnologies.com,infopark,https://infopark.in/companies-profile/braid-technologies-pvt-ltd,2026-08-19,
Brennan IT India Private Limited,,backfill_needed,Kochi,Kerala,8097548206,india.recruitment@brennanit.com.au,infopark,https://infopark.in/companies-profile/brennan-it-india-private-limited,2026-08-19,
BroadTech IT Solutions Pvt Ltd,broadtech-innovations.com,listed,Kochi,Kerala,+91 9048654482,contact@broadtech-innovations.com,infopark,https://infopark.in/companies-profile/broadtech-it-solutions-pvt-ltd,2026-08-19,
CareRevenue Technology Pvt. Ltd.,carerevenue.com,listed,Kochi,Kerala,7510200399,careers@carerevenue.com,infopark,https://infopark.in/companies-profile/carerevenue-technology-pvt-ltd,2026-08-19,
Carnegie Worldwide Services Pvt Ltd,carnegieworldwideservices.com,listed,Kochi,Kerala,04844609761,worldwidecarnegie@gmail.com,infopark,https://infopark.in/companies-profile/carnegie-worldwide-services-pvt-ltd,2026-08-19,
Carol Solutions,carolsolutions.com,listed,Kochi,Kerala,+91 9846010135,lissamma@carolsolutions.com,infopark,https://infopark.in/companies-profile/carol-solutions,2026-08-19,
Cascade Revenue Management Pvt. Ltd,aimabms.com,listed,Kochi,Kerala,0484 4861626,hrd@aimagroup.co.uk,infopark,https://infopark.in/companies-profile/cascade-revenue-management-pvt-ltd,2026-08-19,
Cavli Wireless,cavliwireless.com,listed,Kochi,Kerala,8893204111,careers@cavliwireless.com,infopark,https://infopark.in/companies-profile/cavli-wireless,2026-08-19,
CCS Technologies (P) Ltd,ccs-technologies.com,listed,Kochi,Kerala,,careers@ccs-technologies.com,infopark,https://infopark.in/companies-profile/ccs-technologies-p-ltd,2026-08-19,
CEREIV Advisory LLP,cereiv.com,listed,Kochi,Kerala,9745767949,info@cereiv.com,infopark,https://infopark.in/companies-profile/cereiv-advisory-llp,2026-08-19,
CHISQUARE LABS,chisquarelabs.com,listed,Kochi,Kerala,7356949900,hr@chisquarelabs.com,infopark,https://infopark.in/companies-profile/chisquare-labs,2026-08-19,
CipherPeak Private Limited,cipherpeakpvtltd.com,listed,Kochi,Kerala,"+91 90747 07573, +91 974",cipherpeak@gmail.com,infopark,https://infopark.in/companies-profile/cipherpeak-private-limited,2026-08-19,
Classic Technologies & Business Solutions Pvt. Ltd.,ctebs.com,listed,Kochi,Kerala,+91 9048400038,careers@ctebs.com,infopark,https://infopark.in/companies-profile/classic-technologies-business-solutions-pvt-ltd,2026-08-19,
Clevero India Pvt. Ltd.,cleverotel.com,listed,Kochi,Kerala,98952 25072,joji@clevero.com,infopark,https://infopark.in/companies-profile/clevero-india-pvt-ltd,2026-08-19,
CloudHouse Technologies Pvt.Ltd,cloudhousetechnologies.com,listed,Kochi,Kerala,"0480 2737360,",info@cloudhousetechnologies.com,infopark,https://infopark.in/companies-profile/cloudhouse-technologies-pvt-ltd,2026-08-19,
Cloudium Software Pvt. Ltd.,cloudium.io,listed,Kochi,Kerala,04844850733,info@cloudium.io,infopark,https://infopark.in/companies-profile/cloudium-software-pvt-ltd,2026-08-19,
CLOUDVICE,cloudvice.com,listed,Kochi,Kerala,9037122872,info@cloudvice.com,infopark,https://infopark.in/companies-profile/cloudvice,2026-08-19,
CodeDesign Technologies Pvt Ltd,codedesign.in,listed,Kochi,Kerala,7558825266,info@codedesign.in,infopark,https://infopark.in/companies-profile/codedesign-technologies-pvt-ltd,2026-08-19,
CodeNext Technologies Pvt. Ltd.,codenexttechnologies.com,listed,Kochi,Kerala,9447406836,info@codenexttechnologies.com,infopark,https://infopark.in/companies-profile/codenext-technologies-pvt-ltd,2026-08-19,
Codmeric Infotech Pvt. Ltd.,codmeric.com,listed,Kochi,Kerala,+91 9605111710,arung91@gmail.com,infopark,https://infopark.in/companies-profile/codmeric-infotech-pvt-ltd,2026-08-19,
Coinone Global Solutions Pvt Ltd,coinoneglobal.com,listed,Kochi,Kerala,+91 999 5205 444,info@coinoneglobal.com,infopark,https://infopark.in/companies-profile/coinone-global-solutions-pvt-ltd,2026-08-19,
Conduent Business Services LLP,,backfill_needed,Kochi,Kerala,0484-2020202,Jothish.s@conduent.com,infopark,https://infopark.in/companies-profile/conduent-business-services-llp,2026-08-19,
Consoul Associates,consoulassociates.com,listed,Kochi,Kerala,+91-9072256810,info@consoulgroup.com,infopark,https://infopark.in/companies-profile/consoul-associates,2026-08-19,
ContactPoint 360,contactpoint360.com,listed,Kochi,Kerala,,hr.india@cp-360.com,infopark,https://infopark.in/companies-profile/contactpoint-360,2026-08-19,
CoolMinds Technologies Pvt Ltd.,coolmindsinc.com,listed,Kochi,Kerala,0484 241 5121,career@coolmindsinc.com,infopark,https://infopark.in/companies-profile/coolminds-technologies-pvt-ltd,2026-08-19,
Crossgen Technologies,crossgentech.com,listed,Kochi,Kerala,0484-2992021,info@crossgentech.com,infopark,https://infopark.in/companies-profile/crossgen-technologies,2026-08-19,
CSEIDC TECHNOLOGIES PVT LTD,cse.com,listed,Kochi,Kerala,+91 9037005084,cseidctechnologies@gmail.com,infopark,https://infopark.in/companies-profile/cseidc-technologies-pvt-ltd,2026-08-19,
Currentware India Pvt Ltd.,currentware.com,listed,Kochi,Kerala,+91-484-4055678,india@codework-solutions.com,infopark,https://infopark.in/companies-profile/currentware-india-pvt-ltd,2026-08-19,
Daddara,daddara.in,listed,Kochi,Kerala,8921062753,mail@daddara.in,infopark,https://infopark.in/companies-profile/daddara,2026-08-19,
Daskalos virtual Academy pvt Limited,mytuitionapp.com,listed,Kochi,Kerala,+91- 9778968024,hiring1@90plus.in,infopark,https://infopark.in/companies-profile/daskalos-virtual-academy-pvt-limited,2026-08-19,
Dataequinox,,backfill_needed,Kochi,Kerala,+919074083251,connect@dataequinox.com,infopark,https://infopark.in/companies-profile/dataequinox,2026-08-19,
Datafloat Technologies India Pvt Ltd,idcglobal.com,listed,Kochi,Kerala,0484 2975161,hrindia@idcglobal.com,infopark,https://infopark.in/companies-profile/datafloat-technologies-india-pvt-ltd,2026-08-19,
Datum Innovation,datuminnovation.com,listed,Kochi,Kerala,0478 2554009 Mob: 996173,jobs@datuminnovation.com,infopark,https://infopark.in/companies-profile/datum-innovation,2026-08-19,
DBiz AI Solutions Pvt. Ltd.,dbiz.ai,listed,Kochi,Kerala,9995617998,ThePeopleDesk@dbizsolution.com,infopark,https://infopark.in/companies-profile/dbiz-ai-solutions-pvt-ltd,2026-08-19,
Dee and Lee Services,deeandlee.com,listed,Kochi,Kerala,+919293811579,hr_talent@deeandlee.com,infopark,https://infopark.in/companies-profile/dee-and-lee-services,2026-08-19,
Difinity Digital,difinitydigital.com,listed,Kochi,Kerala,+91 99950 99789,careers@difinitydigital.com,infopark,https://infopark.in/companies-profile/difinity-digital,2026-08-19,
Digiora Technologies Pvt.Ltd.,digiora.com,listed,Kochi,Kerala,0484 4061387,info@digiora.com,infopark,https://infopark.in/companies-profile/digiora-technologies-pvt-ltd,2026-08-19,
Distinct Infotech Solutions,distinctinfotech.com,listed,Kochi,Kerala,+91 9074508742,hradmin@distinctinfotech.com,infopark,https://infopark.in/companies-profile/distinct-infotech-solutions,2026-08-19,
DOCGIANT SERVICES INDIA PVT.LTD.,docgiant.in,listed,Kochi,Kerala,6282503130,hrd@docgiant.in,infopark,https://infopark.in/companies-profile/docgiant-services-india-pvt-ltd,2026-08-19,
Dooth Internet Service Pvt. Ltd.,dooth.com,listed,Kochi,Kerala,+91 9249097368,hrindia@dooth.com,infopark,https://infopark.in/companies-profile/dooth-internet-service-pvt-ltd,2026-08-19,
Dot In Technologies,dotintech.com,listed,Kochi,Kerala,919446625200,dotintechnologies@gmail.com,infopark,https://infopark.in/companies-profile/dot-in-technologies,2026-08-19,
Dynactionize India Pvt Ltd,consono.ai,listed,Kochi,Kerala,+91 91 880 70144,info-india@dynactionize.com,infopark,https://infopark.in/companies-profile/dynactionize-india-pvt-ltd,2026-08-19,
Dynamed Healthcare Solutions Pvt.Ltd.,dynamedhealth.com,listed,Kochi,Kerala,"9072955500,0484-2977227",hr@dynamedhealth.com,infopark,https://infopark.in/companies-profile/dynamed-healthcare-solutions-pvt-ltd,2026-08-19,
EGC Global Services India Pvt Ltd,theegc.com,listed,Kochi,Kerala,+91 9946567777,egcgshr@psmicorp.com,infopark,https://infopark.in/companies-profile/egc-global-services-india-pvt-ltd,2026-08-19,
Electrifex Technologies Pvt. Ltd,,backfill_needed,Kochi,Kerala,+91 8590137646,info@electrifex.com,infopark,https://infopark.in/companies-profile/electrifex-technologies-pvt-ltd,2026-08-19,
ELEMMENT FAÇADE Pvt Ltd,elemmentfacade.com,listed,Kochi,Kerala,+91 8089894683,info@elemmentfacade.com,infopark,https://infopark.in/companies-profile/elemment-fa-ade-pvt-ltd,2026-08-19,
EMATRIX SOFTWARE PRIVATE LIMITED,ematrixsoftware.com,listed,Kochi,Kerala,+917356451100,info@ematrixsoftware.com,infopark,https://infopark.in/companies-profile/ematrix-software-private-limited,2026-08-19,
Emergio Technologies Pvt Ltd,emergiogames.com,listed,Kochi,Kerala,+91 7593898080,nisha@emergiotech.com,infopark,https://infopark.in/companies-profile/emergio-technologies-pvt-ltd,2026-08-19,
Empay Software Solutions Private Limited,,backfill_needed,Kochi,Kerala,0484-4865189,info@empaysoft.com,infopark,https://infopark.in/companies-profile/empay-software-solutions-private-limited,2026-08-19,
Empress InfoTech,empressinfotech.com,listed,Kochi,Kerala,0484-4042440,hr@empressinfotech.com,infopark,https://infopark.in/companies-profile/empress-infotech,2026-08-19,
Emsyne Technologies Private Limited,emsyne.com,listed,Kochi,Kerala,"0484-6677602 , 0484-6677",jobs@emsyne.com,infopark,https://infopark.in/companies-profile/emsyne-technologies-private-limited,2026-08-19,
Endeion Engineering Services Pvt.Ltd.,endeion.com,listed,Kochi,Kerala,+91 88489 06400,info@endeion.com,infopark,https://infopark.in/companies-profile/endeion-engineering-services-pvt-ltd,2026-08-19,
EnergyScape Renewables LLP,energyscaperenewables.com,listed,Kochi,Kerala,+91 9207130069,info@energyscaperenewables.com,infopark,https://infopark.in/companies-profile/energyscape-renewables-llp,2026-08-19,
EPI-USE India Pvt.Ltd.,epiuse.com,listed,Kochi,Kerala,+91 9778316023,hr_cochin@epiuse.com,infopark,https://infopark.in/companies-profile/epi-use-india-pvt-ltd,2026-08-19,
Eqsoft Business Solutions Pvt Ltd,eqsoftonline.com,listed,Kochi,Kerala,9946017660,hr@eqsoftglobal.com,infopark,https://infopark.in/companies-profile/eqsoft-business-solutions-pvt-ltd,2026-08-19,
Estro Tech Robotics and Innovations Pvt Ltd,estrotech.in,listed,Kochi,Kerala,+91 7306153206,contact@estrotech.in,infopark,https://infopark.in/companies-profile/estro-tech-robotics-and-innovations-pvt-ltd,2026-08-19,
EXACORE IT SOLUTIONS PRIVATE LIMITED,exacoreitsolutions.com,listed,Kochi,Kerala,+918138916160,career@exacoreitsolutions.com,infopark,https://infopark.in/companies-profile/exacore-it-solutions-private-limited,2026-08-19,
Exor India Pvt Ltd.,hr.in,listed,Kochi,Kerala,04842415101,hr.in.cochin@exorint.com,infopark,https://infopark.in/companies-profile/exor-india-pvt-ltd,2026-08-19,
Expeed Software Private Limited,expeed.com,listed,Kochi,Kerala,0091- 9633066613,info@expeed.com,infopark,https://infopark.in/companies-profile/expeed-software-private-limited,2026-08-19,
Experion Technologies,experionglobal.com,listed,Kochi,Kerala,04843067309,careers@experionglobal.com,infopark,https://infopark.in/companies-profile/experion-technologies,2026-08-19,
Exponential Digital Solutions Pvt.Ltd.,10xds.com,listed,Kochi,Kerala,+91 471 254 4210,connect@10xds.com,infopark,https://infopark.in/companies-profile/exponential-digital-solutions-pvt-ltd,2026-08-19,
Extravelmoney Technosol Private Limited,extravelmoney.com,listed,Kochi,Kerala,9072000850,join@extravelmoney.com,infopark,https://infopark.in/companies-profile/extravelmoney-technosol-private-limited,2026-08-19,
Facade Global Pvt. Ltd.,facadeglobal.in,listed,Kochi,Kerala,+91 0484 4010129,info@facadeglobal.com,infopark,https://infopark.in/companies-profile/facade-global-pvt-ltd,2026-08-19,
Federal Operations and Services Ltd (FedServ),fedserv.co.in,listed,Kochi,Kerala,"04842412048, 8089908700",careers@fedserv.co.in,infopark,https://infopark.in/companies-profile/federal-operations-and-services-ltd-fedserv-1,2026-08-19,
Fine Destination,finedestination.co.in,listed,Kochi,Kerala,7012155322,Career@finedestination.co.in,infopark,https://infopark.in/companies-profile/fine-destination,2026-08-19,
Fingent Global Solutions,,backfill_needed,Kochi,Kerala,0484-4055006,careers@fingent.com,infopark,https://infopark.in/companies-profile/fingent-global-solutions,2026-08-19,
FIRMINIQ SYSTEMS,firminiq.com,listed,Kochi,Kerala,+916284303739,hr@firminiq.com,infopark,https://infopark.in/companies-profile/firminiq-systems,2026-08-19,
Flycatch Infotech Pvt. Ltd.,flycatchtech.com,listed,Kochi,Kerala,+91 7736830531,Opportunity@flycatchtech.com,infopark,https://infopark.in/companies-profile/flycatch-infotech-pvt-ltd,2026-08-19,
Focal ME Design Solutions Pvt Ltd,focalpm.com,listed,Kochi,Kerala,04802082974,me@focalpm.com,infopark,https://infopark.in/companies-profile/focal-me-design-solutions-pvt-ltd,2026-08-19,
Focaloid Technologies Private Limited,focaloid.com,listed,Kochi,Kerala,+91-484-7136778,careers@focaloid.com,infopark,https://infopark.in/companies-profile/focaloid-technologies-private-limited,2026-08-19,
Founding Minds software Pvt.Ltd,foundingminds.com,listed,Kochi,Kerala,"0484-4042200, 4042202",hr@foundingminds.com,infopark,https://infopark.in/companies-profile/founding-minds-software-pvt-ltd,2026-08-19,
G10X INDIA PRIVATE LIMITED,,backfill_needed,Kochi,Kerala,,Contact@g10x.com,infopark,https://infopark.in/companies-profile/g10x-india-private-limited,2026-08-19,
Galactico Express Solutions Pvt. Ltd.,,backfill_needed,Kochi,Kerala,9446373443,info@gecs.me,infopark,https://infopark.in/companies-profile/galactico-express-solutions-pvt-ltd,2026-08-19,
GALTech Technologies Pvt Ltd,galtech.org,listed,Kochi,Kerala,"04802951674, +91 6282845",hr@galtech.org,infopark,https://infopark.in/companies-profile/galtech-technologies-pvt-ltd,2026-08-19,
Gewan Info Tech Solutions India Pvt Ltd.,gewaninfotech.com,listed,Kochi,Kerala,"+91 75109 53184, +91 751",info@gewaninfotech.com,infopark,https://infopark.in/companies-profile/gewan-info-tech-solutions-india-pvt-ltd,2026-08-19,
GIS AXIOM Pvt. Ltd.,gisaxiom.com,listed,Kochi,Kerala,"+91 81380 17386, 9995917",sales@gisaxiom.com,infopark,https://infopark.in/companies-profile/gis-axiom-pvt-ltd,2026-08-19,
Gizmeon Technologies Private Limited,gizmeon.com,listed,Kochi,Kerala,+91 9645833111,sunil@gizmeon.com,infopark,https://infopark.in/companies-profile/gizmeon-technologies-private-limited,2026-08-19,
Glitz IT Solutions,glitzitsolutions.com,listed,Kochi,Kerala,+91 480 2734 544,care@glitzitsolutions.com,infopark,https://infopark.in/companies-profile/glitz-it-solutions,2026-08-19,
Global Infonet Inc,,backfill_needed,Kochi,Kerala,9633138880,hr@global-infonet.com,infopark,https://infopark.in/companies-profile/global-infonet-inc,2026-08-19,
Global Surf IT Pvt Ltd,,backfill_needed,Kochi,Kerala,7012605646,careers@globalsurf.ae,infopark,https://infopark.in/companies-profile/global-surf-it-pvt-ltd,2026-08-19,
Grapelime Innovations Private Limited.,grapelime.in,listed,Kochi,Kerala,+91 484 401 1758,hr@grapelime.in,infopark,https://infopark.in/companies-profile/grapelime-innovations-private-limited,2026-08-19,
Gravity Business Process Private Limited,gravity-bp.com,listed,Kochi,Kerala,+91 480 2080797,info@gravity-bp.com,infopark,https://infopark.in/companies-profile/gravity-business-process-private-limited,2026-08-19,
Greenworld International Enterprise Private Limited,greenworldin.in,listed,Kochi,Kerala,+91 9947407002,mail.greenworldin@gmail.com,infopark,https://infopark.in/companies-profile/greenworld-international-enterprise-private-limited,2026-08-19,
Grehasoft,,backfill_needed,Kochi,Kerala,+91 8921540183,info@grehasoft.com,infopark,https://infopark.in/companies-profile/grehasoft,2026-08-19,
Hatio Innovations Private Limited,hatio.in,listed,Kochi,Kerala,+91 8606434912,sonia@hatio.in,infopark,https://infopark.in/companies-profile/hatio-innovations-private-limited,2026-08-19,
Heidelsoft Technologies Private Limited,,backfill_needed,Kochi,Kerala,0484-2971190,info@heidelsoft.de,infopark,https://infopark.in/companies-profile/heidelsoft-technologies-private-limited,2026-08-19,
HH Back Office Services Pvt Ltd,hhbos.com,listed,Kochi,Kerala,0484-6715400,admin@hhbos.com,infopark,https://infopark.in/companies-profile/hh-back-office-services-pvt-ltd,2026-08-19,
Hotpack Global,hotpackglobal.com,listed,Kochi,Kerala,9895677424,cochin@hotpackglobal.com,infopark,https://infopark.in/companies-profile/hotpack-global,2026-08-19,
Hubbell Burndy India,,backfill_needed,Kochi,Kerala,,,infopark,https://infopark.in/companies-profile/hubbell-burndy-india,2026-08-19,
iCodeBees Private Limited,icodebees.com,listed,Kochi,Kerala,ph. - 98477 32355,info@icodebees.com,infopark,https://infopark.in/companies-profile/icodebees-private-limited,2026-08-19,
iDatalytics Pvt. Ltd.,idatalytics.com,listed,Kochi,Kerala,9447034712,hr@idatalytics.com,infopark,https://infopark.in/companies-profile/idatalytics-pvt-ltd,2026-08-19,
IdeaGCS Private Limited,ideagcs.com,listed,Kochi,Kerala,+91 9746126217,hello@ideagcs.com,infopark,https://infopark.in/companies-profile/ideagcs-private-limited,2026-08-19,
IdealMG Educare LLP,mgtuition.com,listed,Kochi,Kerala,8086469111,info@mgtuition.com,infopark,https://infopark.in/companies-profile/idealmg-educare-llp,2026-08-19,
iKSANA Engineering & Management Consultants,iksana.tech,listed,Kochi,Kerala,+91 94000 96396,hello@iksana.tech,infopark,https://infopark.in/companies-profile/iksana-engineering-management-consultants,2026-08-19,
Impaqtive Technologies India Pvt Ltd,impaqtive.com,listed,Kochi,Kerala,+91-9895633744,careers@Impaqtive.com,infopark,https://infopark.in/companies-profile/impaqtive-technologies-india-pvt-ltd,2026-08-19,
In-Tech Group India Private Limited,in-tech.com,listed,Kochi,Kerala,+91 7907673191,india.talent@in-tech.com,infopark,https://infopark.in/companies-profile/in-tech-group-india-private-limited,2026-08-19,
Incede Technologies Pvt Ltd,incedetech.ai,listed,Kochi,Kerala,0484 2981 655,careers@incedetech.ai,infopark,https://infopark.in/companies-profile/incede-technologies-pvt-ltd,2026-08-19,
IndustryApps Technologies Pvt Ltd,industryapps.net,listed,Kochi,Kerala,+91 99462 60111,director-india@industryapps.net,infopark,https://infopark.in/companies-profile/industryapps-technologies-pvt-ltd,2026-08-19,
InerG Software Innovations Pvt.Ltd.,inerg.com,listed,Kochi,Kerala,,hr@inerg.com,infopark,https://infopark.in/companies-profile/inerg-software-innovations-pvt-ltd,2026-08-19,
Infintor Solutions LLP,infintor.com,listed,Kochi,Kerala,+919422799989,info@infintor.com,infopark,https://infopark.in/companies-profile/infintor-solutions-llp,2026-08-19,
INFOCYLANZ PVT. LTD.,infocylanz.com,listed,Kochi,Kerala,8921032682,info@infocylanz.com,infopark,https://infopark.in/companies-profile/infocylanz-pvt-ltd,2026-08-19,
Infosmart Technologies Private Limited,infosmart-technologies.com,listed,Kochi,Kerala,+91 99468 05010,boby.thomas@infosmart-technologies.com,infopark,https://infopark.in/companies-profile/infosmart-technologies-private-limited,2026-08-19,
Innovature Software Labs (P) Ltd,innovature.ai,listed,Kochi,Kerala,0484 - 4038120,hr@innovaturelabs.com,infopark,https://infopark.in/companies-profile/innovature-software-labs-p-ltd,2026-08-19,
Inspired Software Development (India) LLP,inseinc.com,listed,Kochi,Kerala,+91-9995229371,india.careers@inseinc.com,infopark,https://infopark.in/companies-profile/inspired-software-development-india-llp,2026-08-19,
Inspite Technologies Pvt.Ltd,inspitetech.com,listed,Kochi,Kerala,8714153735,inspitetechnologies@gmail.com,infopark,https://infopark.in/companies-profile/inspite-technologies-pvt-ltd,2026-08-19,
Intbrains Private Limited,intbrains.com,listed,Kochi,Kerala,,hr@intbrains.com,infopark,https://infopark.in/companies-profile/intbrains-private-limited,2026-08-19,
Internland Technology Services Private Limited,interlandtech.com,listed,Kochi,Kerala,7012460522,hr@interlandtech.com,infopark,https://infopark.in/companies-profile/internland-technology-services-private-limited,2026-08-19,
