source,name,city,website,domain,founded_year,size_band,band_label,headcount,headcount_unknown,whale_candidate,staffing_mix,pre2024_grade,pre2024_evidence,pre2024_confidence,dev_wording,dev_quote,qa_only,owned_ip,ownip_quote,jd_chars,repo_host_hits,review_gate_hits,cicd_hits,nongit_hits,jd_quote,extraction_verified,contact_name,contact_title,contact_linkedin,identity_status,hc_num,score,years_active,domain_age_key,lane_reason
nasscom,CompuCom CSI Systems India Private Limited,Pune,http://www.compucom.com,compucom.com,,,,,True,False,False,EXISTED_2COR,rdap=1995-03-06; nasscom_harvest=nasscom:PROVEN: 2022-06-01 Wayback snaps; wayback=20230601,Verified,0,,0,1,"m Systems, Inc. All rights reserved. EXPLORE OUR PLATFORM Full Lifecycle Observability (FL",89238,0,0,0,0,"Site: 'Managed Services and IT Support', device lifecycle, managed print | Site: 35 years,",False,,,,identity_pending,,70,31,1995-03-06,zero signals unverified after re-crawl
nasscom,Vinca Cybertech Private Limited,Mumbai,https://www.vincacyber.com,vincacyber.com,,,,,True,False,False,PROVEN_EQUIV,rdap=2017-08-19; nasscom_harvest=nasscom:PROVEN; wayback=20230606,Verified,1,"ng Interfaces) play a crucial role in modern software development, allowing different soft",0,1,"scape and leveraging extensive experience of our product offerings, we are proud to offer ",70953,0,0,0,0,pre-2024: proven,False,,,,identity_pending,,70,9,2017-08-19,zero signals unverified after re-crawl
goodfirms+nasscom,Citrus Informatics,"Kochi, India",https://www.citrusinformatics.com,citrusinformatics.com,2010,250+,250+,,False,True,False,EXISTED_2COR,goodfirms_founded=2010; rdap=2010-01-20; nasscom_harvest=nasscom:PROVEN: 2023-06-01 nav 'Product ,Verified,1,ces Outsourcing Services Technology Services Product Engineering Project Management Custom,0,1,"r sales organization, your support team and your products. It is also an indispensable adm",59459,0,0,0,0,"Services page: 'Code Review and Refactoring ... codebase ... code smells' | JD: 'JMeter, S",False,,,,identity_pending,300,70,16,2010-01-20,zero signals unverified after re-crawl
goodfirms+nasscom,Eastern Software Solutions PVT. LTD.,"Noida, India",https://www.essindia.com/,essindia.com,1990,250+,250+,,False,True,False,EXISTED_2COR,goodfirms_founded=1990; rdap=1998-05-13; nasscom_harvest=nasscom:PROVEN - 2020-06 snapshot advert,Verified,1,Staffing Services Staffing Services Offshore Software Development --> Migration Oracle Mod,0,1,T solutions designed for agility and growth. Our platform unifies operations across indust,50445,0,0,0,0,Site: 'CMM Level 5 and ISO 9001:2015 company for more than a decade' | Owns ebizframe ERP:,False,Amit Khatter,Managing Director,,identity_name_only,300,70,28,1998-05-13,zero signals unverified after re-crawl
nasscom,Diageo Business Services India Private Limited,Bengaluru,http://www.Diageo.com,diageo.com,,,,,True,False,False,EXISTED_2COR,rdap=1997-09-30; nasscom_harvest=nasscom:UNKNOWN; wayback=20220704,Verified,0,,0,1,"iences for fans, both in the availability of our products, and through our activations. Th",44542,0,0,0,0,pre-2024: unknown,False,,,,identity_pending,,70,29,1997-09-30,zero signals unverified after re-crawl
nasscom,Vidushi Infotech Software Solutions Provider Private Limited,Pune,https://vidushiinfotech.com/,vidushiinfotech.com,,,,,True,False,False,PROVEN_EQUIV,rdap=2003-09-23; nasscom_harvest=nasscom:PROVEN; wayback=20230603,Verified,1,isit leaves a lasting impression. Enterprise Software Development Streamline your operatio,0,1,PS tracking and automated invoicing. See how our SaaS solutions can add real value to your,39347,0,0,0,0,pre-2024: proven | site mentions cicd,False,,,,identity_pending,,70,23,2003-09-23,zero signals unverified after re-crawl
nasscom,Ayruz Datamarketing Private Limited,Thiruvananthapuram,http://www.ayruz.com,ayruz.com,,,,,True,False,False,PROVEN_EQUIV,rdap=2008-11-27; nasscom_harvest=nasscom:PROVEN; wayback=20230605,Verified,1,. Built Fast. Future-Ready. Hassle-Free. Our product development services are designed to ,0,1,"agement Centralize, clean, and automate all your product data and specs. Dynamic Engagemen",37209,0,0,0,0,pre-2024: proven | site mentions cicd,False,,,,identity_pending,,70,18,2008-11-27,zero signals unverified after re-crawl
nasscom,Allegion India Private Limited,Bengaluru,https://www.allegion.com/,allegion.com,,,,,True,False,False,EXISTED_2COR,rdap=1999-12-22; nasscom_harvest=nasscom:EXISTED_NO_SW_WORDING; wayback=20201124,Verified,0,,0,1,&amp; Brands Main Menu Products &amp; Brands Our Products Products &amp; Brands Our Produc,32943,0,0,0,0,pre-2024: existed no sw wording,False,,,,identity_pending,,70,27,1999-12-22,zero signals unverified after re-crawl
nasscom,TLG India Private Limited,Gurugram,http://www.sapient.com,sapient.com,,,,,True,False,False,PROVEN_EQUIV,rdap=1992-11-18; nasscom_harvest=nasscom:UNKNOWN; wayback=20160225,Verified,1,"t.jpg&#34;,&#34;imageAlt&#34;:&#34;Transform software development with Sapient Slingshot&#",0,1,"&#34;,&#34;label&#34;:&#34;What problems do your products solve?&#34;},{&#34;id&#34;:&#34;",31803,0,0,0,0,pre-2024: unknown,False,,,,identity_pending,,70,34,1992-11-18,zero signals unverified after re-crawl
nasscom,Innoshri Private Limited,Pune,https://www.innoshri.com/,innoshri.com,,,,,True,False,False,EXISTED_2COR,rdap=2018-12-05; copyright_footer=2023; nasscom_harvest=nasscom:EXISTED_NO_SW_WORDING; rdap:2018,Verified,0,,0,1,.9% Uptime Advanced Security 24/7 Monitoring Our Products YntraM Product Suite Comprehensi,26239,0,0,0,0,pre-2024: existed no sw wording,False,,,,identity_pending,,70,8,2018-12-05,zero signals unverified after re-crawl
nasscom,Prologic First India Pvt Ltd,Gurugram,http://www.prologicfirst.com,prologicfirst.com,,,,,True,False,False,EXISTED_2COR,rdap=1998-07-15; nasscom_harvest=nasscom:PROVEN; wayback=20230603,Verified,0,,0,1,"nd hotel software solutions, including major product suites such as hotel PMS systems and ",25566,0,0,0,0,pre-2024: proven,False,,,,identity_pending,,70,28,1998-07-15,zero signals unverified after re-crawl
nasscom,Akzo Nobel Global Business Services LLP,Pune,http://www.akzonobel.com,akzonobel.com,,,,,True,False,False,EXISTED_2COR,rdap=1995-09-05; nasscom_harvest=nasscom:PROVEN; wayback=20230602,Verified,0,,0,1,always finding new and exciting ways to make our products more sustainable and longer last,23560,0,0,0,0,pre-2024: proven,False,Deepak Malkani or Sivagurunathan Kumar Sathish,Designated Partner(s),,identity_name_only,,70,31,1995-09-05,zero signals unverified after re-crawl
nasscom,Velocis Systems Private Limited,Noida,https://www.velocis.in/,velocis.in,,,,,True,False,False,EXISTED_2COR,rdap=2007-11-23; nasscom_harvest=nasscom:PROVEN: 2023-06-01 snapshot nav ; wayback=20230531,Verified,0,,0,1,to do their best work every day. Our domains Our products Our services Networks Cybersecur,23179,0,0,0,0,"Wayback 2023: 'Application Development & Modernization' beside Managed Services, NOC | Sit",False,,,,identity_pending,,70,19,2007-11-23,zero signals unverified after re-crawl
nasscom,Techindia Infoway Pvt Ltd,Chennai,http://www.techindia.com,techindia.com,,,,,True,False,False,EXISTED_2COR,rdap=1997-01-01; nasscom_harvest=nasscom:EXISTED_NO_SW_WORDING — Wayback ; wayback=20230603,Verified,0,,0,1,"urity, and ethical practices very seriously. Our platform, products, and services comply w",19351,0,0,0,0,"Wayback 2023-06: archived pre-2024, snapshot lacked software wording | Site: 'Aligning wit",False,Sathya Kumar,Founder and CEO / President & CEO,,identity_name_only,,65,29,1997-01-01,zero signals unverified after re-crawl
nasscom,Transaltus Technologies Private Limited,Bengaluru,http://www.transaltus.com,transaltus.com,,,resolved:41,41,False,False,False,EXISTED_2COR,rdap=2010-03-15; nasscom_harvest=nasscom:PROVEN; wayback=20230608,Verified,0,,0,1,efficient business solutions . ​ ​ READ MORE Our Products &amp; Services &nbsp;SAP Enginee,17364,0,0,0,0,pre-2024: proven | site mentions cicd,False,,,,identity_pending,41,65,16,2010-03-15,zero signals unverified after re-crawl
nasscom,Kellton Tech Solutions Ltd,Gurugram,http://www.kelltontech.com,kelltontech.com,,,,,True,False,False,PROVEN_EQUIV,rdap=2011-11-30; nasscom_harvest=nasscom:EXISTED_NO_SW_WORDING; wayback=20220815,Verified,1,Driven Technology Consulting | Digital &amp; Product Engineering | IT Services | Kellton k,0,1,sted by 500+ global enterprises. Accelerate Your Product Journey&nbsp; Powering State Gove,16585,0,0,0,0,pre-2024: existed no sw wording | site mentions cicd,False,,,,identity_pending,,65,15,2011-11-30,zero signals unverified after re-crawl
nasscom,Jesper Apps Software Services Private Limited,Chennai,https://www.jesperapps.com,jesperapps.com,,,resolved:185,185,False,False,False,EXISTED_2COR,rdap=2017-10-02; nasscom_harvest=nasscom:PROVEN; wayback=20230608,Verified,0,,0,1,nected systems built for the future. Explore Our Products Download Brochure --> With Robus,16504,0,0,0,0,pre-2024: proven,False,,,,identity_pending,185,65,9,2017-10-02,zero signals unverified after re-crawl
nasscom,Eluminous Technologies Private Limited,Nasik,https://eluminoustechnologies.com,eluminoustechnologies.com,,,,,True,False,False,PROVEN_EQUIV,rdap=2002-11-14; nasscom_harvest=nasscom:PROVEN: 2023-06 wayback advertis; wayback=20230601,Verified,1,eLuminous Technologies | Trusted AI Software Development Partner Services Our offerings IT,0,1,overed. Our remote development team ensures your product aligns with PCI-DSS mandates. Our,15450,0,0,0,0,Wayback 2023-06: 'Hire Dedicated Developers Web Application Development' | Careers: 7 open,False,,,,identity_pending,,65,24,2002-11-14,zero signals unverified after re-crawl
nasscom,William O'Neil India Private Limited,Bengaluru,http://www.williamoneilindia.com,williamoneilindia.com,,,,,True,False,False,EXISTED_2COR,rdap=2013-08-12; nasscom_harvest=nasscom:PROVEN; wayback=20210622,Verified,0,,0,1,eil 50-Year Heritage O’Neil Companies &nbsp; Our Products &nbsp; &nbsp; MarketSmith India ,14487,0,0,0,0,pre-2024: proven,False,,,,identity_pending,,65,13,2013-08-12,zero signals unverified after re-crawl
goodfirms+nasscom,Dotsquares,"Jaipur, India",https://python.dotsquares.com/,dotsquares.com,2002,250+,250+,,False,True,False,EXISTED_2COR,goodfirms_founded=2002; rdap=2002-02-23; copyright_footer=2002; nasscom_harvest=nasscom:PROVEN - Wayback 2023-06 listed ,Verified,1,ment tools. Do you provide end-to-end Python application development? Yes. We handle the e,0,1,k answers to the most common questions about our platform and services. Contact us Can I h,9888,0,0,0,0,"Site: CI/CD hits are ETL, Snowflake, Kafka data pipelines, not delivery | Site: 'agile met",False,Bahul Chandra and Omkar Singh Rathore (co-founders/directors of India entity); Bankim Chandra (Founder/CEO of parent organization),Directors (India entity) / Founder & CEO (global Dotsquares),,identity_name_only,300,65,24,2002-02-23,zero signals unverified after re-crawl
nasscom,BOT AI ML Private Limited,Bengaluru,http://botaiml.com/index.php,botaiml.com,,,,,True,False,False,EXISTED_2COR,rdap=2017-09-28; nasscom_harvest=nasscom:EXISTED_NO_SW_WORDING; wayback=20230607,Verified,0,,0,1,"inesses smarter, faster, and more efficient. Our platform combines conversational AI with ",8486,0,0,0,0,pre-2024: existed no sw wording | site mentions compliance,False,,,,identity_pending,,65,9,2017-09-28,zero signals unverified after re-crawl
nasscom,Esteplogic IT Solutions Private Limited,Punjab,http://www.esteplogic.com,esteplogic.com,,,,,True,False,False,PROVEN_EQUIV,rdap=2013-11-06; nasscom_harvest=nasscom:PROVEN; wayback=20230604,Verified,1,"r businesses. We provide enterprise systems, custom software, and AI platforms that enable",0,1,and beyond. Production-grade quality All of our products have production-level quality. Ea,7539,0,0,0,0,pre-2024: proven | site mentions compliance,False,,,,identity_pending,,65,13,2013-11-06,zero signals unverified after re-crawl
nasscom,Camsdata Technologies India Private Limited,Bengaluru,http://www.camsdata.in,camsdata.in,,,,,True,False,False,PROVEN_EQUIV,rdap=2017-05-20; nasscom_harvest=nasscom:PROVEN; wayback=20230604,Verified,1,CAMSDATA | Product Development and Digital Transformation Menu About Us Pro,0,1,omer behavior insights allowed us to enhance our product offerings and create personalized,7227,0,0,0,0,pre-2024: proven,False,,,,identity_pending,,65,9,2017-05-20,zero signals unverified after re-crawl
nasscom,Code Shastra Private Limited,Gurugram,https://www.codeshastra.com/,codeshastra.com,,,,,True,False,False,PROVEN_EQUIV,rdap=2008-12-24; nasscom_harvest=nasscom:PROVEN; wayback=20230328,Verified,1,lop Products Are you in need of cutting-edge product development that makes you stand out ,0,1,"UX design, and AI services to help you take your product from concept to completion. Our t",6245,0,0,0,0,pre-2024: proven,False,Abhay Deep Dubey,Founder & CTO,,identity_name_only,,65,18,2008-12-24,zero signals unverified after re-crawl
goodfirms+nasscom,Kumaran Systems Inc,"Chennai, India",https://kumaran.com/,kumaran.com,1990,250+,250+,,False,True,False,PROVEN_EQUIV,goodfirms_founded=1990; rdap=1995-05-16; nasscom_harvest=nasscom:EXISTED_NO_SW_WORDING; goodfirms; wayback=20230607,Verified,1,to every release cycle. Explore QA Lifecycle Application Development Maintenance Services ,0,1,xperiences. Explore Mobile View All Services Our Products Tools We Built Advantage You Kee,5545,0,0,0,0,pre-2024: existed no sw wording | site mentions cicd,False,,,,identity_pending,300,65,31,1995-05-16,zero signals unverified after re-crawl
nasscom,Nike India Technology Center Private Limited,Bengaluru,https://about.nike.com/,about.nike.com,,,,,True,False,False,EXISTED_2COR,nasscom_harvest=nasscom:UNKNOWN; wayback=20220712,Verified,0,,0,1,a family business. Bringing Sport Science to Our Products Nike Unveils Aero-FIT Performanc,682414,0,0,0,0,pre-2024: unknown | site mentions cicd,False,,,,identity_pending,,60,0,,zero signals unverified after re-crawl
nasscom,Paychex IT Solutions India Private Limited,Bengaluru,https://www.paychexcareers.in/,paychexcareers.in,,,,,True,False,False,EXISTED_2COR,rdap=2020-07-16; copyright_footer=2021; nasscom_harvest=nasscom:DOMAIN_ONLY; rdap:2020-07-16,Verified,1,ompany for small to medium-sized businesses. Product development company having products f,0,1,rusted relationships. We drive innovation in our products and services and continually imp,145071,0,0,0,0,pre-2024: domain only,False,,,,identity_pending,,60,6,2020-07-16,zero signals unverified after re-crawl
nasscom,Kyndryl Solutions Private Limited,Bengaluru,https://www.kyndryl.com/,kyndryl.com,,,,,True,False,False,EXISTED_2COR,rdap=2021-02-26; nasscom_harvest=nasscom:UNKNOWN; wayback=20220303,Verified,0,,0,1,inability Careers Kyndryl Kyndryl consulting Our platform Alliances and partners Investing,123682,0,0,0,0,pre-2024: unknown,False,,,,identity_pending,,60,5,2021-02-26,zero signals unverified after re-crawl
nasscom,E Giraffes Digital Private Limited,Pune,https://egiraffes.com/,egiraffes.com,,,,,True,False,False,EXISTED_2COR,rdap=2020-01-14; nasscom_harvest=nasscom:EXISTED_NO_SW_WORDING; wayback=20230602,Verified,0,,0,1,"mmerce, Magento, and custom-built stores so your products aren’t just listed — they’re dis",110874,0,0,0,0,pre-2024: existed no sw wording,False,,,,identity_pending,,60,6,2020-01-14,zero signals unverified after re-crawl
nasscom,Tanika Tech Jewels Private Limited,Mumbai,https://jwero.ai,jwero.ai,,,,,True,False,False,EXISTED_2COR,rdap=2022-09-01; nasscom_harvest=nasscom:PROVEN; wayback=20230601,Verified,0,,0,1,"bot efficiency Use a single chatbot for all your platforms, ensuring consistent responses ",68564,0,0,0,0,pre-2024: proven,False,,,,identity_pending,,60,4,2022-09-01,zero signals unverified after re-crawl
nasscom,Amgen Technology Private Limited,Hyderabad,https://wwwext.amgen.com/,wwwext.amgen.com,,,,,True,False,False,EXISTED_2COR,copyright_footer=1996; nasscom_harvest=nasscom:PROVEN; wayback=20230601,Verified,0,,0,1,cells to make biologic medicines. READ MORE Our Products Amgen’s medicines treat serious i,37670,0,0,0,0,pre-2024: proven | site mentions cicd,False,Naveen Gullapalli,Whole-time Director,,identity_name_only,,60,0,,zero signals unverified after re-crawl
nasscom,Triotech Bizserve Private Limited,Bhopal,https://triotech.in/,triotech.in,,,,,True,False,False,EXISTED_2COR,rdap=2022-10-27; nasscom_harvest=nasscom:PROVEN; wayback=20230812,Verified,0,,0,1,"interactions and improving service delivery, our platform enables businesses to expand the",33631,0,0,0,0,pre-2024: proven,False,,,,identity_pending,,60,4,2022-10-27,zero signals unverified after re-crawl
nasscom,TomTom India Pvt Ltd,Pune,http://www.tomtom.com,tomtom.com,,,,,True,False,False,EXISTED_2COR,nasscom_harvest=nasscom:PROVEN; wayback=20230601,Verified,0,,0,1,arn more Learn more SOLUTIONS Your industry. Our platform. From high-frequency fleet opera,28318,0,0,0,0,pre-2024: proven,False,,,,identity_pending,,60,0,,zero signals unverified after re-crawl
nasscom,Vialto Partners India 2 Private Limited,Bengaluru,https://vialtopartners.com/,vialtopartners.com,,,,,True,False,False,EXISTED_2COR,rdap=2022-01-31; nasscom_harvest=nasscom:PROVEN; wayback=20230608,Verified,0,,0,1,"of all? Thanks to our open API partnerships, our platform is designed to work with the sys",25393,0,0,0,0,pre-2024: proven,False,,,,identity_pending,,60,4,2022-01-31,zero signals unverified after re-crawl
nasscom,Atgeir Solutions Private Limited,Pune,https://atgeirsolutions.com/,atgeirsolutions.com,,,,,True,False,False,PROVEN_EQUIV,rdap=2021-05-25; nasscom_harvest=nasscom:UNKNOWN; wayback=20230606,Verified,1,se Implementation Advanced Analytics & GenAI Product Engineering Services (Data Applicatio,0,1,s Challenges DataGeir TM is a cloud oriented product suite designed for enterprises to max,24735,0,0,0,0,pre-2024: unknown | site mentions cicd,False,,,,identity_pending,,60,5,2021-05-25,zero signals unverified after re-crawl
nasscom,ZS Associates India Private Limited,Gurugram,http://www.zs.com,zs.com,,,,,True,False,False,EXISTED_2COR,nasscom_harvest=nasscom:PROVEN; wayback=20230601,Verified,0,,0,1,. Scalable technology h3 Scalable technology Our products /content/zs/en/products link Tha,24102,0,0,0,0,pre-2024: proven,False,,,,identity_pending,,60,0,,zero signals unverified after re-crawl
nasscom,embedUR systems (India) Private Limited,Chennai,http://www.embedur.com/,embedur.com,,,,,True,False,False,EXISTED_2COR,rdap=2004-06-09; nasscom_harvest=nasscom:PROVEN; rdap:2004-06-09,Verified,1,ner Trusted by Fortune 500 companies for new product development and sustenance for entire,0,1,s globally. Visit Page Enhancements Elevate your products through next-gen enhancements. W,899581,0,0,0,0,pre-2024: proven | site mentions cicd,False,Rajesh C. Subramaniam,Managing Director,https://www.linkedin.com/in/rajesh-c-subramaniam/,identity_full,,57,22,2004-06-09,zero signals unverified after re-crawl
nasscom,BearingPoint India Private Limited,Bengaluru,https://www.bearingpoint.com/en-in/,bearingpoint.com,,,,,True,False,False,EXISTED_2COR,rdap=2000-12-18; nasscom_harvest=nasscom:DOMAIN_ONLY; rdap:2000-12-18,Verified,0,,0,1,"world’s leading organizations, the impact of our products and services speaks for itself. ",135675,0,0,0,0,pre-2024: domain only,False,,,,identity_pending,,57,26,2000-12-18,zero signals unverified after re-crawl
nasscom,ThoughtWorks Technologies India Pvt Ltd,Bengaluru,http://www.thoughtworks.com,thoughtworks.com,,,,,True,False,False,EXISTED_2COR,rdap=1995-01-20; nasscom_harvest=nasscom:EXISTED_NO_SW_WORDING; rdap:1995,Verified,0,,0,1,us chevron_right Build differently. Explore our platform and services for the AI era. Get ,131111,0,0,0,0,pre-2024: existed no sw wording | site mentions cicd,False,,,,identity_pending,,57,31,1995-01-20,zero signals unverified after re-crawl
nasscom,Rio Tinto India Private Limited,Gurugram,https://www.riotinto.com,riotinto.com,,,,,True,False,False,EXISTED_2COR,rdap=1997-02-07; nasscom_harvest=nasscom:PROVEN; rdap:1997-02-07,Verified,0,,0,1,"and mining business For more than 150 years, our products and operations have helped build",125679,0,0,0,0,pre-2024: proven,False,,,,identity_pending,,57,29,1997-02-07,zero signals unverified after re-crawl
nasscom,insightsoftware International Private Limited,Hyderabad,https://insightsoftware.com/,insightsoftware.com,,,,,True,False,False,EXISTED_2COR,rdap=2001-12-30; nasscom_harvest=nasscom:PROVEN: 2023 Wayback with analys,Verified,0,,0,1,e-built content and logic for your business. Our platform is an AI-enabled integrated solu,125082,0,0,0,0,"site_quotes pr_practice: 'Version Control, Workflow, and Audit Trail' is a product feature",False,,,,identity_pending,,57,25,2001-12-30,zero signals unverified after re-crawl
nasscom,Stripe India Private Limited,Bengaluru,http://www.stripe.com,stripe.com,,,,,True,False,False,EXISTED_2COR,rdap=1995-09-12; nasscom_harvest=nasscom:DOMAIN_ONLY; rdap:1995-09-12,Verified,0,,0,1,th stablecoins and crypto Embed payments in your platform Building the economic infrastruc,121149,0,0,0,0,pre-2024: domain only | site mentions cicd,False,,,,identity_pending,,57,31,1995-09-12,zero signals unverified after re-crawl
nasscom,Acuiti Labs (India) Pvt Ltd,Pune,http://www.acuitilabs.com,acuitilabs.com,,,,,True,False,False,EXISTED_2COR,rdap=2016-06-08; nasscom_harvest=nasscom:EXISTED_NO_SW_WORDING: 2023 snap,Verified,0,,0,1,lytics Cloud Application Management Services Our Products Q2C Customer Portal Acuiti Media,120132,0,0,0,0,"JD 120,132 chars across two Keka boards; zero engineering signals | Site compliance count ",False,,,,identity_pending,,57,10,2016-06-08,zero signals unverified after re-crawl
nasscom,Ozonetel Communications Private Limited,Hyderabad,http://www.ozonetel.com,ozonetel.com,,,,,True,False,False,EXISTED_2COR,rdap=2006-12-27; nasscom_harvest=nasscom:PROVEN; rdap:2006-12-27,Verified,0,,0,1,our Growth Partner! Organizations leveraging our platform have transformed CX into measura,117129,0,0,0,0,pre-2024: proven,False,,,,identity_pending,,57,20,2006-12-27,zero signals unverified after re-crawl
nasscom,Orange Business Services India Network Pvt Ltd,Gurugram,http://www.orange-business.com,orange-business.com,,,,,True,False,False,EXISTED_2COR,rdap=2004-11-02; nasscom_harvest=nasscom:PROVEN: 2022-06 snapshot adverti,Verified,0,,0,1,"nds-on implementation, our approach ensures your platform is aligned with both business go",115052,0,0,0,0,"name and domain: India network entity of French telecom group Orange | jd: 115,052 chars r",False,,,,identity_pending,,57,22,2004-11-02,zero signals unverified after re-crawl
nasscom,Aviva Global Services (A div. Of A G S Customer Services (India) Pvt Ltd),Pune,http://www.aviva.com,aviva.com,,,,,True,False,False,EXISTED_2COR,rdap=1996-04-13; nasscom_harvest=nasscom:DOMAIN_ONLY; rdap:1996-04-13,Verified,0,,0,1,"re the number one trusted brand, with a full product suite to meet needs across a lifetime",111164,0,0,0,0,pre-2024: domain only | site mentions cicd,False,,,,identity_pending,,57,30,1996-04-13,zero signals unverified after re-crawl
