company,domain,cin,founder_name,din,title,linkedin_url,source_1_url,source_1_quote,source_2_url,confidence,identity_status
Planet Web Solutions Pvt. Ltd,planetwebsolution.com,U72200RJ2004PTC018879,Nilesh Kothari,01303456,Director,https://in.linkedin.com/in/nileshkothari,https://www.falconebiz.com/company/PLANET-WEB-SOLUTIONS-PVT-LTD-LEGAL-NAME-IS-PLANET-WEB-SOLUTIONS-PRIVATE-LIMITED-U72200RJ2004PTC018879,"has 2 directors/key management personal NILESH KOTHARI , SHAILEY KOTHARI . PLANET WEB SOLUTIONS PVT LTD company registration numbe",,medium,full
SolutionChamps Technologies,solutionchamps.com,,,,,,,,,,no_cin
Codezilla Technology and Consultancy Pvt Ltd.,codezilla.io,,,,,,,,,,no_cin
Durapid Technology Private Limited,durapid.com,U72900RJ2018PTC062512,,,,,,,,,no_dirs
M-Square Technologies,msquaretec.com,,,,,,,,,,no_cin
Spysr,spysr.in,U72300DL2014PTC274309,Pinky Devi,07000754,Director,,https://www.falconebiz.com/company/SPYSR-SERVICES-PRIVATE-LIMITED-U72300DL2014PTC274309,"has 2 directors/key management personal PINKY DEVI , SUBHASH CHAND SHARMA . SPYSR SERVICES PVT LTD company registration number is",,medium,name_only
VD Hosts,vdhosts.com,,,,,,,,,,no_cin
RheinBrucke IT Consulting Pvt Ltd,rheincs.com,U72200TN2013PTC093449,,,,,,,,,no_dirs
Revinfotech Inc,revinfotech.com,,,,,,,,,,no_cin
Xornor Technologies Pvt. Ltd.,xornor.co,,,,,,,,,,no_cin
Walking Tree Technologies,walkingtree.tech,,,,,,,,,,no_cin
iauro systems pvt ltd,iauro.com,,,,,,,,,,no_cin
KritiKal Solutions Pvt. Ltd.,kritikalsolutions.com,,,,,,,,,,no_cin
Smartify Software Solutions LLP,smartifysol.com,,,,,,,,,,no_cin
Digisoft Solution,digisoftsolution.com,,,,,,,,,,no_cin
ByteCipher Pvt Ltd,bytecipher.net,,,,,,,,,,no_cin
Samaritan InfoTech,samaritaninfotech.com,,,,,,,,,,no_cin
OweBest Technologies,owebest.com,U72900RJ2017PTC057254,,,,,,,,,no_dirs
Vivanta Technologies,vivantatechnologies.com,,,,,,,,,,no_cin
ProtoTech Solutions,prototechsolutions.com,,,,,,,,,,no_cin
Jellyfish Technologies,jellyfishtechnologies.com,,,,,,,,,,no_cin
KareXpert Technologies Private LImited,karexpert.com,U72200HR2014PTC054094,,,,,,,,,no_dirs
Spiral Mantra Private Limited,spiralmantra.com,U74999UP2021PTC150761,,,,,,,,,no_dirs
Teksolto Softwares,teksolto.com,,,,,,,,,,no_cin
Ankpal Technologies Private Limited,ankpal.com,U74999GJ2020PTC114847,,,,,,,,,no_dirs
Natural,naturalgrp.com,U31909RJ1995PTC010472,,,,,,,,,no_dirs
6DegreesIT,6degreesit.com,U72200MP2010PTC023064,,,,,,,,,no_dirs
Vortex Infosolutions LLP,vortexglobalservices.com,,,,,,,,,,no_cin
Airamatrix Private Limited,airamatrix.com,U72100MH2020PTC338495,,,,,,,,,no_dirs
Nelito Systems Private Limited,nelito.com,U72900MH1995PTC088816,,,,,,,,,no_dirs
QServices INC,qservicesit.com,,,,,,,,,,no_cin
KritiLabs Technologies Private Limited,kritilabs.com,U74999TN2019PTC128763,,,,,,,,,no_dirs
AI Software LLC,aisoftwarellc.com,U72900TG2017PTC116047,Koneru Rajkumar,,Director,,https://www.quickcompany.in/company/ai-software-private-limited,"Follow Koneru Rajkumar · Rajavardhan Nalluri 2 Directors Company Information CIN ""> Status Strik",,medium,name_only
DesIDEA Software Technologies Pvt ltd,desidea.com,U72200TG2007PTC055569,Appaiah Bodepudi,,Director,,https://www.quickcompany.in/company/desidea-software-technologies-pvt-ltd-private-limited,"Follow Appaiah Bodepudi · Satyanarayana Paid... 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
iPrism Technologies,iprismtech.com,U72300TG2012PTC078617,Bhargavi Pagadala,,Director,,https://www.quickcompany.in/company/iprism-technologies-private-limited,"Follow Bhargavi Pagadala · Kumar Byakod 2 Directors Company Information CIN ""> Status Strik",,medium,name_only
Nile Technologies Pvt. Ltd.,niletechnologies.com,U72200DL2011PTC224538,Atul Kapoor,,Director,,https://www.quickcompany.in/company/nile-technologies-pvt-ltd-private-limited,"Follow Atul Kapoor · Anjum Kapoor 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Dasinfomedia,dasinfomedia.com,U72900GJ2007PTC051394,Dhaval Prafulbhai Patel,,Director,,https://www.quickcompany.in/company/dasinfomedia-private-limited,"Follow Dhaval Prafulbhai Patel · Prafulbhai ... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Apponward Technologies Pvt Ltd,apponward.com,U74999UP2018PTC105557,Seema .,,Director,,https://www.quickcompany.in/company/apponward-technologies-pvt-ltd-private-limited,"Follow Seema . · Mrityunjay Kumar Ojha 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
Thirdessential IT Solutions Pvt. Ltd,thirdessential.com,U72200MP2022PTC059417,Roopesh Namdev,,Director,,https://www.quickcompany.in/company/thirdessential-it-solutions-pvt-ltd-private-limited,"Follow Roopesh Namdev · Mamta Solanki 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Cylsys software solutions pvt ltd,cylsys.com,U72200MP2010PTC024953,Pawas Goyal,,Director,,https://www.quickcompany.in/company/cylsys-software-solutions-pvt-ltd-private-limited,"Follow Pawas Goyal · Ankita Agarwal 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Mindrops,mindrops.com,U74999DL2018PTC330890,Rohit Gupta,,Director,,https://www.quickcompany.in/company/mindrops-private-limited,"Follow Rohit Gupta · Anu Sureshchandra Bajaj 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
Scriptshub Technologies,scriptshub.net,U74999PN2017PTC170001,Vijay Shankarbhai Prajapati,,Director,,https://www.quickcompany.in/company/scriptshub-technologies-private-limited,"Follow Vijay Shankarbhai Prajapati · Hetalbe... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Zetagile,zetagile.com,U72200TG2013PTC088940,Ambadas Kshirsagar,,Director,,https://www.quickcompany.in/company/zetagile-private-limited,"Follow Ambadas Kshirsagar · Sunanda Bhagalak... 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
DaasLabs,daaslabs.ai,U24297PN2019PTC188196,Dnyanoba Bhimrao More,,Director,,https://www.quickcompany.in/company/daaslabs-private-limited,"Follow Dnyanoba Bhimrao More · Jyotsna Ashok... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Precise Testing Solution Private Limited,precisetestingsolution.com,U72300DL2012PTC240113,Chetna Soni,,Director,,https://www.quickcompany.in/company/precise-testing-solution-private-limited-private-limited,"Follow Chetna Soni · Vikash Kumar 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Micropyramid Informatics Pvt Ltd,micropyramid.com,U72300TG2014PTC092815,Aswani Kumar Iraganaboina,,Director,,https://www.quickcompany.in/company/micropyramid-informatics-pvt-ltd-private-limited,"Follow Aswani Kumar Iraganaboina · Varun Kum... 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
Simublade,simublade.com,U72900DL2020PTC369251,Mashhood Raza Azka,,Director,,https://www.quickcompany.in/company/simublade-private-limited,"Follow Mashhood Raza Azka · Kausar Jahan Raza 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Primewayz Infotech Pvt. Ltd.,primewayz.com,U72900UP2018PTC110007,Ashish Kumar Srivastava,,Director,,https://www.quickcompany.in/company/primewayz-infotech-pvt-ltd-private-limited,"Follow Ashish Kumar Srivastava 1 Directors Company Information CIN ""> Status Activ",,medium,name_only
Innostax,innostax.com,U72502TG2013PTC091723,Prashanth Kumar Tondapu,,Director,,https://www.quickcompany.in/company/innostax-private-limited,"Follow Prashanth Kumar Tondapu · Snigdha Ton... 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
Lexington Soft Pvt Ltd,lexingtonsoft.com,U72900TN2010PTC077368,Cynthia Dulip Singh,,Director,,https://www.quickcompany.in/company/lexington-soft-pvt-ltd-private-limited,"Follow Cynthia Dulip Singh · Dinesh Dulipsingh 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Optimum Infosystem Private Limited,theoptimum.net,U72200RJ2000PTC016232,Aditya Munalal Jain,,Director,,https://www.quickcompany.in/company/optimum-infosystem-private-limited-private-limited,"Follow Aditya Munalal Jain · Balwant Rao Jain 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
Sourcemash Technologies Private Limited,sourcemash.com,U72900PB2018PTC047586,Shalini Sharma,,Director,,https://www.quickcompany.in/company/sourcemash-technologies-private-limited-private-limited,"Follow Shalini Sharma · Amrit Walia 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
Global Infovision Pvt Ltd,globalinfovision.com,U72200TG1998PTC028882,Purnachandra Rao Surapaneni,,Director,,https://www.quickcompany.in/company/global-infovision-pvt-ltd-private-limited,"Follow Purnachandra Rao Surapaneni · Sailaja... 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
Five Exceptions Software Solutions Pvt Ltd,5exceptions.com,U72900MP2015PTC035028,Rakesh Soni,,Director,,https://www.quickcompany.in/company/five-exceptions-software-solutions-pvt-ltd-private-limited,"Follow Rakesh Soni · Roshan Parmar 5 Directors Company Information CIN ""> Status Activ",,medium,name_only
Armia Systems Private Limited,armia.com,U72200KL2003PTC016735,Aleykutty Abraham,,Director,,https://www.quickcompany.in/company/armia-systems-private-limited-private-limited,"Follow Aleykutty Abraham · Priya Ann Kurian 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Intellial Solutions Pvt Ltd,intellial.com,U72900GJ2011PTC068422,Bhavika Sandip Parekh,,Director,,https://www.quickcompany.in/company/intellial-solutions-pvt-ltd-private-limited,"Follow Bhavika Sandip Parekh · Sandip Ramanl... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
SUPER WEB DEVELOPMENT LLP,superwebdevelopment.com,,Arun Kumar Vats,,Director,,https://www.quickcompany.in/company/super-web-development-llp,"Follow Arun Kumar Vats · Dinesh . 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Novaya,novayasoft.com,U72900TG2016PTC112549,Mohan Ramachandran,,Director,,https://www.quickcompany.in/company/novaya-private-limited,"Follow Mohan Ramachandran · Shaik Khadar Be 4 Directors Company Information CIN ""> Status Activ",,medium,name_only
iSummation Technologies,isummation.com,U72200GJ2003PTC042758,Narendra Babubhai Patel,,Director,,https://www.quickcompany.in/company/isummation-technologies-private-limited,"Follow Narendra Babubhai Patel 1 Directors Company Information CIN ""> Status Activ",,medium,name_only
TechnoCrackers,technocrackers.com,U33110CH2013PTC034676,Gurpreet Thaman,,Director,,https://www.quickcompany.in/company/technocrackers-private-limited,"Follow Gurpreet Thaman · Sandeep Kumar 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
TecOrb Technologies,tecorb.com,U72900UP2017PTC089510,Rishabh Dubey,,Director,,https://www.quickcompany.in/company/tecorb-technologies-private-limited,"Follow Rishabh Dubey · Laxmi Dubey 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Grawlix Software Private Limited,grawlixsoft.com,U72400MH2016PTC283884,Harnarayan Madanlal Lahoti,,Director,,https://www.quickcompany.in/company/grawlix-software-private-limited-private-limited,"Follow Harnarayan Madanlal Lahoti · Kalpana ... 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
Sensussoft Software Pvt.Ltd,sensussoft.com,U72900GJ2018PTC105536,Ashvinbhai Ramubhai Bavadiya,,Director,,https://www.quickcompany.in/company/sensussoft-software-pvt-ltd-private-limited,"Follow Ashvinbhai Ramubhai Bavadiya · Vinodb... 4 Directors Company Information CIN ""> Status Activ",,medium,name_only
Prishusoft,prishusoft.com,U86100RJ2023PTC087252,Amardeep Sharma,,Director,,https://www.quickcompany.in/company/prishusoft-private-limited,"Follow Amardeep Sharma · Priyanka Sharma 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
IndaPoint Technologies Pvt. Ltd.,indapoint.com,U72100GJ2006PTC049379,Tanvi Chirag Ahmedabadi,,Director,,https://www.quickcompany.in/company/indapoint-technologies-pvt-ltd-private-limited,"Follow Tanvi Chirag Ahmedabadi · Chirag Mahe... 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
Zerozilla,zerozilla.com,U72900KA2019PTC126825,Shashikala Angadi,,Director,,https://www.quickcompany.in/company/zerozilla-private-limited,"Follow Shashikala Angadi · Murudur Mallikarj... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Wizard Communications Pvt Ltd.,wizardcomm.net,U22219WB1999PTC090554,Gopi Nath Sarkar,,Director,,https://www.quickcompany.in/company/wizard-communications-pvt-ltd-private-limited,"Follow Gopi Nath Sarkar · Tapati Sarkar 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
Space-O Technologies,spaceotechnologies.com,U45400TN2013PTC091790,Mulukutla Shyam Kumar,,Director,,https://www.quickcompany.in/company/space-o-private-limited,"Follow Mulukutla Shyam Kumar · Shyam Kumar A... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Stellen Infotech,stelleninfotech.com,U72900PB2019PTC049480,Neeraj Gupta,,Director,,https://www.quickcompany.in/company/stellen-infotech-private-limited,"Follow Neeraj Gupta · Rohit Garg 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
OMNIST TECHHUB SOLUTIONS PRIVATE LIMITED,omnisttechhub.com,U74999DL2017PTC323187,Akash Bais,,Director,,https://www.quickcompany.in/company/omnist-techhub-solutions-private-limited-private-limited,"Follow Akash Bais · Akshay Kumar 4 Directors Company Information CIN ""> Status Activ",,medium,name_only
Queppelin,queppelin.com,U72200RJ2010PTC033174,Prafulla Mathur,,Director,,https://www.quickcompany.in/company/queppelin-private-limited,"Follow Prafulla Mathur · Ganesh Lal Mathur 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Jabit Soft,jabitsoft.com,U74999DL2018PTC327920,Baldeep Singh,,Director,,https://www.quickcompany.in/company/jabit-soft-private-limited,"Follow Baldeep Singh · Inderjeet Singh 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Arbaan GT Private Limited,arbaan.com,U72900TN2017PTC116223,Arvind Shanmugasundaram,,Director,,https://www.quickcompany.in/company/arbaan-gt-private-limited-private-limited,"Follow Arvind Shanmugasundaram · Mani Balaji 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
VTNetzwelt,vtnetzwelt.com,U72200HR2013PTC049108,Surender Vikram Singh,,Director,,https://www.quickcompany.in/company/vtnetzwelt-private-limited,"Follow Surender Vikram Singh · Pooja Rani 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
Trank Technologies,tranktechnologies.com,U72900DL2013PTC255634,Rashib Soni,,Director,,https://www.quickcompany.in/company/trank-technologies-private-limited,"Follow Rashib Soni · Tarun Kumar 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
IMG Global Infotech Pvt. Ltd,imgglobalinfotech.com,U74999HR2013PTC049631,Mohit Kumar Mittal,,Director,,https://www.quickcompany.in/company/img-global-infotech-pvt-ltd-private-limited,"Follow Mohit Kumar Mittal · Neeraj Singh Rajput 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Web Techno Experts,webtechnoexperts.com,U72900WB2016PTC216111,Sankha Chakraborty,,Director,,https://www.quickcompany.in/company/web-techno-private-limited,"Follow Sankha Chakraborty · Ashutosh Kumar M... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Teknotrait,teknotrait.com,U72200KA2014PTC077425,Abhik Khandelwal,,Director,,https://www.quickcompany.in/company/teknotrait-private-limited,"Follow Abhik Khandelwal · Rajendra Prasad Kh... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
DIATOZ SOLUTIONS PRIVATE LIMITED,diatoz.com,U74999KA2018PTC113555,Vijaylaxmi Borgohain,,Director,,https://www.quickcompany.in/company/diatoz-solutions-private-limited-private-limited,"Follow Vijaylaxmi Borgohain · Monuranjan Bor... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
SAG Infotech,saginfotech.com,U72300DL2008PTC179205,Prabhat Kumar Nagar,,Director,,https://www.quickcompany.in/company/sag-infotech-private-limited,"Follow Prabhat Kumar Nagar · Shyam Murari Nagar 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
iApp Technologies,iapptechnologies.com,U72900UP2019PTC112727,Vedvyas Kumar Rauniyar,,Director,,https://www.quickcompany.in/company/iapp-technologies-private-limited,"Follow Vedvyas Kumar Rauniyar · Vipin Kumar ... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
GyanMatrix Technologies Pvt Ltd,gyanmatrix.com,U72300KA2015PTC084767,Sundararajan Parasuraman,,Director,,https://www.quickcompany.in/company/gyanmatrix-technologies-pvt-ltd-private-limited,"Follow Sundararajan Parasuraman · . Vasanth 5 Directors Company Information CIN ""> Status Activ",,medium,name_only
Turain Software Pvt. Ltd.,turaingrp.com,U64100WB2021PTC245220,Tarun Karan,,Director,,https://www.quickcompany.in/company/turain-software-pvt-ltd-private-limited,"Follow Tarun Karan · Poulomi Saha 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
"NCode Technologies, Inc.",ncodetechnologies.com,U72900MP2022PTC060897,Rahul Singh Rathore,,Director,,https://www.quickcompany.in/company/ncode-technologies-private-limited,"Follow Rahul Singh Rathore · Saddam Ahmed 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
Mass Software Solutions Pvt Ltd,masssoftwaresolutions.com,U72200WB2006PTC109703,Suman Mukherjee,,Director,,https://www.quickcompany.in/company/mass-software-solutions-pvt-ltd-private-limited,"Follow Suman Mukherjee · Kaushik Ganguli 5 Directors Company Information CIN ""> Status Activ",,medium,name_only
Inncrewin Technologies,inncrewin.com,U72200KA2008PTC045512,Ram Manohar,,Director,,https://www.quickcompany.in/company/inncrewin-technologies-private-limited,"Follow Ram Manohar · Manju Prabhakaran Nair 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Tesseract Learning Inc,tesseractlearning.com,U74900KA2015PTC084794,Devanga Nanjundappa Suresh Kumar,,Director,,https://www.quickcompany.in/company/tesseract-learning-private-limited,"Follow Devanga Nanjundappa Suresh Kumar · Ha... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Niraltek Solutions,niraltek.com,U72900TN2021PTC141582,Chandra Sukumaran,,Director,,https://www.quickcompany.in/company/niraltek-solutions-private-limited,"Follow Chandra Sukumaran · Subramanian Durai... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Sumedha Softech Pvt. Ltd.,sumedhasoftech.com,U72200RJ2011PTC035449,Mithlesh Kumar Sharma,,Director,,https://www.quickcompany.in/company/sumedha-softech-pvt-ltd-private-limited,"Follow Mithlesh Kumar Sharma · Shyam Agarwal 5 Directors Company Information CIN ""> Status Activ",,medium,name_only
Haatch Interactive,haatchinteractive.com,U72900KL2018PTC054518,Jayakrishnan Melethil,,Director,,https://www.quickcompany.in/company/haatch-interactive-private-limited,"Follow Jayakrishnan Melethil · Vishnu Prasad 4 Directors Company Information CIN ""> Status Activ",,medium,name_only
IQ Infotech,iqinfotech.co.in,U72200KL1999PTC013381,Antony Jose Kokkad,,Director,,https://www.quickcompany.in/company/iq-infotech-private-limited,"Follow Antony Jose Kokkad · Kokkad Antony Jose 2 Directors Company Information CIN ""> Status Strik",,medium,name_only
OptimumBrew Technology,optimumbrew.com,,Bhaveshkumar Arvindbhai Gabani,,Director,,https://www.quickcompany.in/company/optimumbrew-technology,"Follow Bhaveshkumar Arvindbhai Gabani · Nira... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
HashStudioz Technologies Private Limited,hashstudioz.com,U72900DL2018PTC336365,Vivek Sanghi,,Director,,https://www.quickcompany.in/company/hashstudioz-technologies-private-limited-private-limited,"Follow Vivek Sanghi · Jitender Malik 4 Directors Company Information CIN ""> Status Activ",,medium,name_only
Digital Crew India,digitalcrew.co.in,U74999KA2017PTC108764,Deeraj Paramesh Ranhahalli,,Director,,https://www.quickcompany.in/company/digital-crew-private-limited,"Follow Deeraj Paramesh Ranhahalli · Suraj Pa... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Trigma,trigma.com,U72900CH2008PTC031435,Piyush Sood,,Director,,https://www.quickcompany.in/company/trigma-private-limited,"Follow Piyush Sood 1 Directors Company Information CIN ""> Status Activ",,medium,name_only
Sigmen Technologies Solutions,sigmentech.com,U72900WB2021PTC247663,Sunny Paul,,Director,,https://www.quickcompany.in/company/sigmen-technologies-solutions-private-limited,"Follow Sunny Paul · Subhrajyoti Ghosh 5 Directors Company Information CIN ""> Status Activ",,medium,name_only
TI Infotech Pvt. Ltd.,tiinfotech.com,U72200DL2005PTC139651,Arjun Sharma,,Director,,https://www.quickcompany.in/company/ti-infotech-pvt-ltd-private-limited,"Follow Arjun Sharma · Kapil Agarwal 6 Directors Company Information CIN ""> Status Activ",,medium,name_only
Tech Exactly,techexactly.com,,Dinesh Ramesh Ochani,,Director,,https://www.quickcompany.in/company/tech-exactly,"Follow Dinesh Ramesh Ochani · Naresh Ramesh ... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Ouranos Technologies Pvt Ltd,ouranostech.com,U72900GJ2014PTC079683,Vinaykumar Mohanlal Patel,,Director,,https://www.quickcompany.in/company/ouranos-technologies-pvt-ltd-private-limited,"Follow Vinaykumar Mohanlal Patel · Narsinhbh... 4 Directors Company Information CIN ""> Status Activ",,medium,name_only
Markovate,markovate.com,U72900KA2022FTC158308,Alok Gyanchand Kothari,,Director,,https://www.quickcompany.in/company/markovate-private-limited,"Follow Alok Gyanchand Kothari · Vivek Suresh... 3 Directors Company Information CIN ""> Status Activ",,medium,name_only
BESOLVE,besolve.in,U63030MH2014PTC254337,Bhupendra Lakhamshi Lodaya,,Director,,https://www.quickcompany.in/company/besolve-private-limited,"Follow Bhupendra Lakhamshi Lodaya · Neeta Bh... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
Henceforth Solutions Pvt Ltd,henceforthsolutions.com,U72900HR2017PTC068543,Abhishek Suri,,Director,,https://www.quickcompany.in/company/henceforth-solutions-pvt-ltd-private-limited,"Follow Abhishek Suri · Gaurav Negi 4 Directors Company Information CIN ""> Status Activ",,medium,name_only
PM Square Soft Services Private Limited,pmsquaresoft.com,U72200TZ2011PTC017107,Muthukumar Veluswamy,,Director,,https://www.quickcompany.in/company/pm-square-soft-services-private-limited-private-limited,"Follow Muthukumar Veluswamy · Muthukumar Par... 2 Directors Company Information CIN ""> Status Activ",,medium,name_only
GVM Technologies,gvmtechnologies.com,U72200AP2016PTC110262,Navaneetha Chittamuru,,Director,,https://www.quickcompany.in/company/gvm-technologies-private-limited,"Follow Navaneetha Chittamuru · Poluri Sriniv... 4 Directors Company Information CIN ""> Status Activ",,medium,name_only
