rank,band,score,confidence,name,city,domain,website,headcount,already_in_hubspot,contact_known,GOLD_pts,TierA_pts,TierB_pts,TierC_pts,raw_before_caps,caps_applied,pre2024_basis,private_repo_host_hits,review_gate_hits,cicd_hits,jd_chars,evidence,graded_by,why_this_rank
11,Priority,95,Inferred,Covalense Technologies Private Limited,Hyderabad,covalenseglobal.com,https://www.covalenseglobal.com/,,,,25,0,50,20,95,,PROVEN - Wayback 2023-06 advertised Application Development and Quality Engineering,0,0,6,44912,"JD: 'CI/CD platforms such as Jenkins or GitHub Actions' (QA role) | JD: test suites 'for reliable execution within CI/CD pipelines' (QA Automation) | Site: CGLense accelerators iBOT, iAnalyst, proprietary IP platforms | Wayback 2023-06: Application Development, Quality Engineering nav (homepage)",agent,
12,Priority,95,Inferred,Inadev India Private Limited,Kolkata,inadev.com,https://www.inadev.com/,,,,25,0,50,20,95,,PROVEN - Wayback 2023-06 advertised Product Engineering and delivered products,0,0,6,45967,Careers/JD: 'Develop and automate CI/CD pipelines to enhance efficiency' | Site: 'Inadev and Harness Partner to Modernize CI/CD for USCIS' | Site: Ceebit agentic-AI accelerator; Quality Engineering & Assurance practice | Wayback 2023-06: 'Product Engineering... bring your products to life',agent,"Ownership caveat the score cannot express: the Kolkata entity is the India delivery arm of a US federal contractor (USCIS, ITSSC II), so the codebases it works on are largely client- and US-HQ-owned and the buying decision sits abroad. I did not band it Skip because the reject rule enumerates captives of banks, insurers, manufacturers and foreign product vendors, and Inadev is an IT services firm building software - but verify ownership before spending outreach on it. The ITSSC II 'IT support services' hits are one federal contract, not a helpdesk core business, so no cap-at-20."
13,Priority,95,Verified,Incedo Technology Solutions Limited,Gurugram,incedoinc.com,https://www.incedoinc.com/,14,yes,Saurabh Mittal (Chairman & Founder),25,25,25,20,95,,PROVEN - 2020-06 wayback lists product engineering and case studies,1,0,2,44877,"JD: 'Git, Jira, Bitbucket, Jenkins, and OCP' names a private host | JD: 'Using CI/CD pipelines, source control, and build tools (Jenkins, Maven/Gradle)' | Wayback 2020-06: telecom product engineering and case studies already advertised | Site: owns DataXel, Lighthouse, Kratos, CloudXpert platforms",agent,"headcount_known says 14, which is scraped junk - their own site says 'over 4,000 people' and Fortune 500 clients. That is under the 5,000 giant threshold so I did not exclude, but it sits at the top of the size range and is US-headquartered PE-backed, so treat the Priority band as 'engineering signals are real' rather than 'acquirable'."
14,Priority,95,Verified,InfoBeans Technologies Limited,Indore,infobeans.com,https://infobeans.ai/,,,,25,25,25,20,95,,"PROVEN - 2023 snapshot: Digital Transformation, Product Engineering, Software Services (+25)",0,5,23,198527,"JD: 'Familiarity with Git, CI pipelines, code reviews, defect tracking' | JD: CI/CD with Jenkins, GitHub Actions, ArgoCD, Terraform, Puppet | JD: pytest automated tests integrated into CI/CD pipelines | Site: 'founded in 2000, publicly listed on the NSE & BSE'",agent,"Scores near the ceiling on evidence quality, but note the size/ownership profile: a publicly listed NSE/BSE company founded 2000, materially larger than the 50-600 sweet spot though well under the 5000 giant threshold. No headcount was in the bundle. I withheld the quality-gate +10 because 'code-coverage analysis' appears as a candidate skill, not an enforced threshold."
15,Priority,95,Verified,Infomerica (INDIA) Private Limited,Hyderabad,infomericainc.com,https://www.infomericainc.com/,,,,25,0,50,20,95,,PROVEN - 20230601 snapshot: 'Cloud Computing DevOps NET/JAVA/PHP Development',0,2,0,62923,"Wayback 2023: 'Mobility Cloud Computing DevOps NET/JAVA/PHP Development, SOA' | JD: 'code reviews and enforcing engineering practices and standards' | JD: 'Hands-on experience with TDD using Junit5 and Mockito' | JD: 'Aws with terraform Iaas Paas SDLC Azure GCP'",agent,
16,Priority,95,Inferred,Opcito Technologies Private Limited,Pune,opcito.com,https://www.opcito.com/,,,,25,0,50,20,95,,"Wayback 2023-06 advertised DevOps, cloud automation, case studies",0,0,7,44674,"Careers: 'QA Automation' and 'Cloud DevOps & SRE' practices | Site: 'Cloud, Containerization, DevOps, and CI/CD are our forte' | Site: accelerators portfolio built for SDLC and STLC | Wayback 2023-06 DevOps and full-stack positioning",agent,"Tier A withheld deliberately: their 'code review techniques and version control' lines are selling DevOps consulting, not describing their own gate, and the careers crawl captured page chrome rather than job text. The 95 rests on Tier B substance alone, so confidence stays Inferred."
17,Priority,95,Verified,Quinnox Consultancy Services Ltd,Mumbai,quinnox.com,https://www.quinnox.com/,,,,25,25,25,20,95,,PROVEN - 2023 snapshot advertised modern application development (+25),1,0,11,110343,"JD: 'CI/CD tools (Jenkins, GitHub Actions, Azure DevOps)' for DevOps/SRE role | JD: 'Manage CI/CD pipelines and infrastructure automation' | Site: Qyrus automated testing platform, proprietary accelerators | Site: banking, insurance, Nasdaq Calypso enterprise engagements",agent,"Two judgement calls. First, I did not award the +20 engineering-blog signal: the blog is buyer-facing thought leadership (chaos engineering, test management, data pipelines) rather than posts by their engineers about code review or PR workflow. Second, Azure DevOps appears only inside a CI/CD tool list and no review-gate wording was captured across 21 pages, so Tier A is half credit despite the strong overall engineering story."
18,Priority,95,Inferred,Talentas Technology Private Limited,Hyderabad,talentas.in,https://www.talentas.in/,,,,25,25,35,10,95,,PROVEN - Wayback 2023-06 advertised Software Development & Integration services,0,0,0,0,"Site: 'Secure SDLC & code reviews' listed among audited ISO/SOC 2 controls | Site: 'ISO/IEC 27001:2022 certified, SOC 2 Type 1 & Type 2 attested' | Site: DevOps continuous testing across automation, API and mobile testing | No careers page reached; zero JD characters collected",agent,"Unusual evidence base for a 95: no careers page was reached and zero JD characters were collected, so the review gate comes from an ISMS control list ('Secure SDLC & code reviews') that sits behind an independently attested SOC 2 Type 2 - stronger than marketing prose but not JD-level, hence Tier A single-signal and Inferred rather than Verified. The QA and DevOps points partly describe services they sell, which I judged substantive because a testing services firm must staff the practice it advertises."
19,Priority,93,Verified,Airamatrix Private Limited,Thane,airamatrix.com,https://www.airamatrix.com/,,,,25,25,25,18,93,,PROVEN - 2022-06 wayback shows shipped automation product and awards,0,2,1,35572,"JD: 'Perform code reviews and ensure code quality is maintained' | JD: 'Experience in CICD, Jenkins, SonarQube, GITLAB, JIRA, and JUnit' | Wayback 2022-06: automation product, Nature Scientific Reports publication, Aegis award | Site: healthcare diagnostic and prognostic tool portfolio, life-sciences clients",agent,"Tier A is +25 not +40 because the JD says only 'GITLAB' - the rubric requires self-hosted GitLab, and a bare mention does not prove it, so no private-repo host was counted. The SonarQube/Jenkins line is phrased as 'an added advantage', so I took the quality gate and CI/CD points but withheld the dedicated-QA +10; the code-review requirement itself appears twice as a hard responsibility."
20,Priority,90,Verified,AiRo Digital Labs India Private Limited,Gurugram,airodigitallabs.com,https://airolabs.ai/,313,,"Harendra Thatola (Senior Vice President, Global Delivery)",25,25,25,15,90,,PROVEN - 2023-06 snapshot advertising 'SaaS product engineering services - advisory to development',2,2,4,91554,"JD: 'platform governance, code reviews, architectural decisions' | JD: 'CI/CD (Azure DevOps/GitHub Actions) ... infrastructure-as-code' | Site: 'Renewed ISO 27001 certifications' in 2023 milestones | Site: BFSI, healthcare, life sciences, oil and gas case studies",agent,"Tier A halved on substance: across 15 JD pages the only private-host evidence is one repeated line pairing Azure DevOps with GitHub Actions as CI/CD choices - thin for a 313-person firm, and it never says where code is hosted. Review-gate language is genuine, so 25 rather than 0."
21,Priority,90,Inferred,Bebo Technologies Pvt Ltd,Chandigarh(CH),bebotechnologies.com,http://www.bebotechnologies.com,,,,25,0,50,15,90,,PROVEN — Wayback 20230601 'Software Product Engineering Methodologies',0,0,1,560813,"Wayback 2023-06: 'Software Product Engineering Methodologies' | JD: 'Collaborate with DevOps teams to support CI/CD pipelines' | JD: 'test-driven development practices using JUnit, Mockito' | Careers: 'Principal Software Engineer', Quality Engineering roles",agent,"560k chars of job text name Git, CI/CD and TDD but never a private-repo host or a review gate, so this is Priority on Tier B breadth with confidence only Inferred — the single highest-value check is still unverified. The generalist cap was withheld: BTES is a non-profit training arm and 'product support' means application support for software they build and test."
22,Priority,90,Verified,Paltech Consulting Private Limited,Hyderabad,pal.tech,https://www.pal.tech/,,,,25,25,25,15,90,,PROVEN - 2023-06 snapshot 'Home - PalTech ... Digital Product Engineering',1,2,2,64345,"JD: 'Implement code reviews, version control, and continuous improvements' | JD: 'CI/CD pipelines using Azure DevOps, GitHub Actions, or Jenkins' | Site: DevSecOps with IaC, Docker, Kubernetes; Quality Engineering line | Site: named client testimonial - Co-Founder, Vibrix Pharmacy",agent,"Tier A halved: Azure DevOps appears once as one of three interchangeable CI/CD tools, so private-repo discipline is implied rather than stated, even though two separate JDs name code reviews. 'Digital Product Engineering' was judged substantive rather than decorative - it is the headline service with DevSecOps and Quality Engineering beneath it."
23,Priority,90,Verified,Sinergia Media Labs Private Limited,Ernakulam,simelabs.com,https://www.simelabs.com/,,,,25,25,25,15,90,,PROVEN: 2023-06-01 Wayback snapshot advertising software development for 72 clients,0,0,0,7931,"Careers page: 'Exhaustive code reviews ... a regular development practice' | Careers page: 'We use Jenkins and Gitlab CI' after merges | Careers: Senior SRE, Principal Backend & AI Engineer roles open | Wayback 2023: software development and data work for 72 clients",agent,"Tier A is +25 rather than +40: an explicit review gate is stated, but on the careers/practices page rather than inside a job description, and GitLab CI alone does not establish a self-hosted private host."
24,Priority,90,Verified,Sumanas Technologies Private Limited,Madurai,sumanastech.com,https://www.sumanastech.com/,,,,25,40,25,0,90,,PROVEN - 2023-06 snapshot 'Software development On-prem Application Cloud Application',1,4,1,37577,"JD: 'Good understanding of Git Flow development techniques (branching, pull requests)' | JD: 'Hands-on experience with Git (GitHub, Bitbucket)' | JD: 'conduct regular code reviews to maintain code quality' | Site: owns Medizura healthcare product",agent,"Tier C is zero because the crawl captured almost no site prose - three signal families, mostly product copy - so positioning is under-evidenced rather than absent; the score is carried entirely by JD text, which is among the most explicit in the batch on branching and pull requests. One caution: the pre-2024 snapshot advertises WordPress/Drupal/Joomla CMS and CRM configuration alongside software, a template-shop tinge that stops short of the -15 signature."
25,Priority,90,Verified,Vrize India Private Limited,Kochi,vrize.com,https://www.vrize.com/,440,,Maloy Roy (Chief Executive Officer),10,40,25,15,90,,"DOMAIN_ONLY - domain registered 2014-02-10, no snapshot of software wording",0,2,10,33806,"JD tech stack: 'GitLab, Bitbucket' listed under Version Control & CI/CD | JD: 'Participate in code reviews, design discussions, and agile ceremonies' | JD: 'full life cycle implementations for large, enterprise clients' | Site: quality engineering practice - QA architects, performance engineers",agent,"Reaches Priority on JD evidence alone: Bitbucket named under an explicit 'Version Control' heading plus a code-review gate. The pre-2024 basis is only a 2014 domain registration, which proves somebody owned the name and nothing about software - so the placement should be read as JD-driven, not age-driven."
26,Priority,88,Verified,Heera Software Private Limited,Pune,heerasoftware.com,https://heerasoftware.com/,,,,25,25,25,13,88,,PROVEN - 2022 snapshot: products used by 10+ multinationals,2,0,2,36399,"JD: 'Implement Git-based workflows and maintain Azure Repos' | JD: 'CI/CD pipelines using Azure DevOps (classical and YAML pipelines)' | JD: 'ArgoCD for GitOps-based deployment strategies' | Site: ISO 27001, SOC 1/SOC 2 Type 2; own distribution-management platform",agent,
27,Priority,88,Verified,Lexplosion Solutions Pvt Ltd,Kolkata,lexplosion.in,https://lexplosion.in/,,,,25,25,25,13,88,,PROVEN - 2023 snapshot: legal tech products designed and developed in-house,1,0,3,37151,"JD: 'Familiarity with CodeCommit/Git, CI/CD' - AWS CodeCommit named | JD: 'Docker, Jenkins, CI/CD pipelines', Kubernetes and Argo CD | Site: ISO 27001, VAPT, penetration testing on Komrisk | Site: own products Komrisk/Komlit; clients CitiusTech, investment bank",agent,
28,Priority,88,Inferred,Venkanna Software Services Private Limited,Hyderabad,amplelogic.com,https://www.amplelogic.com/,,,,25,0,50,13,88,,PROVEN - Wayback 2020-06 advertised pharma software products and case studies,0,0,1,1272758,"Careers: 'DevOps & CI/CD IT Hyderabad Apply Now' open role listing | Site: ISO 9001:2015, ISO 27001:2022, SOC 2 Type II (compliance) | Site: 'version control' quotes describe their DMS product, not git | Wayback 2020-06: AmpleLogic pharma software product site (homepage)",agent,"Judgement call: the six 'version control' and 'multi-level review and approval workflow' quotes are features of their eQMS/DMS product, so Tier A was withheld entirely - they are selling document control, not describing their repos. The heavy DQ counts (template 48, bpo 32, support 18) are all false positives from product copy about document templates, manual data entry reduction and '21 CFR Part 11 supports', so no Step 3 cap fires. Score rests on a real DevOps/CI-CD job opening plus genuine certifications."
29,Priority,85,Verified,DataFoundry Private Limited,Bengaluru,datafoundry.ai,https://datafoundry.ai/,,,,25,25,15,20,85,,PROVEN - 2022 wayback snapshot lists Custom Software Engineering and DF Health 4.0 platform,0,0,0,0,"careers JD: 'participate in code reviews' - explicit review gate | careers JD: 'CI/CD pipelines ... Kubernetes, Docker, Jenkins, Terraform, Git' | wayback 20220601: 'Custom Software Engineering ... DF Health 4.0 Cloud' | about page: 'LP heads the Product Engineering and Delivery Operations'",agent,"Only Tier A award in the bundle, and it contradicts the bundle's own flags: jd.pages_read is 0 and meets_tier_a is false, but the careers-page text was captured under site_quotes instead, and it contains a genuine review gate ('participate in code reviews') plus a full DevOps toolchain in a role description. That is JD-level evidence, so +25 for one of the two signals and confidence Verified. No private-repo host is named - Azure appears as a cloud, not Azure DevOps - which is why it is +25 and not +40."
30,Priority,85,Verified,Dev Information Technology Limited,Ahmedabad,devitpl.com,https://devitpl.com/,970,,,10,40,25,10,85,,"UNKNOWN - no Wayback snapshot and no RDAP record; missing, not absent",9,6,30,170302,"JD: 'Azure DevOps for code repository, branching, CI/CD pipelines' | JD: 'Familiar with Jira and Bitbucket' - second private host | JD: 'Conduct code reviews and provide feedback to ensure code quality' | Site/about: ISO 27001 ISMS certification claimed",agent,"Pre-2024 evidence is missing rather than absent - no snapshot, no RDAP - for a 970-person Ahmedabad firm whose JDs are the deepest in the batch (170k chars); with a snapshot this would sit at 100. Some managed-IT/infrastructure flavour (Cloud Administrator roles, hardware evaluation lines) but no SEO/PPC/helpdesk bundling was found, so the generalist-agency cap was deliberately not applied."
31,Priority,85,Verified,EasyStepIn IT Services Private Limited,Bengaluru,easystepin.com,https://easystepin.com/,,,,25,0,40,20,85,,PROVEN - 20230601 snapshot: 'Products Meepaisa... iPaaS Implementation Service',0,2,0,121740,"Wayback 2023: 'Meepaisa... Development Standards... iPaaS Implementation Service' | JD: 'Participate in the peer review process to assist others' | Case study: 'cloud migration to AWS using SQS, EC2, APIs, DB, and CI/CD' | Site: 'reusable Solution Accelerators and a proven implementation framework'",agent,"Priority rests on a single peer-review sentence plus site prose, so the placement deserves a caveat. I credited substantive CI/CD from a delivery case study naming concrete AWS tooling, which is real work rather than marketing. I withheld the +10 compliance point even though GDPR and HIPAA appear, because that text describes a client data migration's outcome, not EasyStepIn's own change-control regime. No private-repo host anywhere, so Tier A is zero despite the Priority band."
32,Priority,85,Inferred,Exclusive-OR (XOR) Labs Private Limited,Noida,xorlabs.com,https://xorlabs.com/,,,,25,20,25,15,85,,"PROVEN: 2023 Wayback advertising web, mobile and staff augmentation",0,0,0,0,"blog: 'AI code review and testing'; 'eval gates in CI' post | site_quotes cicd: 'Kubernetes, IaC and SRE-grade observability'; 'CI/CD & IaC' | site_quotes compliance: 'SOC 2, HIPAA, GDPR, ISO/IEC 42001' practices | site_quotes sdlc: '4-phase engagement model', 2-week sprints, weekly demos",agent,"Tier A points come from one blog post on code review and CI gates — a judgement call, since the blog leans marketing. Only / and /blog were crawled and jd is empty, so confidence stays Inferred; a careers crawl could move this either way."
33,Priority,85,Verified,Nuvento Systems Private Limited,Kochi,nuvento.com,https://nuvento.com/,,,,25,25,25,10,85,,PROVEN - 2023-06 snapshot advertising 'Enterprise Software Development Product Engineering',1,1,7,33847,"JD: 'branching strategy, change approval workflow, required sign-offs (tests, security review)' | JD: Azure DevOps appears only as Boards for release tracking | JD: Jenkins, Docker, Kubernetes, Terraform, Ansible, Git | Site: milestone map - founded 2007, product engineering scaled 2011",agent,"The best release-discipline prose in the batch - semantic versioning, release-train cadence, branching strategy, change-approval sign-offs - yet Tier A is 25, not 40, because the only named host is Azure DevOps Boards, and that JD explicitly says the role is not the pipeline's operator. A firm this articulate about merge gates is worth a manual look above its score."
34,Priority,85,Verified,Quad One Technologies Private Limited,Hyderabad,quadone.com,https://www.quadone.com/,,,,25,25,25,10,85,,PROVEN - 2023 snapshot: 'Pharmaceuticals and Healthcare software development company' (+25),2,0,2,25717,"Careers: DevOps role skills 'Azure DevOps Docker Kubernetes Terraform CI/CD' | Careers: Quality Analyst and Performance Engineer roles, automated testing | Careers: full-stack role stack 'C# ASP.NET Core Web API SQL Server Azure Git' | Wayback 2023: pharma and healthcare software development positioning",agent,"Judgement call on the strength of the Tier A evidence: Azure DevOps appears as a skills chip on a job card rather than in a sentence describing workflow, and no code-review wording was captured in 25K chars. I still counted it as a named private-repo host per the rubric, giving half Tier A. I also declined the owns_product Tier C point - 'our platform' reads as AI marketing prose, not a shipped product."
35,Priority,85,Verified,Rysun Labs Private Limited,Ahmedabad,rysun.com,https://www.rysun.com/,,,,25,25,25,10,85,,PROVEN - 2023 snapshot advertised product engineering and modernization (+25),0,2,10,50833,"JD: 'Manage source code repositories and branching strategies using Git' | JD: 'Design, implement, and manage CI/CD pipelines' plus IaC, Kubernetes | JD: 'test automation strategies', automation frameworks expertise | Site: healthcare client build - pregnancy tracking app plus admin panel",agent,"Tier A is half credit on a judgement call: 'branching strategies using Git' is a genuine review gate under the rubric, but no private-repo host (Bitbucket/Azure DevOps/self-hosted GitLab) is named anywhere in the JD text, so +25 not +40."
36,Priority,85,Verified,Softlabs Technologies & Development Private Limited,Mumbai,softlabsgroup.com,https://www.softlabsgroup.com,,,,25,40,10,10,85,,PROVEN - 2023-06 snapshot 'Outsourcing Software Development Company in India | Softlabs Group',1,1,0,27620,"JD: 'Knowledge of source control - TFS/SVN/Git' | JD: 'Perform code reviews, testing, debugging, and deployment' | Site: Engineering Lifecycle page - automated regression tests, security scans | Site: markets Copilot/Cursor-accelerated coding, '40% Time Saved'",agent,"Full Tier A rests on a single line in one thin JD (27k chars, one page) - but 'source control - TFS/SVN/Git' is genuinely a repo context, unlike the CI/CD tool lists that got halved elsewhere, so 40 stands. Tier B is low because their CI/CD claim is marketing prose with no named tooling, and SOC2/HIPAA are described as standards their client solutions meet, not their own audits. Counter-signal worth weighing: the site now sells Copilot/Cursor-accelerated delivery and fixed-price MVPs, so recent code may be substantially machine-generated even though the pre-2024 codebase is proven."
37,Priority,85,Verified,Sparity Soft Technologies Private Limited,Hyderabad,sparity.com,https://www.sparity.com/,,,,25,25,15,20,85,,PROVEN - 2023-06 wayback: 'Top Software Development Company In USA',0,2,2,16812,"JD: 'perform code reviews to change, correct errors' | JD stack: 'AWS Cloud, Jenkins, Git-Lab, Spring Boot' for web applications | Wayback 2023-06: 'Top Software Development Company In USA' | Site: 'agile methodologies... integrated DevOps practices'; Fortune 500 clients",agent,
38,Priority,85,Verified,Wallero Technologies Private Limited,Hyderabad,wallero.com,https://wallero.com/,,,,25,25,25,10,85,,PROVEN - 2020 snapshot advertised software development and cloud (+25),6,0,15,37950,"JD: 'Experience with Terraform, Jenkins, Git, Bitbucket, JFrog Artifactory' | JD: 'Implements CI/CD pipelines using Azure DevOps' | JD: 'Ensures continuous testing within CI/CD pipelines' | Site: healthcare client work - Intelligent InSites location intelligence platform",agent,
