name,city,domain,website,agent_relevant,confidence,prod_or_serv,founded_year_site,founded_year_text,what_they_do,evidence,my_regex_said,YOUR VERDICT,NOTES
AUI Systems Private Limited,Delhi,auisys.com,https://auisys.com/nlu/,yes,high,product,,,own cognitive NLU platform and analyzers for energy industry documents,Trailblazing IP that's built from scratch; Cognitive NLU Platform available as a Service,ambiguous,,
Avineon India Private Limited,Hyderabad,avineon.com,https://www.avineon.com/en-us/home,yes,medium,both,,1992,GIS data services plus custom application development and Esri tools,Application Development; Application Development & Automation; Avineon's Model Manager tool,ambiguous,,
BeeHyv Software Solutions Private Limited,Hyderabad,beehyv.com,https://www.beehyv.com/,yes,high,both,2007,,"engineering services building AI, data platforms; own Talk2API product",250+ Engineers... We build and operate systems; API Intelligence Platform (Talk2API),software_dev,,
BizAcuity Solutions Private Limited,Hyderabad,bizacuity.com,https://bizacuity.com/,yes,high,both,2011,,data analytics and BI services plus custom application development,"Application Development Services: Develop, manage, and modernize custom applications",ambiguous,,
Bookingjini Labs.Private Limited,Bhubaneswar,bookingjini.com,https://bookingjini.com/,yes,high,product,,,"own hotel SaaS: booking engine, channel manager, PMS, CRM",Our Products Booking Engine Channel Manager PMS CRM; all-in-one platform for hotels,ambiguous,,
BOT AI ML Private Limited,Bengaluru,botaiml.com,https://botaiml.com/,yes,high,product,,,BOTConverse enterprise automation platform with AI digital workers,The BOTConverse Platform is built for enterprise automation powered by AI,ambiguous,,
Canopus-GBS Private Limited,Bengaluru,canopusgbs.com,https://canopusgbs.com/,yes,medium,service,,,"SAP S/4HANA implementation, BTP extension development and AMS",Customize & Extend... enhancements and integrations delivered via BTP-based extensions,ambiguous,,
CEDURA Testsol Private Limited,Hyderabad,ceduratech.com,https://cedura.ai/,yes,high,service,2016,,"builds AI-powered web, mobile and embedded applications for clients",We build intelligent web and mobile applications enhanced with AI capabilities,software_dev,,
Ceymox Technologies Private Limited,Kochi,ceymox.com,https://ceymox.com,yes,high,service,2007,,"Magento and Shopify ecommerce development, PWA and mobile commerce apps","Magento Development Company; custom storefronts, Hyvä theme development, Magento mobile applications",software_dev,,
Clearwater Analytics India Private Limited,Noida,clearwateranalytics.com,https://cwan.com/,yes,high,product,,,"SaaS investment accounting, reconciliation and risk analytics platform","The investment management platform for the entire lifecycle; Beacon, Enfusion by Clearwater",ambiguous,,
Code Shastra Private Limited,Gurugram,codeshastra.com,https://www.codeshastra.com/,yes,high,service,,,product development plus dedicated remote engineering teams for clients,"We offer mobile app development, web development, UI UX design, and AI services",software_dev,,
Concentrix Daksh Services India Private Limited,Gurugram,concentrix.com,https://www.concentrix.com/,yes,medium,both,,,CX outsourcing plus enterprise technology implementation and own AI suite,The iX Product Suite is AI built by the people who run processes,ambiguous,,
Crecientech InfoSytem Private Limited,Bengaluru,crecientech.com,https://www.crecientech.com,yes,high,both,2016,,custom software and web development plus own governance and ecommerce platforms,"full-cycle custom software development, including planning, design, and deployment",software_dev,,
CS Soft Solutions (India) Private Limited,Mohali,cssoftsolutions.com,https://www.cssoftsolutions.com,yes,high,service,2009,,offshore custom software and AI product engineering teams for enterprises,enterprise software development services... Dedicated engineering pods aligned with your roadmap,software_dev,,
Cybertech Systems and Software Ltd,Mumbai,cybertech.com,https://cybertech.com/,yes,medium,both,1995,,SAP and Esri GIS cloud services plus own SAP-ArcGIS integration platform,Unity Engine: World's First SAP Certified Platform for SAP and ArcGIS Integration,software_dev,,
Datagrid Solutions Private Limited,Mumbai,datagrid.co.in,https://datagrid.co.in/,yes,high,service,,,"custom software, web and mobile app development plus IT outsourcing",Datagrid Solutions is a Customised software development and IT outsourcing provider,software_dev,,
Dayforce India Private Limited,Gautam Buddha Nagar,ceridian.com,https://www.dayforce.com/,yes,high,product,1992,,"own cloud HCM platform: HR, payroll, time, talent, analytics","Dayforce - Global HCM Software; single AI-powered people platform, 7 million users",ambiguous,,
Delostyle Studio Private Limited,Kolkata,delostylestudio.com,https://www.delostylestudio.com,yes,high,service,2016,,"frontend, web, mobile and e-commerce development plus staff augmentation","Frontend Development, Web Application Development, Mobile App Development, E-commerce Development",software_dev,,
Dipole Tech Innovations (OPC) Private Limited,Mohali,dipoletechi.com,https://dipoletechi.com,yes,high,service,,,"custom web, mobile and software development plus digital marketing","we design and develop custom websites, eCommerce platforms, and software solutions",software_dev,,
DSekai Technologies LLP,Bhubaneswar,dsekai.com,https://www.dsekai.com/,yes,medium,service,,,"website and mobile app development, ERP/CRM/ecommerce builds","web design and development, tailor made applications, ERPs, CRMs, e-commerce solutions",ambiguous,,
Elektrobit India Private Limited,Bengaluru,elektrobit.com,https://www.elektrobit.com/about/#locations,yes,high,both,,,"automotive embedded software, OS and middleware products plus engineering services","operating systems, middleware, embedded software, digital cockpit solutions, engineering services",software_dev,,
Emprotek Software Solutions Private Limited,Pune,emprotek.com,https://emprotek.com/,yes,high,service,2014,,"embedded and IoT product development: firmware, cloud, mobile and web apps","Firmware Development, Cloud Application for IOT, Mobile App and Web Development",software_dev,,
eNTrust Software and Services Private Limited,Chennai,ntrustinfotech.com,https://ntrustinfotech.com/,yes,high,both,2005,,real estate lease back-office outsourcing plus own lease-management SaaS platforms,"Three proprietary platforms power every engagement; Lease Management SaaS, Proprietary LLM",ambiguous,,
Epsum Labs Private Limited,Bhubaneswar,epsumlabs.com,https://www.epsumlabs.com/,yes,high,both,,,own AI/IoT industrial platforms plus Industry 4.0 solution delivery,"three purpose-built platforms — epsumthings, fleetcue, filegenix — built on AI and IoT",ambiguous,,
ExaThought Technology Consulting Private Limited,Bengaluru,exathought.com,https://www.exathought.com/,yes,high,service,,,"custom mobile, web and cloud-native application engineering plus DevSecOps","We engineer mobile and web applications, cloud-native platforms, and services",software_dev,,
Express Analytics India Private Limited,Pune,expressanalytics.com,https://www.expressanalytics.com,yes,medium,both,,,enterprise data and AI analytics services plus kAInet ad-campaign AI product,"kAInet builds the full campaign structure; AI orchestration connects agents, voice AI, ML",ambiguous,,
FinacPlus Global Services Private Limited,Hyderabad,finacplus.com,https://www.finacplus.com,yes,medium,service,2017,,virtual back-office BPO plus outsourced software development and data analytics,Technology & Software Development: Outsource your Technology and Software; FinacPlus can develop cloud-,software_dev,,
Flodata Analytics Private Limited,Delhi,flodataanalytics.com,https://flodataanalytics.com/about-us/,yes,high,service,2020,2020,"data analytics, GIS and data-focused application development for enterprises",track record in the software development industry; Data-focused Application Development,software_dev,,
Freyr Software Services Pvt Ltd,Hyderabad,freyrsolutions.com,https://www.freyrsolutions.com/,yes,medium,both,,,pharma regulatory affairs services plus own regulatory submission/labeling software,"Technology Solutions for Submissions Management, Labeling Management, Regulatory Information Management",software_dev,,
Gadgeon Smart Systems Pvt Ltd,Ernakulam,gadgeon.com,https://www.gadgeon.com/,yes,high,both,2011,,"product/embedded engineering, cloud and mobile app development, own IoT platforms","Product Engineering and Enterprise Application Development; Native Cloud Apps, Mobile Apps, Firmware Engineering",software_dev,,
GIEOM Business Solutions Private Limited,Bengaluru,gieom.com,https://www.gieom.com/,yes,high,product,2012,,GRC and operational resilience software platform for regulated BFSI firms,GIEOM Operational Resilience Software; The GRC and Operational Resilience Platform,ambiguous,,
Goavega Software India Pvt Ltd,Bengaluru,goavega.com,https://www.goavega.com/,yes,high,service,,,"AI-driven product engineering, custom ML models and cloud application development",AI-Powered Application Development; ML Model Development; Product Engineering,software_dev,,
HanuAl Private Limited,Delhi,roadathena.com,https://roadathena.com/,yes,high,product,,,AI road survey and pavement/asset condition analysis platform,"RoadAtthena - AI Road Survey & Condition Analysis, A Product of HanuAI",ambiguous,,
Hyring Tech Private Limited,Chennai,hyring.com,https://hyring.com,yes,high,product,2022,,"AI-native recruiting SaaS platform for employers, jobseekers and recruiters","Hyring is an AI-native hiring platform that screens, interviews, and shortlists candidates",software_dev,,
iLeaf Solutions Private Limited,Kochi,ileafsolutions.com,https://www.ileafsolutions.com/,yes,high,service,,,"offshore custom software, web and mobile product engineering for overseas clients","Offshore Software Development Company; we specialize in product engineering, system architecture, integrations",software_dev,,
Inadev India Private Limited,Kolkata,inadev.com,https://www.inadev.com/,yes,high,both,,,"digital engineering, identity intelligence and fraud detection builds for federal clients",deliver products and services; Digital Engineering; end-to-end digital and data transformation,software_dev,,
Inference Labs Private Limited,Bengaluru,inference.in,https://inference.in/,yes,high,both,,,"own AI products: video transcription, price intelligence, in-house NLP engine","Our AI APIs, Models, and Intelligent Platforms; iConverse - our in-house NLP engine",ambiguous,,
InfoVision Labs India Private Limited,Pune,infovision.com,https://www.infovision.com,yes,high,both,,,digital engineering services plus own media-intelligence and payments platforms,architecting and delivering our telemedicine platform end to end; AlphaMetricx Media Intelligence Platform,software_dev,,
InnoFissionAI (Assistorix Systems Private Limited),Kolkata,innofissionai.com,https://www.innofissionai.com/,yes,high,both,,,"custom AI product builds and enterprise automation implementation for BFSI, telecom","End-to-end AI product builds; full-stack engineering, AI model integration, ongoing iteration",ambiguous,,
Intense Technologies Ltd,Hyderabad,in10stech.com,https://www.in10stech.com/,yes,high,both,,,UniServe customer communication management and engagement software platforms,Secured Copyright for UniServe Reach Marketing Automation & Customer Engagement Platform,software_dev,,
iWork Technologies Pvt Ltd,Pune,iworktech.com,https://iworktech.com/,yes,high,service,,,AI-augmented MVP and product development with dedicated engineering squads,"Agentic Product Development; launch MVPs 10x faster; Dedicated Teams, 2-3 AI-Augmented Devs",software_dev,,
Kapil IT Solutions Private Limited,Hyderabad,kapilit.com,https://kapilit.com/,yes,high,both,2008,,"custom applications, ERP and mobile development plus own vertical software products","""Customized Applications, ERP Software Development, Mobile Applications""; ""our exclusive products help real estate""",software_dev,,
KRO Brandpeck Private Limited,Bhubaneswar,thetechnovate.com,https://thetechnovate.com/,yes,medium,service,,,custom app and web development alongside digital marketing services,Application development... Web Development: responsive website and web application development,software_dev,,
Lentera Technologies Private Limited,Chennai,lentera.in,https://www.lentera.in/,yes,high,both,2015,2015,"web and mobile app development, custom software, plus own CRM products","""We have been working with Software Development, since 2015""; ""Custom Development"", ""Our Products""",software_dev,,
Live Deftsoft Informatics Private Limited,Mohali,deftsoft.com,https://deftsoft.com/,yes,high,service,,,"web and mobile app development agency, also digital marketing services","""dedicated software development and digital marketing agency""; ""responsive, secure websites and web apps""",software_dev,,
Manhattan Associates (India) Development Centre Pvt Ltd,Bengaluru,manh.com,https://www.manh.com/,yes,high,product,,,"builds supply chain, warehouse management and commerce software platform","""Manhattan Active is the unified foundation for global supply chains""; ""most extensible WMS in the industry""",ambiguous,,
ManiWindTek,Madurai,maniwind.com,https://maniwind.com,yes,medium,service,,,builds SCADA systems and condition monitoring software for renewable plants,"SCADA Development Software Development; we design, deploy, and support SCADA systems",ambiguous,,
Medsynaptic Pvt Ltd,Pune,medsynaptic.com,https://www.medsynaptic.com/,yes,high,product,2003,,"builds and sells RIS-PACS, VNA and teleradiology medical imaging software","""Medsynapse RIS-PACS has many inbuilt AI Workflows""; ""15,000+ Licenses Installed"", named products",software_dev,,
Mettlesemi Systems And Technologies Private Limited,Bengaluru,mettlesemi.com,https://www.mettlesemi.com,yes,medium,both,2021,2021,"FPGA/ASIC design services, embedded firmware and own embedded security products","""Embedded Software/Firmware expertise""; ""RTL Design and Design Verification""; ""Embedded Products""",software_dev,,
Minutus Computing Private Limited,Pune,minutuscomputing.com,https://minutuscomputing.com,yes,medium,service,,,"customizes and extends 3DEXPERIENCE PLM platform, builds integrations, DevSecOps","""building, extending, customizing and enriching 3DEXPERIENCE platform and applications""; iPaaS, custom part numbering",ambiguous,,
Mouri Tech Limited,Hyderabad,mouritech.com,https://www.mouritech.com,yes,high,both,2005,,"enterprise application services, product engineering, plus own AI and compliance platforms","""Application Services, DevOps, Product Engineering""; digital assets ""MouRio – AI Platform, mSecComply""",software_dev,,
Muvi Entertainment Private Limited,Bhubaneswar,muvi.com,https://www.muvi.com/,yes,high,product,2010,,"own OTT/video streaming SaaS platform, apps, DRM and monetization",No-Code platform to build websites/apps like Netflix; Muvi streaming platform solutions,ambiguous,,
Navigators Software Pvt Ltd,Kolkata,navsoft.in,https://www.thenavsoft.com/,yes,high,both,,,"custom application and product engineering, ERP/ecommerce builds, own retail products","""Application Development, Product Engineering, Outsourcing & Dedicated Teams""; ""Retail Products... NavAI""",software_dev,,
Oasys Tech Solutions Private Limited,Bhubaneswar,oasystspl.com,https://oasystspl.com,yes,high,service,2012,,"mobile/web app, website and custom CRM development for government and corporates",App Development... Website Development... Customized CRM: bespoke CRM solutions,software_dev,,
Object Technology Solutions India Private Limited,Hyderabad,otsi.co.in,https://otsi-global.com/,yes,high,service,1999,,"custom application development, integration, QA engineering and test automation","""Application Integration, Platform Modernization, QA & Testing COE""; ""OTSI Develops UPAg Statistics for Ministry""",ambiguous,,
OneGlobe Systems LLP,Chennai,oneglobesystems.com,https://www.oneglobesystems.com/,yes,medium,service,,,"Oracle applications, cloud apps, custom software development and web design","""a wide range of IT services, including network administration, software development, and web design""",software_dev,,
Orange Technolab Pvt Ltd,Ahmedabad,orangewebtech.com,https://orangetechnolab.net/,yes,high,service,,,"web, mobile, game and ecommerce development plus bespoke solution development","""An award-winning Software Development Company... Web, Mobile & Cloud development""; ""bespoke Solution Development""",software_dev,,
Ozonetel Communications Private Limited,Hyderabad,ozonetel.com,https://ozonetel.com/,yes,high,product,2007,,builds unified contact-centre CX platform with voice AI agents,"""Unified Customer Experience Platform""; ""Build and deploy your own AI agents"", 3,500+ brands",software_dev,,
Precise Testing Solution Private Limited,Noida,precisetestingsolution.com,https://precisetestingsolution.com/,yes,high,service,,,"software QA: manual and automation testing, security and compliance testing","""A Pure Software Testing Company""; ""Functional Testing, Automation Testing, Performance Testing""",software_dev,,
Privafy Technologies India Private Limited,Bengaluru,privafy.com,https://www.privafy.com,yes,high,product,,,"builds cloud-native security-as-a-service products for carriers, IoT, enterprises","""Privafy CarrierEdge, MicroEdge, CloudEdge""; ""integrated cloud-native security-as-a-service""",ambiguous,,
QA Masters Private Limited,Hyderabad,surensinffotek.com,https://surensinffotek.com/,yes,high,service,2018,,"software QA engineering, test automation, RPA bots and AI automation builds","""focused company for QA and RPA areas""; ""Software Quality Assurance and Engineering"", bots, NLP",software_dev,,
Ranosys Technologies Private Limited,Bikaner,ranosys.com,https://www.ranosys.com/global/,yes,high,service,,,"ecommerce and product engineering builds on Salesforce, Adobe, Shopify platforms","helping businesses drive eCommerce, digital transformation and product engineering; web and mobile apps",ambiguous,,
SAG Infotech Pvt Ltd,Jaipur,saginfotech.com,https://saginfotech.com/,yes,high,product,1999,,"own tax, GST, payroll and ROC filing software sold to CAs","CA tax-friendly software development firm; Genius, Gen GST, Gen Payroll, Gen Complaw",software_dev,,
Salt Web Technologies Private Limited,Pune,salttechno.com,https://www.salttechno.com,yes,high,service,2012,,outsourced custom software and product engineering pods for client platforms,Custom Software Development Services; Product Engineering Services; managed teams deliver end-to-end,software_dev,,
Serko India Private Limited,Bengaluru,serko.com,https://www.serko.com/,yes,high,product,2007,,builds corporate travel booking and expense platforms Zeno and GetThere,Serko is a technology company; Zeno corporate travel and expense management platform,ambiguous,,
ShubhiTech (OPC) Private Limited,Gurugram,shubhitech.com,https://www.shubhitech.com,yes,high,service,2019,,"custom software, Android/iOS apps, ERP and web platform development","expertise spans custom software development, mobile apps (Android & iOS), ERP systems",software_dev,,
Sopra Banking Software Solutions India Private Limited,Gautam Buddha Nagar,sbs-software.com,https://sbs-software.com/,yes,high,product,,,"own core banking, lending and payments software products for banks","Software for banks & lenders; SBS Digital Core, SBS Lending Suite, SBS Payments",ambiguous,,
Sparx IT Solutions Pvt Ltd,Noida,sparxitsolutions.com,https://www.sparxitsolutions.com/,yes,high,service,,,"eCommerce, mobile app and platform development plus legacy modernization for clients","Mobile App Development, Product Engineering, eCommerce Development; built AI-powered induction platform",software_dev,,
Streamvector Technology Private Limited,Bengaluru,sigmoid.com,https://www.sigmoid.com/,yes,high,service,,,data engineering and GenAI/agentic AI solution build-out for large enterprises,200+ AI agents built and deployed; AI-Led Data Engineering; implement and scale GenAI end-to-end,ambiguous,,
SunTec Business Solutions Pvt Ltd,Thiruvananthapuram,suntecgroup.com,https://www.suntecgroup.com/,yes,high,product,,,"own pricing, billing and revenue management platform for banks",our platform SunTec Xelerate empowers banks; Launches Enhanced Deal Management Product,ambiguous,,
Sutherland Global Services Pvt Ltd,Chennai,sutherlandglobal.com,https://www.sutherlandglobal.com/,yes,medium,both,1987,,BPO and digital/AI engineering services plus own platforms for enterprises,Agentic Software Engineering; Digital Engineering: Develop agile digital pro[ducts]; advanced products and platforms,ambiguous,,
TeamF1 Networks Private Limited,Hyderabad,teamf1networks.com,https://teamf1networks.com/,yes,high,both,,,embedded networking/security software products and customization for device vendors,powerhouse in providing customised embedded software solutions; turnkey solution for building software,ambiguous,,
TestingXperts Private Limited,Chandigarh(CH),testingxperts.com,https://www.testingxperts.com/,yes,high,both,,,QA and quality engineering services plus own QXcel testing platform,pure-play Quality Engineering companies; QXcel GenAI-Powered QE Platform; Building Future-Ready Digital Products,software_dev,,
TestVagrant Technologies Private Limited,Bengaluru,testvagrant.com,https://testvagrant.com,yes,high,service,,,"software test engineering and test automation for web, mobile, microservices","global software test engineering company; Rapid test automation of Web, REST APIs and Mobile",software_dev,,
TLC Digitech Private Limited,New Delhi,tlcgroup.com,https://www.tlcgroup.com/,yes,medium,both,,,hotel membership programs plus own membership/voucher tech platforms,"Our Tech Products: Membership Management, Voucher Management; Development, integration of tech platforms",ambiguous,,
Transact Campus India Private Limited,Chennai,transactcampus.com,https://illumiatech.com/,yes,high,product,,,"campus payments, ID credential, POS and dining management software platforms",cloud-based foundation for campus dining; unified platform that simplifies POS and retail,ambiguous,,
vCreaTek Consulting Services Private Limited,Pune,vcreatek.com,https://www.vcreatek.com/,yes,high,both,2014,,data/AI and product engineering services; own SCY supply chain platform,Product Engineering; We build intelligent platforms; The SCY Platform is a configurable engine,ambiguous,,
Vinsinfo Private Limited,Chennai,vinsinfo.com,https://vinsinfo.com/,yes,high,service,1998,,"eCommerce store development, cloud application engineering, AR/VR development","Ecommerce Development Services; VR / AR Development Services; Design, build, engineer applications",software_dev,,
Vyrazu Labs Private Limited,Kolkata,vyrazu.com,https://www.vyrazu.com/,yes,high,service,,,"custom software engineering, AI/ML, cloud and IoT development for clients","Software Engineering: We build robust, scalable, high-performing software tailored to your business",software_dev,,
Woxa Technologies Private Limited,Gurugram,woxatech.com,https://woxatech.com/,yes,high,service,2009,,"website and software development, ERP/OMR software, plus digital marketing","Software Development: Software For Government, ERP Software, College ERP; Application Development",software_dev,,
zCon Solutions Pvt Ltd,Pune,zconsolutions.com,https://www.zconsolutions.com/,yes,high,service,2006,,"AI product engineering, SaaS builds and legacy modernization for enterprises","We build intelligent SaaS platforms, modernize legacy estates, AI Product Engineering & SaaS",software_dev,,
ZingWorks LLP,Pune,zingworks.in,https://www.zingworks.co/,yes,high,service,2021,,"custom web, mobile and cloud application development for clients","AI powered software development company; Mobile & Web Development, from MVPs to enterprise applications",software_dev,,
AceVector limited,Gurugram,snapdeal.com,https://www.snapdeal.com/,no,high,unclear,2010,2010,"online value ecommerce marketplace selling fashion, home and electronics",Snapdeal is India's leading pure-play value Ecommerce platform,ambiguous,,
Akzo Nobel Global Business Services LLP,Pune,akzonobel.com,https://www.akzonobel.com/en,no,high,unclear,,1792,"manufactures paints and coatings; Dulux, International, Sikkens brands","Since 1792, we've been supplying the innovative paints and coatings",ambiguous,,
Alliantgroup India Talent Private Limited,Hyderabad,alliantgroup.com,https://alliantglobal.com/,no,medium,unclear,,,"tax credits, management consulting and finance/IT managed services",Identifies and maximizes tax credits and incentives; Management Consulting; Managed Services,ambiguous,,
Altius Strategic Consulting Private Limited,Patiala,altius.us,https://altius.us/,no,high,unclear,2019,2019,management advisory to private equity funds and portfolio companies,premier global advisory firm to Private Equity funds; due diligence to value creation,ambiguous,,
Apollo India Services LLP,Mumbai,apollo.com,https://www.apollo.com/,no,high,unclear,,,global alternative asset manager and retirement solutions provider,Apollo... future-focused asset manager and leader in wealth management and retirement solutions,ambiguous,,
Bruhat Insights Global Private Limited,Chennai,myavtar.com,http://www.myavtar.com,no,medium,unclear,2018,,"diversity job portal, skilling programs and career assessments","myAvtar is India's first Diversity Portal; Jobs, Companies, Skilling Programs, Counselling",software_dev,,
Cognet HR Solutions Pvt Ltd,Chennai,cognethro.com,https://www.cognethro.com/,no,high,unclear,2007,,"back-office BPO for HR outsourcers: payroll, benefits, accounting",CogNet is a Business Process Management (BPM) solution for Human Resource Outsourcing companies,ambiguous,,
Cotelligent (India) Private Limited,Hyderabad,cotelligent.com,https://www.cotelligent.com/,no,medium,unclear,,,"identity security consulting, IAM vendor implementation and managed SOC",From Advisory Consulting to Managed Services; system integration to legacy system migration,ambiguous,,
Credence Redefined Services Private Limited,Bhubaneswar,justverified.in,https://justverified.in,no,high,unclear,2016,,employee background verification and field investigation services,specialized in conducting Employee Background Verification and Investigations across India,ambiguous,,
Diadem Technologies Pvt Ltd,Kolkata,diadem.in,https://diadem.in/,no,high,unclear,2000,,"managed cloud hosting, dedicated servers, VPS and datacentre infrastructure",ISO 27001 certified cloud provider delivering dedicated and private cloud infrastructure,ambiguous,,
DTCC Enterprise Services India Pvt Ltd,Chennai,dtcc.com,https://www.dtcc.com/,no,high,unclear,,,"post-trade clearing, settlement and trade reporting infrastructure for financial markets",Financial Market Infrastructure; Post-Trade Services Provider; clearing and settlement,ambiguous,,
EDCI,Kolkata,edci.co.in,https://www.edci.co.in,no,high,unclear,2018,,"corporate fraud and cybercrime investigation, due diligence, background verification","specializes in Corporate Due Diligence, Debt Recovery, Cyber Crime Investigation, Fraud Investigation",ambiguous,,
GRM Technologies Private Limited,Chennai,grmtechnologies.com,https://grmtechnologies.com/,no,high,unclear,2013,,"cybersecurity audit, advisory, managed security, forensics and training services","a Cyber & Information Security Audit, Advisory, Consulting Company",ambiguous,,
IDP Education India Services LLP,Chennai,idp.com,https://www.idp.com/india/,no,high,unclear,,,"overseas education counselling, university applications and student visa services","Study Abroad, Overseas Education Consultants; Free Counselling; visa preparation",ambiguous,,
