name,city,website,domain
UniconLab,,https://www.uniconlab.com/,uniconlab.com
Softozen,,https://softozen.com/,softozen.com
Web Integrator Ltd,,https://webintegrator.com.bd/,webintegrator.com.bd
Incrosoft,,https://incrosoft.com/,incrosoft.com
S Technologies,,https://www.stechbd.net/,stechbd.net
NexGrowix,,https://nexgrowix.com/,nexgrowix.com
Devnasa Technologies Ltd.,,https://devnasa.com/,devnasa.com
PrimX Technologies,,https://primxtech.com/,primxtech.com
W3 Soft Net,,https://w3softnet.com/,w3softnet.com
Quicksoft Ltd,,https://quicksoftltd.com/,quicksoftltd.com
R-creation,,https://rcreation-bd.com/,rcreation-bd.com
SLYTHZ LABS,,https://slythz.com/,slythz.com
Infolook Studio,,https://infolook.net/,infolook.net
SuperSoft Ltd,,https://supersoftltd.com/,supersoftltd.com
Winky Tech Limited,,https://www.winkytech.com/,winkytech.com
Santi IT Farm,,https://www.santiitfarm.com/,santiitfarm.com
Mysoftheaven (BD) Ltd,,http://mysoftheaven.com/,mysoftheaven.com
Rafusoft,,https://rafusoft.com/,rafusoft.com
CodeFlee,,https://www.codeflee.com/,codeflee.com
Nirob InfoTech LTD,,https://nirobinfotech.com/,nirobinfotech.com
KOPARION STUDIO,,https://koparionstudio.com/,koparionstudio.com
Abiflow Labs,,https://abiflowlabs.com/,abiflowlabs.com
Workspace InfoTech Australia PTY Limited,,http://www.workspaceit.com.au/,workspaceit.com.au
Oracle Byte,,https://oraclebyte.com/,oraclebyte.com
Update Tech Ltd.,,https://updatetechltd.com/,updatetechltd.com
eManger IT LTD,,https://emanagerit.com/,emanagerit.com
Ontenet Digital Ltd.,,https://ontenet.digital/,ontenet.digital
SOFT GHOR,,https://softghor.com/,softghor.com
Brevian,,https://www.brevian.com/,brevian.com
iSoft,,https://isoftint.com/,isoftint.com
SoftAura,,https://softaura.dev/,softaura.dev
Doinik ERP & Devices,,https://doinikerp.com/,doinikerp.com
Roopokar,,https://www.roopokar.com/,roopokar.com
Techdyno BD,,https://techdynobdltd.com/,techdynobdltd.com
Inprozone Software Ltd,,https://inprozone.com/,inprozone.com
IT WAY BD,,https://itwaybd.com/,itwaybd.com
StaticMania,,https://staticmania.com/,staticmania.com
FintechHub Limited,,https://fintechhubltd.com/,fintechhubltd.com
Zsoft IT Solution Pvt.ltd,,https://zsoft.com.bd/,zsoft.com.bd
Trust IT,,https://trustitbdltd.com/,trustitbdltd.com
Exoveon Limited,,https://www.exoveon.com/,exoveon.com
Rynexus Infotech Ltd.,,https://rynexus.com/,rynexus.com
Ultimate IT Solution Ltd,,https://www.ultimateit-bd.com/,ultimateit-bd.com
ITSOFT-BD,,https://itsoft-bd.com/,itsoft-bd.com
SM IT Solution,,https://smitsolution.com.bd/,smitsolution.com.bd
baseTOP,,https://basetop.ca/,basetop.ca
Pixll Dev,,https://pixll.dev/,pixll.dev
Softvence Agency,,https://softvence.agency/,softvence.agency
Igenhr,,https://igenhr.com/,igenhr.com
DTech Creative,,https://dtechcreative.com/,dtechcreative.com
Nano IT World,,http://www.nanoitworld.com/,nanoitworld.com
Optimal It limited,,http://optimalbd.com/,optimalbd.com
Rexo IT,,https://www.rexoit.com/,rexoit.com
WellXperts,,https://wellxperts.com/,wellxperts.com
Softweb System Solutions,,https://softwebsys.com/,softwebsys.com
Kraftwerk Technologies Limited,,https://kraftwerktech.com/,kraftwerktech.com
Suitable IT,,https://www.suitableit.com/,suitableit.com
mPair Technologies Ltd.,,https://mpairtech.com/,mpairtech.com
Growbrandly,,https://www.growbrandly.com/,growbrandly.com
Codeksoft Solutions,,https://codeksoftsolutions.com/,codeksoftsolutions.com
Chittagong Software,,https://chittagongsoftware.com/,chittagongsoftware.com
TotalTech Global Limited,,https://totaltechglobal.com/,totaltechglobal.com
Essential Intelligence Services BD,,https://eiservicesbd.com/,eiservicesbd.com
STechNest,,https://stechnest.com/,stechnest.com
Code Ecstasy,,https://codecstasy.com/,codecstasy.com
Bug Finder,,https://bugfinder.net/,bugfinder.net
Builder Hall Pvt. LTD,,https://builderhall.com/,builderhall.com
Mohnas,,https://mohnas.com/,mohnas.com
Xceed Bangladesh Ltd.,,https://www.xceedbd.com/,xceedbd.com
Arham Techpro,,https://arhamtechpro.com/,arhamtechpro.com
DigiByte Solutions,,https://digibytebd.com/,digibytebd.com
Dtmotion,,https://dtmotion.com/,dtmotion.com
Wooprex,,https://www.wooprex.com/,wooprex.com
DPRS LAB,,https://dprslab.com/,dprslab.com
MatteIT,,https://matteit.com/,matteit.com
Cloud Gen,,https://cloudgen.bd/,cloudgen.bd
