rank,name,city,city_tier,website,domain,RELEVANT? (Yes/No/Maybe),does proper software dev?,product or service?,NOTES
30,Achala IT Solutions Private Limited,Hyderabad,1,http://www.achalasolutions.com,achalasolutions.com,,,,
31,Acism Software Private Limited,Pune,1,https://acism.com,acism.com,,,,
32,Aclire Information Services Private Limited,New Delhi,1,http://www.aclire.com,aclire.com,,,,
33,Acmedian Technologies Private Limited,Mohali,1,https://acmedian.com/home,acmedian.com,,,,
34,Acquisy Solutions Private Limited,Ahmedabad,1,https://www.acquisysolutions.com/,acquisysolutions.com,,,,
35,ACS Solutions (Guru Gowri Krupa Technologies Pvt Ltd),Hyderabad,1,https://www.innovasolutions.com/,innovasolutions.com,,,,
36,Actiohx Solutions Private Limited,Pune,1,http://www.entercoms.com,entercoms.com,,,,
37,Actualize Consulting Engineers (India) Private Limited,Bengaluru,1,https://actualize.co.in/,actualize.co.in,,,,
38,Acuiti Labs (India) Pvt Ltd,Pune,1,http://www.acuitilabs.com,acuitilabs.com,,,,
39,ADA Digital Analytics Private Limited,Bengaluru,1,https://www.adaglobal.com/offices/india,adaglobal.com,,,,
40,Adaan Digital Solutions Private Limited,New Delhi,1,https://www.adaan.com/,adaan.com,,,,
41,Adagrad Private Limited,Pune,1,https://adagrad.ai,adagrad.ai,,,,
42,Adamas Tech Consulting Private Limited,Kolkata,1,https://adamastech.in/,adamastech.in,,,,
43,Adamma Info Services Private Limited,Bengaluru,1,http://www.adamma.in,adamma.in,,,,
44,Adaps IT Private Limited,Hyderabad,1,https://www.adaps.com,adaps.com,,,,
45,Adecco India Private Limited,Bengaluru,1,https://www.adecco.com/en-in,adecco.com,,,,
46,AdGlobal360 India Private Limited,Gurugram,1,https://www.adglobal360.com,adglobal360.com,,,,
47,Adi Raheja and Co,Pune,1,https://yourarcteam.com,yourarcteam.com,,,,
48,Adidas India Marketing Private Limited,Chennai,1,https://www.adidas.com,adidas.com,,,,
49,Adient India Private Limited,Pune,1,http://www.adient.com,adient.com,,,,
50,ADP Pvt Ltd,Hyderabad,1,http://www.adp.com,adp.com,,,,
51,Adrenalin eSystems Ltd,Chennai,1,http://www.myadrenalin.com,myadrenalin.com,,,,
52,Adrosonic IT Consultancy Services Private Limited,Mumbai,1,http://www.adrosonic.com,adrosonic.com,,,,
53,Advaya Networks Private Limited,Gurugram,1,https://www.advayanet.ai,advayanet.ai,,,,
54,Advayan Technologies Private Limited,Bengaluru,1,https://www.advayan.com/,advayan.com,,,,
55,Advent Global Solutions Ltd,Hyderabad,1,http://www.adventglobal.com,adventglobal.com,,,,
56,Aegis Customer Support Services Private Limited,Mumbai,1,http://www.aegiscomgroup.com,aegiscomgroup.com,,,,
57,Aeonix Research and Innovations LLP,Kolkata,1,https://aeonixinnovations.com/,aeonixinnovations.com,,,,
58,Agaamin Technologies Private Limited,Gurugram,1,https://agaamin.com,agaamin.com,,,,
59,Agaram Technologies Private Limited,Chennai,1,https://www.agaramtech.com,agaramtech.com,,,,
60,AgBe Technologies LLP,Gurugram,1,https://www.agbeindia.com,agbeindia.com,,,,
61,Agility E Services Private Limited,Hyderabad,1,http://www.agility.com,agility.com,,,,
62,AgilizTech Software Services Private Limited,Bengaluru,1,http://www.agiliztech.com,agiliztech.com,,,,
63,Agno Talents Private Limited,Chennai,1,https://agnotalents.com/,agnotalents.com,,,,
64,Agrex Technologies Private Limited,Delhi,1,https://www.agrexai.com,agrexai.com,,,,
65,AGS Health Private Limited,Chennai,1,http://www.agshealth.com,agshealth.com,,,,
66,Ahana Systems and Solutions Pvt Ltd,Bengaluru,1,http://www.ahana.co.in,ahana.co.in,,,,
67,Ahex Technologies Private Limited,Hyderabad,1,https://ahex.co/,ahex.co,,,,
68,AIM Education Private Limited,Kolkata,1,http://www.praxis.ac.in,praxis.ac.in,,,,
69,Aimb System LLP,Ahmedabad,1,https://www.aimbsystem.com,aimbsystem.com,,,,
70,Aiotel Private Limited,Bengaluru,1,https://aiotel.com/en,aiotel.com,,,,
71,AIRBNB Global Capability Centre Private Limited,Gurugram,1,https://www.airbnb.co.in/,airbnb.co.in,,,,
72,AiRo Digital Labs India Private Limited,Gurugram,1,http://www.airodigitallabs.com/,airodigitallabs.com,,,,
73,AITOBI Technologies Private Limited,Hyderabad,1,https://aitobi.co/,aitobi.co,,,,
74,AIVOT AI Private Limited,Navi Mumbai,1,https://www.aivot.in,aivot.in,,,,
75,AJA Consulting Services LLP,Hyderabad,1,https://www.ajacs.in/,ajacs.in,,,,
76,Akmin Technologies Pvt Ltd,Chennai,1,http://www.akmin.com,akmin.com,,,,
77,AKS Information Technology Services Pvt Ltd,Noida,1,http://www.aksitservices.co.in,aksitservices.co.in,,,,
78,Akzo Nobel Global Business Services LLP,Pune,1,http://www.akzonobel.com,akzonobel.com,,,,
79,Albatroz (India) Private Limited,Coimbatore,1,https://www.albatrozsolutions.com,albatrozsolutions.com,,,,
80,Alcon Laboratories (India) Private Limited,Bengaluru,1,http://www.alcon.com,alcon.com,,,,
81,Alexisoft Technologies Private Limited,Hyderabad,1,https://alexisoftech.com,alexisoftech.com,,,,
82,Alfa Laval India Private Limited,Pune,1,http://www.alfalaval.com,alfalaval.com,,,,
83,Alfahive Private Limited,Bengaluru,1,https://www.alfahive.com/,alfahive.com,,,,
84,Algonomy Software Private Limited,Bengaluru,1,http://www.manthan.com,manthan.com,,,,
85,Algorithms Software Pvt Ltd,Mumbai,1,http://www.algosoftware.com,algosoftware.com,,,,
86,Alight Services India Private Limited,Gurugram,1,https://www.alight.com,alight.com,,,,
87,Alkami Technology India Private Limited,Gurugram,1,https://www.alkami.com/,alkami.com,,,,
88,All India Shri Shivaji Memorial Society's College Of Engineering,Pune,1,http://aissmscoe.com,aissmscoe.com,,,,
89,AllCloud Enterprise Solutions Private Limited,Hyderabad,1,https://allcloud.in/,allcloud.in,,,,
90,Alldigi Tech Limited,Chennai,1,http://www.alldigitech.com,alldigitech.com,,,,
91,Allegion India Private Limited,Bengaluru,1,https://www.allegion.com/,allegion.com,,,,
92,Allegis Global Solutions (India) Private Limited,Bengaluru,1,https://www.allegisglobalsolutions.com/,allegisglobalsolutions.com,,,,
93,Allegis Services (India) Private Limited (Actalent),Bengaluru,1,http://www.easi.com,easi.com,,,,
94,Alliantgroup India Talent Private Limited,Hyderabad,1,https://www.alliantgroup.com/,alliantgroup.com,,,,
95,Allied Digital Services Limited,Navi Mumbai,1,https://www.allieddigital.net,allieddigital.net,,,,
96,Allstate India Private Limited,Bengaluru,1,http://www.allstate.com,allstate.com,,,,
97,Almamate Info Tech Pvt Ltd,Noida,1,http://www.almamate.in,almamate.in,,,,
98,Alorica (India) Private Limited,Bengaluru,1,http://www.alorica.com/,alorica.com,,,,
99,Alpha Plus Technologies Pvt Ltd,Mumbai,1,http://www.alphaplustech.com,alphaplustech.com,,,,
100,Alphaleo Technology Private Limited,Hyderabad,1,https://www.alphaleo.tech,alphaleo.tech,,,,
101,Alten India Private Limited,Pune,1,https://www.alten.com/,alten.com,,,,
102,AltezzaSys Systems Private Limited,Noida,1,http://altezzasys.com/,altezzasys.com,,,,
103,Alumnus Software Limited,Kolkata,1,https://www.alumnux.com/,alumnux.com,,,,
104,Amadeus Software Labs India Pvt Ltd,Bengaluru,1,http://www.amadeus.com,amadeus.com,,,,
105,Amdocs Development Centre India LLP,Pune,1,http://www.amdocs.com,amdocs.com,,,,
106,Amentum International Business Services Private Limited,Bengaluru,1,https://www.amentum.com,amentum.com,,,,
107,American Express India Pvt Ltd,Gurugram,1,http://www.americanexpress.co.in,americanexpress.co.in,,,,
108,Ameriprise India LLP,Gurugram,1,http://www.ameriprise.com,ameriprise.com,,,,
109,Amgen Technology Private Limited,Hyderabad,1,https://wwwext.amgen.com/,wwwext.amgen.com,,,,
110,Amista Solutions India Private Limited,Hyderabad,1,https://www.amista.com/,amista.com,,,,
111,Amnex Infotechnologies Private Limited,Ahmedabad,1,http://www.amnex.com/,amnex.com,,,,
112,Amrut Software Pvt Ltd,Mumbai,1,http://www.amruts.com,amruts.com,,,,
113,AMS Inform Private Limited,Delhi,1,http://www.amsinform.com,amsinform.com,,,,
114,Amshuhu iTech Solution Private Limited,Chennai,1,http://www.amshuhu.com,amshuhu.com,,,,
115,Amypo Technologies Private Limited,Coimbatore,1,https://amypo.com,amypo.com,,,,
116,Analytix Business Solutions (India) Private Limited,Ahmedabad,1,http://www.analytix.com,analytix.com,,,,
117,Anand Rathi IT Private Limited,Mumbai,1,https://www.techanandrathi.com/,techanandrathi.com,,,,
118,Anant Atom Consultancy Private Limited,Navi Mumbai,1,https://atombuild.com,atombuild.com,,,,
119,Anant Softtech Pvt Ltd,Ahmedabad,1,http://www.anantsoftech.com,anantsoftech.com,,,,
120,Anibrain Digital Technologies Pvt Ltd,Pune,1,http://www.anibrain.com,anibrain.com,,,,
121,ANKO GCC (India) Private Limited,Bengaluru,1,https://ankogcc.com/,ankogcc.com,,,,
122,Annova Solutions Private Limited,Indore,1,https://annovasolutions.com,annovasolutions.com,,,,
123,ANSR Global Corporation Private Limited,Bengaluru,1,http://www.ansr.com,ansr.com,,,,
124,Antier Solutions Private Limited,Mohali,1,http://www.antiersolutions.com,antiersolutions.com,,,,
125,ANZ Operations and Technology Pvt Ltd,Bengaluru,1,http://www.anz-it.com,anz-it.com,,,,
126,Anzen Technologies Private Limited,Mumbai,1,http://www.anzentech.com,anzentech.com,,,,
127,Aon Consulting Private Limited,Gurugram,1,http://www.hewitt.com,hewitt.com,,,,
128,Aosta India Private Limited,Coimbatore,1,http://www.aostasoftware.com,aostasoftware.com,,,,
129,Apax Partners India Advisers Pvt Ltd,Mumbai,1,http://www.apax.com,apax.com,,,,
130,APCO Worldwide (India) Private Limited,New Delhi,1,https://apcoworldwide.com/,apcoworldwide.com,,,,
131,Apconic Software Private Limited,Pune,1,https://www.apconic.com,apconic.com,,,,
132,API International Capability Centre Private Limited,Bengaluru,1,https://www.apigroupinc.com/,apigroupinc.com,,,,
133,Apollo India Services LLP,Mumbai,1,http://www.apollo.com,apollo.com,,,,
134,App Deft,Mohali,1,https://www.appdeft.biz/,appdeft.biz,,,,
135,Appac Mediatech Private Limited,Coimbatore,1,https://www.appacmedia.com/,appacmedia.com,,,,
136,Appexigo Technologies Pvt Ltd,Noida,1,http://www.appexigotech.com,appexigotech.com,,,,
137,Appgallop Private Limited,Delhi,1,https://appgallop.com/,appgallop.com,,,,
138,Applied Software Pvt Ltd,Ahmedabad,1,http://www.appliedcommerce.com,appliedcommerce.com,,,,
139,Applix Solutions Private Limited,Hyderabad,1,https://www.applix.ai,applix.ai,,,,
140,AppSmartz,Mohali,1,http://www.AppSmartz.com,appsmartz.com,,,,
141,Apt Software Avenues Pvt Ltd,Kolkata,1,http://www.aptsoftware.com,aptsoftware.com,,,,
142,Aptagrim Consulting Private Limited,Hyderabad,1,http://www.aptagrim.com/,aptagrim.com,,,,
143,Aptech Limited,Mumbai,1,http://www.aptech-worldwide.com,aptech-worldwide.com,,,,
144,Aptia Group India Private Limited,Mumbai,1,https://aptia-group.com/en-gb,aptia-group.com,,,,
145,aQb Solutions Private Limited,Kolkata,1,https://www.aqbsolutions.com/,aqbsolutions.com,,,,
146,AQM Technologies Private Limited,Mumbai,1,http://www.aqmtechnologies.com,aqmtechnologies.com,,,,
147,Aquasoft Software India Private Limited,Bengaluru,1,https://www.aquasoft.ro,aquasoft.ro,,,,
148,Arc Consulting (I) Private Limited,Ahmedabad,1,https://www.arcattest.com/,arcattest.com,,,,
149,Arcesium India Private Limited,Hyderabad,1,http://www.arcesium.com,arcesium.com,,,,
150,Arche Global Private Limited,Coimbatore,1,https://arche.global/,arche.global,,,,
151,Archimedis Digital Private Limited,Chennai,1,https://archimedis.io/,archimedis.io,,,,
152,Ares Operations India Private Limited,Mumbai,1,https://www.aresmgmt.com/,aresmgmt.com,,,,
153,Arithra Business Consulting Private Limited,Bengaluru,1,https://arithra.com,arithra.com,,,,
154,Arodek Technology Consulting Private Limited,Kolkata,1,https://www.arodek.com,arodek.com,,,,
155,Arrk Solutions Pvt Ltd,Navi Mumbai,1,http://www.arrkgroup.com,arrkgroup.com,,,,
156,Arsenal Infosolutions Private Limited,New Delhi,1,https://arsenalinfosolutions.com,arsenalinfosolutions.com,,,,
157,Artha Data Solutions India Private Limited,Hyderabad,1,http://www.thinkartha.com,thinkartha.com,,,,
158,Arthrex Software Engineering Private Limited,Pune,1,https://www.arthrex.com/,arthrex.com,,,,
159,Artihcus Global Private Limited,Hyderabad,1,https://artihcus.com,artihcus.com,,,,
160,ASA Corporate Catalyst India Private Limited,Bengaluru,1,https://www.asa.in/,asa.in,,,,
161,Ascensus Global Services India LLP,Hyderabad,1,https://www.ascensus.com/,ascensus.com,,,,
162,Ascentt AITek Private Limited,Indore,1,https://ascentt.com/,ascentt.com,,,,
163,ASCP GPUonCloud Private Limited,Pune,1,https://expertcloudconsulting.com/,expertcloudconsulting.com,,,,
164,ASDintech Services Pvt Ltd,Noida,1,http://www.asdintech.com,asdintech.com,,,,
165,ASE Structure Design Pvt Ltd,Chennai,1,http://www.asecaddesign.com,asecaddesign.com,,,,
166,Asenext (India) Private Limited,Pune,1,http://www.asentechllc.com,asentechllc.com,,,,
167,ASGN Apex Systems Big Data India Private Limited,Chennai,1,http://www.avaap.com,avaap.com,,,,
168,Ashield Technologies Private Limited,Bengaluru,1,https://www.ashield.co,ashield.co,,,,
169,Ashley Furniture India Private Limited,Chennai,1,https://ashleyfurnitureindia.com/gcc,ashleyfurnitureindia.com,,,,
170,Asista Software Solutions Private Limited,Bengaluru,1,https://www.asista.com,asista.com,,,,
171,ASM Technologies Ltd,Bengaluru,1,http://www.asmltd.com,asmltd.com,,,,
172,Asmaka Ventures LLP,Kolkata,1,http://www.asmaka.biz,asmaka.biz,,,,
173,Aspirify Enterprises Private Limited,Delhi,1,http://www.aspirify.net/,aspirify.net,,,,
174,Assistanz Networks Pvt Ltd,Coimbatore,1,http://www.assistanz.com,assistanz.com,,,,
175,Assurant Warranty Solutions (India) Private limited,Chennai,1,https://www.assurant.in/,assurant.in,,,,
176,Assurtiv Technologies Private Limited,Hyderabad,1,https://assurtiv.com/,assurtiv.com,,,,
177,Astounding Healthtech Private Limited,Bengaluru,1,https://revealhealthtech.com/,revealhealthtech.com,,,,
178,AstraZeneca India Private Limited,Chennai,1,https://www.astrazeneca.com,astrazeneca.com,,,,
179,Astrea IT Services Pvt Ltd,Noida,1,http://www.astreait.com,astreait.com,,,,
180,AT&T Communication Services India Private Limited,Gurugram,1,http://www.ap.att.com,ap.att.com,,,,
181,ATC India Infrastructure Private Limited,Gurugram,1,https://www.americantower.com,americantower.com,,,,
182,Atgeir Solutions Private Limited,Pune,1,https://atgeirsolutions.com/,atgeirsolutions.com,,,,
183,Ather Energy Limited,Bengaluru,1,https://www.atherenergy.com,atherenergy.com,,,,
184,Atlas Copco (India) Private Limited,Pune,1,https://www.atlascopcogroup.com/en,atlascopcogroup.com,,,,
185,Atlas Primary India Private Limited,Ahmedabad,1,https://atlasprimary.io,atlasprimary.io,,,,
186,Atlassian India LLP,Bengaluru,1,https://www.atlassian.com/,atlassian.com,,,,
187,ATOA Scientific Technologies Pvt Ltd,Bengaluru,1,http://www.atoa.com,atoa.com,,,,
188,Atos Global IT Solutions and Services Private Limited,Navi Mumbai,1,https://atos-kliniken.com/de/heidelberg/,atos-kliniken.com,,,,
189,Atria Convergence Technologies Limited,Bengaluru,1,http://www.actcorp.in,actcorp.in,,,,
190,Attero Recycling Private Limited,Noida,1,https://attero.in/,attero.in,,,,
191,Atyeti IT Services Private Limited,Hyderabad,1,http://www.atyeti.com,atyeti.com,,,,
192,AugustCode Solutions Private Limited,Surat,1,http://www.augustinfotech.com,augustinfotech.com,,,,
193,AUI Systems Private Limited,Delhi,1,https://auisys.com,auisys.com,,,,
194,Aumovio India Private Limited,Bengaluru,1,https://www.aumovio.com,aumovio.com,,,,
195,Aupertz Services Private Limited,Gurugram,1,https://www.aupertz.com,aupertz.com,,,,
196,Aurionpro Solutions Limited,Mumbai,1,http://www.aurionpro.com,aurionpro.com,,,,
197,Aurum Equity Partners LLP,Gurugram,1,http://www.aurumequity.com,aurumequity.com,,,,
198,Austrax Technologies India Private Limited,Pune,1,https://www.siliconstack.com.au,siliconstack.com.au,,,,
199,AuthBridge Research Services Private Limited,Gurugram,1,http://www.authbridge.com,authbridge.com,,,,
200,Authenzia Solutions Private Limited,Bengaluru,1,https://www.authenzia.com/,authenzia.com,,,,
201,Automation Edge Technologies Private Limited,Pune,1,http://www.automationedge.com,automationedge.com,,,,
202,Automaton AI Infosystem Private Limited,Pune,1,https://automatonai.com/,automatonai.com,,,,
203,Avaali Solutions Private Limited,Bengaluru,1,https://www.avaali.com/,avaali.com,,,,
204,Availity India Private Limited,Bengaluru,1,https://availity.com/,availity.com,,,,
205,Avalara Technologies Private Limited,Pune,1,https://www.avalara.com,avalara.com,,,,
206,Avalon Labs Private Limited,Delhi,1,https://acadally.ai,acadally.ai,,,,
207,Avaloq India Private Limited,Pune,1,https://www.avaloq.com/,avaloq.com,,,,
208,Avance Consulting Services Private Limited,Hyderabad,1,https://www.avanceservices.com/,avanceservices.com,,,,
209,Avasant Advisory India Private Limited,Delhi,1,https://avasant.com/,avasant.com,,,,
210,Avineon India Private Limited,Hyderabad,1,https://www.avineon.com,avineon.com,,,,
211,Aviva Global Services (A div. Of A G S Customer Services (India) Pvt Ltd),Pune,1,http://www.aviva.com,aviva.com,,,,
212,Avvanz India Private Limited,Bengaluru,1,https://www.avvanz.com/,avvanz.com,,,,
213,AXA Global Business Services Private Limited,Bengaluru,1,http://www.axa.com,axa.com,,,,
214,Axess Technology,Chennai,1,https://www.axesstechnology.in,axesstechnology.in,,,,
215,Axiro Semiconductor Private Limited,Bengaluru,1,https://www.axiro.com/en,axiro.com,,,,
216,AXISCADES Technologies Limited,Bengaluru,1,http://www.axiscades.com,axiscades.com,,,,
217,Axium Global Private Limited,Mumbai,1,http://www.axiumglobal.com,axiumglobal.com,,,,
218,Axle HRM Private Limited,Bengaluru,1,https://www.axlehrm.com,axlehrm.com,,,,
219,AXS Solutions and Consulting Private Limited,Mumbai,1,http://axs-solutions.com,axs-solutions.com,,,,
220,Axtria India Pvt Ltd,Gurugram,1,http://www.axtria.com,axtria.com,,,,
221,Ayasya Digital Solutions LLP,Delhi,1,https://www.ayasya.com,ayasya.com,,,,
222,Azalio Technologies Private Limited,Mohali,1,https://www.azalio.io/,azalio.io,,,,
223,Aziwa InfoSystems Private Limited,Chennai,1,http://www.aziwa.com,aziwa.com,,,,
224,Azure Software Private Limited,Kolkata,1,http://www.azuresys.com,azuresys.com,,,,
225,BA Continuum India Pvt Ltd,Hyderabad,1,http://www.bankofamerica.com,bankofamerica.com,,,,
226,Bahwan CyberTek Pvt Ltd,Chennai,1,http://www.bahwancybertek.com,bahwancybertek.com,,,,
227,Bajaj Finserv Direct Limited,Pune,1,http://www.bajajtechnologyservices.com,bajajtechnologyservices.com,,,,
228,Bajaj Life Insurance Limited,Pune,1,http://www.bajajallianz.com,bajajallianz.com,,,,
229,Barclays Global Service Centre Private Limited,Pune,1,http://www.barclays.com,barclays.com,,,,
230,Barco Electronic Systems Private Limited,Noida,1,http://www.barco.com,barco.com,,,,
231,BarrierBreak Solutions Private Limited,Mumbai,1,https://www.barrierbreak.com/,barrierbreak.com,,,,
232,Barry Callebaut Global Business Services India LLP,Hyderabad,1,https://www.barry-callebaut.com/en-US,barry-callebaut.com,,,,
233,Barry Wehmiller India Private Limited,Chennai,1,https://www.barrywehmiller.com/,barrywehmiller.com,,,,
234,Basal Analytics Private Limited,Bengaluru,1,https://basalanalytics.com/,basalanalytics.com,,,,
235,Bassetti ITES Private Limited,Kolkata,1,https://www.bassetti-ites.in,bassetti-ites.in,,,,
236,Bavis Technologies Private Limited,Chennai,1,https://www.bavistech.com,bavistech.com,,,,
237,Baxter Innovations and Business Solutions Private Limited,Bengaluru,1,http://www.baxter.com,baxter.com,,,,
238,Bayer CropScience Limited,Mumbai,1,http://www.bayer.in,bayer.in,,,,
239,Bayern International,Bengaluru,1,http://www.invest-in-bavaria.com,invest-in-bavaria.com,,,,
240,BC Management Services Pvt Ltd,Noida,1,http://www.britishcouncil.org,britishcouncil.org,,,,
241,BCE Global Technology Centre Private Limited,Bengaluru,1,https://www.bceglobaltech.com/,bceglobaltech.com,,,,
242,BD Services Private Limited,Delhi,1,https://bdservices.in/,bdservices.in,,,,
243,BD Software Distribution Private Limited,Navi Mumbai,1,https://www.bdsoft.in/,bdsoft.in,,,,
244,BDO India Limited Liability Partnership,Mumbai,1,http://www.bdo.in,bdo.in,,,,
245,BearingPoint India Private Limited,Bengaluru,1,https://www.bearingpoint.com/en-in/,bearingpoint.com,,,,
246,BeeHyv Software Solutions Private Limited,Hyderabad,1,http://www.beehyv.com/,beehyv.com,,,,
247,Belcan India Private Limited,Hyderabad,1,https://belcan.com/,belcan.com,,,,
248,Belinnov Solutions Private Limited,Delhi,1,https://belinnov.com/,belinnov.com,,,,
249,Bell Techlogix India Private Limited,Hyderabad,1,https://belltechlogix.com,belltechlogix.com,,,,
250,Berkadia Services India Pvt Ltd,Hyderabad,1,http://www.berkadia.com,berkadia.com,,,,
251,Bert Labs Private Limited,Bengaluru,1,https://www.bertlabs.com/,bertlabs.com,,,,
252,Best of Breed Software Solutions India Pvt Ltd,Bengaluru,1,http://www.bbssl.com,bbssl.com,,,,
253,Bestfit Business Solutions Pvt Ltd,Mumbai,1,http://www.bestfitsolutions.co.in,bestfitsolutions.co.in,,,,
254,Betamonks Technology Factory Private Limited,Chennai,1,http://www.betamonks.com,betamonks.com,,,,
255,BeyondSquare Solutions Pvt Ltd,Bengaluru,1,http://www.beyondsquare.com,beyondsquare.com,,,,
256,Bhageerathi Bai Narayana Rao Maanay Charities,Bengaluru,1,https://www.bnmit.org/?utm_source=GMB&utm_medium=organic,bnmit.org,,,,
257,Bharuwa Solutions Private Limited,Delhi,1,https://www.bharuwasolutions.com,bharuwasolutions.com,,,,
258,Bhumi iTech Private Limited,Delhi,1,https://www.bhumiitech.com/,bhumiitech.com,,,,
259,BICS GLOBAL,Chennai,1,http://www.bicsglobal.com,bicsglobal.com,,,,
260,Bilight Solutions LLP,Chennai,1,https://bilightsolutions.com,bilightsolutions.com,,,,
261,Bill Gosling India Private Limited,Gurugram,1,http://www.mattsenkumar.com,mattsenkumar.com,,,,
262,Binary Waves Solutions Private Limited,Chennai,1,https://www.binarywavessolutions.com/,binarywavessolutions.com,,,,
263,Binmile Technologies Private Limited,Noida,1,https://binmile.com/,binmile.com,,,,
264,Birlasoft Limited,Noida,1,http://www.birlasoft.com/,birlasoft.com,,,,
265,Bits In Glass India Private Limited,Pune,1,https://bitsinglass.com/,bitsinglass.com,,,,
266,Biz-Metric India Private Limited,Pune,1,https://www.bizmetric.com,bizmetric.com,,,,
267,BizAcuity Solutions Private Limited,Hyderabad,1,https://www.bizacuity.com,bizacuity.com,,,,
268,BKV Learning Systems Private Limited,Pune,1,https://www.bkvls.com,bkvls.com,,,,
269,Black Box Limited,Mumbai,1,https://www.blackbox.com,blackbox.com,,,,
270,Blackhawk Network (India) Private Limited,Bengaluru,1,https://www.blackhawknetwork.com/,blackhawknetwork.com,,,,
271,BlackRock Services India Pvt Ltd,Gurugram,1,http://www.blackrock.co.in,blackrock.co.in,,,,
272,Blockbase Consultants Private Limited,Kolkata,1,http://blockbaseconsultants.com/,blockbaseconsultants.com,,,,
273,Bloom Value India Private Limited,Bengaluru,1,https://www.bloomvalue.com,bloomvalue.com,,,,
274,Blue Chip Computer Consultants Pvt Ltd,Bengaluru,1,http://www.bluechipsw.com,bluechipsw.com,,,,
275,Blue Santos Technologies Private Limited,Bengaluru,1,https://www.reachiso.com,reachiso.com,,,,
276,Blue Star Limited,Mumbai,1,https://www.bluestarindia.com/,bluestarindia.com,,,,
277,Blue Yonder India Private Limited,Hyderabad,1,http://www.manu.com,manu.com,,,,
278,Bluebash Consulting Private Limited,Mohali,1,https://www.bluebash.co/,bluebash.co,,,,
279,BlueBinaries Engineering And Solutions Private Limited,Chennai,1,https://www.bluebinaries.com/,bluebinaries.com,,,,
280,BlueBricks Technologies Private Limited,Pune,1,https://www.blue-bricks.com,blue-bricks.com,,,,
281,Bluecoin IoT Solutions Private Limited,Pune,1,https://www.bluecoiniot.com,bluecoiniot.com,,,,
282,BMW India Private Limited,Gurugram,1,https://www.bmw.in,bmw.in,,,,
283,BMW TechWorks India Private Limited,Pune,1,https://bmwtechworks.in/,bmwtechworks.in,,,,
284,BNP Paribas India Solutions Private Limited,Mumbai,1,http://www.bnpparibasindiasolutions.com,bnpparibasindiasolutions.com,,,,
285,BNY Mellon International Operations (India) Pvt Ltd,Pune,1,http://www.bnymellon.com,bnymellon.com,,,,
