name,linkedinUrl,website,tagline,description,foundedYear,employeeCount,employeeCountRange,followerCount,companyType,industries,specialities,hqCity,hqCountry
Tekdi Technologies,https://www.linkedin.com/company/tekdi-technologies/,https://www.tekditechnologies.com,Societal transformation by empowering individuals and organisations with technology,"Tekdi Technologies builds scalable digital systems for governments and non-profit organisations. For over two decades, we have partnered with institutions to engineer technology that catalyses societal transformation.  Our work is guided by a Product-First, Sustainable Open-Source approach, shaped by two decades of building, reusing, and contributing to open digital foundations such as Sunbird, DIGIT, Elevate, JGive, and more. This approach enables us to create technology that is secure, scalabl",2006,148,51-200,16710,Privately Held,Information Technology & Services,"Digital Transformation, Custom Learning Platforms, Product Development, Web Development, Mobile Apps, Angular, Node JS, Sunbird, AI , Digit, DPI, DPG, Digital Public Infrastructure, Digital Public Goods, Open Source Development, RAG, Conversational AI, Agentic AI, Generative AI, Machine Learning, EdTech, GovTech, Joomla",Pune,India
Nivida Software,https://www.linkedin.com/company/nividasoftware/,https://www.nividasoftware.com/,"Software Development, E-Commerce, SaaS, Mobile App Development, DevOps, AI, and Digital Transformation.","We build strong business relationships with clients across the globe and turn ideas into engaging digital experiences.  Displaying years of robust experience in Software Development, E-Commerce, SaaS, Mobile App Development, DevOps, AI & Digital Transformation, and managing large-scale platforms across the globe. We collaborate with companies to accelerate their growth and reach their goals.  We use futuristic tech stacks in industries like AgriTech, EnergyTech, ClimateTech, CloudTech, Enterpris",2007,125,51-200,10588,Privately Held,IT Services and IT Consulting,"Web Development, Software Development, Product Development, Mobile App Development, IoT, SaaS, Solution Consulting, Digital Marketing, Branding & Harmonization, Search Engine Optimization, Social Media Optimization, Chatbot, Cyber Security, Digital Transformation",Vadodara,India
OnePixel Soft Pvt. Ltd. | Smart IT Solutions for Growing Businesses,https://www.linkedin.com/company/one-pixel-soft/,https://onepixelsoft.com,"OnePixel Soft Pvt. Ltd., established in 2020, is a fast-growing and trusted IT solutions company based in Jaipur, India.","OnePixel Soft Pvt. Ltd., established in 2020, is a fast-growing and trusted IT solutions company based in Jaipur, India.  We help businesses grow with innovative and scalable technology solutions tailored to their needs, ensuring quality, performance, and long-term success.  Our Services:  Website Development (Static, Dynamic, E-commerce, CMS, Custom Web Solutions)  Software Development  Digital Marketing (SEO, Google Ads, Meta Ads, WhatsApp & Email Marketing)  Hostel Management Software  Educat",2020,30,11-50,2826,Privately Held,IT Services and IT Consulting,,Jaipur,India
TRUEiGTECH,https://www.linkedin.com/company/trueigtech/,https://www.trueigtech.com/,Launch Your Scalable iGaming Business in 90 Days. Zero GGR Cut | Proven Fast & Reliable Support,"Most iGaming Platforms Take a Cut of Your Revenue. Ours doesn't.  Who We Are? TRUEiGTECH is a full-stack iGaming platform provider founded in 2018. We build and deploy Sweepstakes Casinos, Prediction Markets, Sportsbooks, Casino Software, Lottery, and Slot Games; for operators who are serious about launching fast and keeping every dollar they earn. 8+ years. 150+ platforms. 100+ operators. 50+ countries.  Why Operators Choose Us? 1. You keep 100% of your GGR. No revenue share. No cuts. No except",2018,155,51-200,5390,Privately Held,Software Development,"iGaming Platform Development, Sweepstakes Casino Software, Sportsbook Software Development, Casino Software Development, Prediction Market Platform, White Label Casino Software, Turnkey iGaming Solutions, Crypto Casino Software, Online Casino Platform, Sports Betting Software, Slot Game Development, Casino Game Development, PAM Back Office Solution, iGaming Software Solutions, Lottery Software Development, Sweepstakes Software Provider, KYC & AML Integration, Payment Systems Integration, No GGR Revenue Share Model, Telegram Casino Software",Las Vegas,United States
JOVI India,https://www.linkedin.com/company/joviindia/,https://www.joviindia.com/,"Design rooted in tradition. Made for modern living ||
Women Clothing • Kids Clothing • Accessories • Wholesale","JOVI India is inspired by the beauty that surrounds us, from everyday poetry to the charm of the handcrafted. We offer a curated world of fine prints, bold patterns, and unconventional silhouettes. An online destination for thoughtfully designed womenswear, kidswear, and accessories, also available through selective wholesale collaborations. Rooted in slow fashion, every piece is made with care, celebrating comfort, culture, and craft.   ",2015,9,11-50,360,Privately Held,Retail Apparel and Fashion,,Jaipur,India
AsqVox,https://www.linkedin.com/company/asqvox/,https://asqvox.com,Web that talks.,"AsqVox is a tool that lets a website talk to the people who visit it.  Instead of scrolling and searching to find what they need, visitors simply ask a question out loud and get an answer straight back, taken from the information on that business's own site.  Think about how it usually goes. Someone lands on a website wanting one thing, the price, the opening hours, whether you deliver, and they have to hunt through menus and pages to find it. Many give up and leave. AsqVox removes that friction",2026,1,2-10,6,Privately Held,Artificial Intelligence,"AI Voice, AI Voice Widget, Voice Automation, Voice Agents, AI Agents",Mumbai,India
MIS Software,https://www.linkedin.com/company/missoftware/,https://www.missoftware.org,MIS Software - Complete NGO Solution,"MIS Software, a unit of NET Xperia, is a comprehensive NGO management solution designed to streamline the operations of non-profit organizations. With a deep understanding of the unique challenges faced by NGOs, we have developed a platform that simplifies daily administrative tasks, enabling organizations to focus on their mission and drive real social impact. Our software addresses every aspect of NGO management—from project oversight to donor communication—ensuring your organization operates ",2016,1,11-50,3723,Sole Proprietorship,IT System Custom Software Development,"MIS Software, Web Design, SEO, Digital Marketing, Annual Reports, eCommerce Website, NGO Website, NGO Profile Creation, Audit, NGO Registration, PPC, Dynamic Website, Logo Design, Coustum Software, Wordpress Website, App Development, Project File Creation, SMO, Social Media Marketing, Google Ads, Video Editor, Social Media Post Creation",Karala,IN
Techvins Software,https://www.linkedin.com/company/techvins-software/,https://techvins.com, A custom website development company that offers progressive approach to your online business with enormous scope.,"Techvins provide custom website development from scratch for your business, in the best possible time. Do you own the project idea?, we will make it reality.  We are purely, a custom site development company that offers progressive advanced approach to open your online business with enormous scope of internet. Simple joint effort, correspondence, mixes and totally secure advancement measures are a portion of our numerous qualities.",2020,9,2-10,626,Privately Held,Software Development,"website development, python development, custom website development, Web Development",Gurgaon,India
Sapours Technologies,https://www.linkedin.com/company/sapours-technologies/,http://www.sapours.com,Elevate | Innovate | Transform,"Headquartered in India with offices in the Canada and UAE, Sapours is a Global Services and Solution provider, servicing customers and also developing industry-specific solutions around the globe.   We help global brands across industries with their digital transformation initiatives to create successful customer and employee experiences that transform their business.   Our focus areas include niche areas like * CRM:  C/4 HANA (Sales, Service, Mktg ),  * Commerce: SAP (Hybris) Commerce,  * ERP :",2015,96,51-200,10286,Privately Held,IT Services and IT Consulting,"SAP Solutions & Services, Consulting, e-Commerce, Products, QA Services, Mobile Application Development Services, SAP S/4 HANA, Cyber Security",Pune,India
AZLOGICS PRIVATE LIMITED,https://www.linkedin.com/company/azlogics/,azlogics.com,From Concept to Code — End-to-End Product Development You Can Trust.,"Azlogics Private Limited is a leading software product development company with over a decade of industry experience. We specialize in building innovative, reliable, and scalable software products that empower businesses and individuals to work smarter.  At Azlogics, we’re driven by a passion for solving real-world problems through technology. We offer a comprehensive range of services including:  - Web & Custom Software Development - API-Based Verification & Digital KYC Solutions - E-commerce &",2021,35,11-50,1294,Privately Held,IT Services and IT Consulting,"Products, software product, api based verification solution, api based products",Nagpur,India
Theoddcoders Technologies - AI Development Company,https://www.linkedin.com/company/theoddcoders-technologies/,https://www.theoddcoders.com/,Truly ODD,"Theoddcoders Technologies is a leading AI development company offering cutting-edge solutions tailored for startups, enterprises, and digital-first businesses.  Based in Ahmedabad, India, we are a leading provider of AI development services to businesses across the globe. We specialize in AI consulting, PoC & MVP development, custom AI software, Generative AI, AI chatbots, computer vision, AI agents, EDGE AI, LLMs, NLP, and seamless AI integration. Our innovative solutions empower startups and e",2017,13,11-50,2756,Privately Held,IT Services and IT Consulting,"Artificial intelligence, AI Integration, Computer Vision, AI Chatbots, AI Agents, Natural Language Processing, Large Language Model Development, AI PoC and MVP Development, AI Consulting, EDGE AI, SEO, Digital Marketing, Google Ads, Social Media Marketing",Ahmeddabad,IN
Naxtre Technologies Pvt. Ltd.,https://www.linkedin.com/company/naxtre-technologies/,http://www.naxtre.com/,Solution with Technology,"Naxtre is one of the leading web & mobile application development companies in USA & India providing various end-to-end solutions to various businesses, startups, and digital agencies at affordable prices. Our top of the line services are provided by our highly skilled technical professionals who deliver secure, scalable, and innovative IT solutions to our clients. we are highly praised by our clients for our agile development process, SLA driven approach, and timely delivery of the project.   N",2015,34,11-50,4048,Privately Held,IT Services and IT Consulting,"Mobile App Development, iPhone App development, Android App development, 2D / 3D game development, Mobile Strategy, Minimum Viable Product for Startups, UI/UX  Design, Ruby on Rails, app store optimization, and search engine marketing, Php, .Net, Java, Magento, Shopify, Cypto currency, Digital Marketing, Cyber Security",Mohali,India
Tech Connect Services Pvt. Ltd.,https://www.linkedin.com/company/tech-connect-services-pvt--ltd-/,http://www.techconnect.co.in/,,"Tech Connect is a leading Global Business Collaboration solution provider company headquartered in Delhi (Noida) with operations in 11 cities across India and having overseas presence in Hong Kong and Singapore. The company offers all kinds of Professional Audio visual equipments having specialization in Business Collaboration & Audio-Visual solutions.  Tech Connect delivers tailor made integrated communication solutions for Board - Rooms / Conference Rooms, Training facilities, Customer Exper",2008,154,51-200,2795,Privately Held,IT Services and IT Consulting,"Board Room Integration Solution, Solution design for Customer Experience / Briefing Center, Customized Tele Presence Rooms, Telepresence Solutions for Corporates & SME's",Noida,India
MASARRATI,https://www.linkedin.com/company/masarrati/,http://masarrati.com/,"Masarrati, is an elite software, mobile/web app development company with expertise in cloud-native apps, blockchain apps","Masarrati, is an elite software, mobile/web app development company with expertise in cloud-native apps, blockchain apps, Android & iOS operating systems, and modern web technologies. We have experience in developing 100+ application development and end-to-end digital transformation of the healthcare system, education system, and semi-govt bodies to ensure a hassle-free experience for our customers and their end-users.  Get Trusted Artificial Intelligence Development Services Digital transformat",2019,16,11-50,17332,Privately Held,IT Services and IT Consulting,"mobile apps, ios apps, android apps, cloud service, devops service, aws/azure, cloud migration, cloud to cloud migration, resource outsourcing, fullstack development, digital transformation , IT Digital transformation, microservice development",Hyderabad,India
Tarka Labs,https://www.linkedin.com/company/tarka-labs/,https://tarkalabs.com/,"Tarka Labs is a collective of passionate hackers, designers and product managers. ","At Tarka Labs, we find unique and experimental solutions for business problems through the time-tested craft of software development.  We’re a collective of coders, creators and craftsmen working in tandem to deliver meaningful design and development solutions.   With our fellow Tarkans, we’re building the future of work with a remote-first and inspired culture where individuals realize their full potential, nurture their skills and grow holistically.  https://medium.com/tarkalabs",2014,43,11-50,3145,Privately Held,IT Services and IT Consulting,"Agile Consulting, Software Services, Android Development, iOS Development, Custom Web Apps, Cloud, DevOps, Web development, product development",Chennai,India
Parasme software & technology,https://www.linkedin.com/company/parasme-software-technology/,www.parasmesoft.com,Your Imagination Our Creation ,"Welcome to Parasme Software, where innovation meets excellence in the digital world. We are a premier software development company dedicated to transforming your ideas into robust and effective solutions. With a highly qualified team of developers, we specialize in creating Android and iOS applications, business applications, and software tailored to meet the unique needs of your business.  Our Services:  Mobile Application Development: We design and develop intuitive and user-friendly Android a",2015,47,11-50,938,Privately Held,IT Services and IT Consulting,,Jaipur,India
SANDMAN,https://www.linkedin.com/company/mpm-infosoft-private-limited/,http://www.mpminfosoft.com/products/sandman/,Towards Foundry 4.0,"SANDMAN is the first of its kind, state of the art Cloud-based data analytics software which enables the user foundry to gather, store, organise, validate, and analyse data using advanced data science and mathematical modelling. This provides effectual decision support for green sand process control, leading to reduction in repetitive rejections, better casting finish, and enhanced profits.  It is patented in the USA, Europe and China.  Sandman was conceived, created and developed by Mr. Deepak ",2012,47,11-50,9397,Privately Held,"Technology, Information and Internet","Foundry molding sand, Green sand additive dosing, Data analytics, Product development in data analytics, Software development, Predictive Analytics, Prescriptive Analytics, Machine Learning, IIoT, iron foundry, metal casting",Chennai,India
iStreet Technologies Pvt. Ltd.,https://www.linkedin.com/company/istreet-technologies/,https://istreettechnologies.com/,A full-cycle software development services that adapt seamlessly to your project requirements and business needs.,"A close-knit team of software engineers, designers and developers, our combined experience and skill set make us a well-equipped team to develop entirely new fully customized Software solutions, Mobile & Web Applications, Cyber Security Services, ERP's, Web Portals or advise on the ideal IT system for your business.",2019,9,51-200,7075,Privately Held,IT Services and IT Consulting,,Mumbai,India
"Chai Ho Jaye ""अत्यंत कड़क """,https://www.linkedin.com/company/chjind/,https://www.chjind.com/,"Chai, Food & Moments — proudly serving the heart of India, Bhopal.","Chai Ho Jaye is built around simple things that matter — chai, food, and everyday moments. Founded in 2017, Chai Ho Jaye began with the idea of creating spaces where people could pause, connect, and feel at home over a good cup of chai.  What started as a small journey has grown steadily through consistency, patience, and a strong local connect. Today, we proudly serve the heart of India, Bhopal, through four outlets, offering thoughtfully prepared chai and comfort food in a warm, familiar setti",2017,9,11-50,428,Self-Employed,Restaurants,,Bhopal,India
Code B Solutions Pvt Ltd,https://www.linkedin.com/company/code-b/,https://www.linkedin.com/redir/suspicious-page?url=https%3A%2F%2Fcode-b%2edev,Coding for business to grow,"We partner with SMEs to develop tailored AI & ML, Cloud, Backend, Mobile, and IoT software solutions that drive innovation and business performance.  Our clients:  Tata Institute of Social Sciences, Myglamm, Chingari, Drip Capital, Techurate, hBits, Selec Controls, Pixis, ePlannerPro, Meahana, xOverTime, etc     Technologies:  Node js, Nest js, Express js, R, Socket IO, React js, Next js, Angular, Vue, Svelte, HTML, CSS, Bootstrap, Tailwind, MongoDB, Postgres, Mysql, Elasticsearch, RabbitMQ, Kaf",2018,43,11-50,1886,Privately Held,IT Services and IT Consulting,"Custom Software Solutions, Backend Development, Frontend Development, Hybrid Mobile Apps Development, Website Development, DevOps Services, AI Solutions, Cloud software development\",Mumbai,India
FOSS INFOTECH PRIVATE LIMITED,https://www.linkedin.com/company/foss-infotech/,http://www.fossinfotech.com,,"FOSS INFOTECH PRIVATE LIMITED is an IT Services Company which is based in Coimbatore and established in the year 2013. The Company was formed by industry experts who are well experienced in Open Source Technologies and Enterprise Implementation. The Company is serving Customers across the globe with Open Source Software Solutions.   The Company is specialized in ERP, CRM, Document Management System and Software Integration services. Our key products include ODOO (formerly OpenERP) and Alfresco. ",2013,20,11-50,3618,Privately Held,IT Services and IT Consulting,"ODOO (Formerly OpenERP), Alfresco (Document Management System), CRM, IT Hardware (Servers built on Open Standards), Software Integrations, Web Design and Development",Coimbatore,India
JMS TechNova,https://www.linkedin.com/company/jmstechnova/,http://jmstechnova.com,"AI-powered solutions for MSME.

On a MISSION to enable 1000 MSMEs by 2030. ","JMS TechNova Pvt. Ltd. helps businesses scale through the right combination of People, Technology, and AI.  Founded with a deep understanding of business operations, HR, recruitment, and digital transformation, we partner with startups, SMEs, and growing enterprises to solve real business challenges through intelligent technology solutions.  Our expertise spans:  • AI-Powered Business Solutions • Recruitment & Talent Acquisition • HR Technology & Consulting • WhatsApp Automation & CRM Solutions ",2013,55,11-50,15592,Privately Held,Business Consulting and Services,"EDUCATION MANAGEMENT, MANAGEMENT CONSULTING, HR & RECRUITMENTS, TRAINING",Ahmedabad,India
Blazon Infotech,https://www.linkedin.com/company/blazon-infotech/,http://blazoninfotech.com/,Transform Your Business With The Right Technology Partner,"🌐 Unlock Your Business Potential with Blazon Infotech 🚀  At Blazon Infotech, we are committed to serving global clients with top-notch web and mobile app development services. Our mission is to achieve excellence by being the IT company of choice for all your present and future business needs, delivering solutions with unparalleled efficiency and precision.  🛠️ Powered by a Stellar Development Team  Behind our success lies a highly skilled and dedicated development team, armed with the expertise",2020,3,2-10,390,Partnership,IT Services and IT Consulting,"Web Development, Web Design, Website Re-Design, Android Application Development, Wordpress, Woocommerce, PHP, Angular JS, Responsive Web Design, Asp.Net (MVC), Asp.Net (C#), Laravel, React Native, React JS",surat,India
Weblieu Technologies - IT Solutions Company,https://www.linkedin.com/company/weblieu/,https://www.weblieu.com,Software Development | Managed Solutions | Outsourcing Services | IT Consulting | Branding Solutions,"Weblieu Technologies (An ISO 9001:2015 Certified Company) founded in 2011, is well known as an IT Solutions Provider. We are determined to maintain the highest standards in our solutions and services. Our Services are Web Design & Development, Mobile App Development, eCommerce Solutions, Digital Marketing, IT Staffing Solutions, CRM and ERP Solutions, Custom Web Development, Cloud-Based Solutions, Managed Solutions, Enterprise Mobility App Solutions, eLearning and New Media Services. We have a s",2011,29,51-200,3968,Privately Held,Information Technology & Services,"web designing, web development, digital marketing, mobile appdesign, app development, SEO, SMO, PPC, SEM",Noida,India
Yellow Sapphire Technologies (YS Tech),https://www.linkedin.com/company/ystechnologies/,https://ystech.io/,Developing Ideas,"We are an IT Development and Consulting company specializing in agile development, focused on developing high-quality solutions faster and more effectively.  Our aim is to create solutions for startups and enterprises to provide a smooth omnichannel experience to their users.  We together bring 12+ years of experience in designing end-to-end solutions for big players in the market like Fidelity, American Express, Paytm, etc. We love to develop ideas from a mere thought process to mind-boggling p",2019,10,11-50,602,Privately Held,IT Services and IT Consulting,"Web Development, App Development, QA Testing, Blockchain, E-commerce, Devops, AI/ML, UI/UX",New Delhi,India
Proeffico Solutions | AI-Powered Business Automation,https://www.linkedin.com/company/proeffico/,https://proeffico.ai,"Helping businesses automate, optimize, and scale with AI, custom software, and intelligent solutions.","The future of business isn't being built by larger teams. It's being built by smarter systems. At Proeffico, we believe AI, automation, and intelligent technologies will redefine how businesses operate, make decisions, and grow over the next decade. Our mission is to help organizations stay ahead of that transformation. We build and power solutions that solve real business challenges across operations, workforce management, security, customer engagement, and business intelligence.  Our ecosystem",2020,53,51-200,5098,Privately Held,IT Services and IT Consulting,"mobile application development, Business process automation, Infrastructure services, Cloud solutions, Managed Services, Design Services",Noida,India
Watsoo Express,https://www.linkedin.com/company/watsooexpress/,https://www.watsoo.com,"Our Mission: We build a safer, smarter and more connected world","At Watsoo Express, we’re driven by a simple belief: technology should make life easier. That’s why we focus on creating user-friendly solutions that give businesses the real-time insights they need to make smart decisions and run more efficiently. Our tools are all about helping you work smarter, not harder—whether it’s by optimizing resources, boosting security, or just making your day-to-day operations smoother.  We’re passionate about tackling real-world challenges with technology, making thi",2017,190,51-200,9459,Privately Held,"Technology, Information and Internet","Internet of things , Vehicle Tracking System , GPS Tracker, AIS 140 GPS, Logistics, iot devices, digital lock, saas, fuel monitoring system, ERP, HR and Payroll software",Gurgaon,India
ecomstation.ai,https://www.linkedin.com/company/ecomstation-ai/,https://www.ecomstation.ai,"AI Image & Video Generator ⚡
Create high-quality visuals in seconds.
Experience premium AI at 👉 ecomstation.ai","Ecomstation.ai is an AI-powered platform designed for modern eCommerce brands. We help sellers create high-quality product images, clean backgrounds, lifestyle visuals, and consistent brand-ready creatives - without photoshoots. Perfect for online stores, marketplaces, ads, and social media. Faster visuals. Better conversions. Smarter selling.",2026,3,2-10,27,Self-Employed,Embedded Software Products,,,
EMed HealthTech Pvt Ltd,https://www.linkedin.com/company/emed-healthtech-pvt-ltd/,http://emedhealthtech.com/,Solving Healthcare Problems through Technology,EMed HealthTech is a healthcare IT company offering complete healthcare IT solutions and services that boost digital transformation and increase business growth. We are the pioneer in providing state-of-the-art healthcare IT solutions and services. Our white-label and customized healthcare solutions enable the healthcare industry to take a leap into the digital world and stay ahead of the curve in this fiercely competitive market. Our complete spectrum of medical IT solutions utilizes cutting-ed,,30,51-200,2751,Public Company,Information Technology & Services,"healthcare software, telemedicine, online pharmacy, healthcare app, integrated health software, digital healthcare, telehealth, custom development, digital transformation",Ahmedabad,India
