distress,engage_score,ops_fit,company,campaign_email,campaign_email_type,domain,employees,founded,age_years,city,state,sector,business_model,stage,website_status,revenue_usd,net_profit_usd,funding_usd,key_people,key_people_emails,company_emails,company_phones,key_people_profiles,linkedin,website,tracxn_url
0.0,100,60.9,ZIGRAM,abhishek.bali@zigram.tech,person (Tracxn),zigram.tech,312,2018,8,Gurugram,Haryana,FinTech,"Cybersecurity > Anti Fraud > Financial Fraud,
 GRC Software > Compliance > Industry > Banking & Finance > AML & CTF,
 Pa",Unfunded,200,6182775,124398,,"Abhishek Bali; Co-Founder & CEO; abhishek.bali@zigram.tech; Co-Founder-ZIGRAM,Sullivan & Bailey | Ex-BMR Advisors,KPMG India,Dun & Bradstreet India | Institute of Hotel Management BSc2006,Symbiosis Institute of Management StudiesMBA 2011
 Rahul Pagare; Co-Founder & Chief Financial Officer; Co-Founder-ZIGRAM,Swabhimaanya | Ex-GOLDMAN SACHS,Ernst & Young,ATS Services | Institute of Chartered Accountants of India 1995",abhishek.bali@zigram.tech,support@zigram.tech,-7838383458,"https://linkedin.com/in/abhishekbali85,
 https://www.linkedin.com/in/rahul-pagare-027853a/",https://linkedin.com/company/zigram/about,https://www.zigram.tech/us/,https://platform.tracxn.com/companies/GXbtOo-MuZnNmad8YZnU12db9dbLo8xrDPSKTR6msbY/zigram.tech
0.0,100,60.4,buildAhome,abhijith@buildahome.in,person (Tracxn),buildahome.in,190,2016,10,Bengaluru,Karnataka,Real Estate and Construction Tech,Construction Tech > Tech Enabled Builder,Unfunded,200,15132587,644823,,"Abhijith Priyan; CEO; abhijith@buildahome.in; Scenicbeauty Homes, ex-Promax Management Consultants.",abhijith@buildahome.in,contact@buildahome.in,-7090005509,"https://linkedin.com/in/abhijith-rampriyan-a9a9b378,
 https://www.linkedin.com/in/abhijith-priyan-a7360a145/",https://linkedin.com/company/build-a-home-official,https://www.buildahome.in/,https://platform.tracxn.com/companies/jBFD5IhScg9ardnS5yLnlUC9sXct5UE5IfYRbaWHNu4/buildahome.in
0.0,100,60.0,Inverted Energy,aditya.goel@inverted.in,person (Tracxn),inverted.in,212,2017,9,Delhi,Delhi,Energy Tech,"Electric Vehicles > Components > Batteries > Multi Category Vehicles > Lithium Ion,
 Energy Storage Tech > Battery > Sec",Unfunded,200,24336089,1179359,,"Aditya Goel; Co-Founder & Director; aditya.goel@inverted.in; Founder Ornate Solar, Co-Founder Clean Hedge, Reqip. IIT Varanasi BE 2008
 Raghav Jain; Co-Founder; raghav.jain@inverted.in; Ex-Founder Finura Acoustics, TalentPad, JP Morgan. IIT Varanasi BTech
 Rahul Raj; Co-Founder; rahul.raj@inverted.in; Ex-Novartis, ZS Associates, Evalueserve. Indian Institute of Technology (Banaras Hindu University), Varanasi BTech 2008","aditya.goel@inverted.in,
 raghav.jain@inverted.in,
 rahul.raj@inverted.in",info@inverted.in,-9711497361,"https://linkedin.com/in/aditya-goel-7184368,
 https://linkedin.com/in/raghavjain1,
 https://linkedin.com/in/rajrahul",https://linkedin.com/company/inverted,https://inverted.in,https://platform.tracxn.com/companies/Oh5QfEFkmSye-sQhibszmKYryD_HvD5Jurb-Lk5xS5g/inverted.in
0.0,100,59.8,Aanvii Hearing,vishal.shah@aanviihearing.com,person (Tracxn),aanviihearing.com,194,2014,12,Bengaluru,Karnataka,HealthTech,Healthcare Booking Platforms > Pharmacies > Medical Devices > Hearing Aids,Unfunded,200,8706166,182554,,Vishal Shah; Founder & CEO; vishal.shah@aanviihearing.com; Ex-Sri Ghantakarn Associates. Kalpataru Science College BSc 1996,vishal.shah@aanviihearing.com,services@aanviihearing.com,-8041503568,https://linkedin.com/in/vishal-shah-4a063589,https://linkedin.com/company/aanviihearing,https://aanviihearing.com,https://platform.tracxn.com/companies/tyhWA7dClOArcKlwq5XTVmi5CRRJuXYxtUdsiI-jDUs/aanviihearing.com
0.0,100,59.7,M1NXT,sundeep.mohindru@m1nxt.com,person (Tracxn),m1nxt.com,342,2022,4,Gandhinagar,Gujarat,Consumer,Logistics Tech > Freight > Trucking > Technology Enablers > Payments > Freight Factoring,Unfunded,200,12388349,1426421,,"Sundeep Mohindru; Co-Founder; sundeep.mohindru@m1nxt.com; M1Xchange, ex-Sundeep Mohindru and Associates, SNB.
 Munindra Kumar Verma; CEO; munindra.verma@m1nxt.com; Ex-YES Bank, Royal Bank of Scotland, ICICI Bank.","sundeep.mohindru@m1nxt.com,
 munindra.verma@m1nxt.com",helpdesk@m1nxt.com,-18001037170,"https://linkedin.com/in/sundeep-mohindru-838a29,
 https://www.linkedin.com/in/munindraverma/",http://linkedin.com/company/m1nxt/,https://www.m1nxt.com/,https://platform.tracxn.com/companies/IiG5Li9wO0qMlWI5Gg3KlcTlVYMfCsDafTmyLcDyn5Y/m1nxt.com
0.0,100,55.9,Cordelia Cruises,jurgen.bailom@cordeliacruises.com,person (Tracxn),cordeliacruises.com,248,2020,6,Mumbai,Maharashtra,Consumer,Online Travel > Transportation > Cruise > Online Agency,Unfunded,200,70700413,19894741,,"Jurgen Bailom; CEO; jurgen.bailom@cordeliacruises.com; Cordelia Cruises, ex-Grupo Vidanta, ex-Royal Caribbean International, Military Academy, National Service, 1990",jurgen.bailom@cordeliacruises.com,"travelops@cordeliacruises.com,
 info@cordeliacruises.com",-2268811020,https://www.linkedin.com/in/jurgenbailom/,https://linkedin.com/company/cordeliacruises,https://www.cordeliacruises.com,https://platform.tracxn.com/companies/rL5q3MkxIRnM6_jq9ggz4isPdCOwFoMWkOVy6KuYn6w/cordeliacruises.com
0.0,100,55.2,Finkeda,sunil.chauhan@finkeda.com,person (Tracxn),finkeda.com,214,2019,7,Gurugram,Haryana,FinTech,Payments > Business Payments > Agent Based Payments,Unfunded,200,22466147,1628699,,"Sunil Chauhan; Co-Founder and Chief Business Officer; sunil.chauhan@finkeda.com; Ex - DhanHind, ROI Net Solution, Spice Money. Sikkim Manipal Institute of Technology SMU B.S.C.I.T
 Manish Goyal; Founder & Director; Ikeda, Gyan Jyoti College - India, 1997",sunil.chauhan@finkeda.com,help@finkeda.com,-9079467717,"https://www.linkedin.com/in/sunil-chauhan-38a9b428/,
 https://linkedin.com/in/manishgoyal21",https://linkedin.com/company/ikeda-pvt-ltd,https://finkeda.com,https://platform.tracxn.com/companies/HOdZ-LhSV-BWGu3k1WNcHfkLiqFvTTVHl8zq9I5sVc8/finkeda.com
0.0,100,54.3,Jukshio,shivani@jukshio.com,person (Tracxn),jukshio.com,205,2019,7,Hyderabad,Telangana,FinTech,"Cybersecurity > IAM > Customer IAM,
 Security & Surveillance Technology > PIAM > Biometrics System > Facial Biometrics,
",Unfunded,200,20912381,1149786,,"Shivani Pulimamidi; Co-Founder & COO; shivani@jukshio.com; Co-Founder & Co-CEO Sukshi, Jukshio, NeuRetail | Rutgers University BSc 2003
 Sridhar Tirumala; CEO; sridhar@jukshio.com; Co-Founder & CEO Sukshi, NeuRetail, Jukshio | Ex-Trupik, Synopsys | Virginia Tech PhD 1999","shivani@jukshio.com,
 sridhar@jukshio.com",info@jukshio.com,-8618104655,"https://www.linkedin.com/in/shivanip/,
 https://www.linkedin.com/in/sridhar-tirumala-0556142/",https://linkedin.com/company/jukshio,https://www.jukshio.com/,https://platform.tracxn.com/companies/rpIbjYIuvoA24dQeAWkQbARJt_Pu9oTsicGpUZfWESQ/jukshio.com
0.0,100,47.1,Habuild,trishala@habuild.in,person (Tracxn),habuild.in,336,2022,4,Nagpur,Maharashtra,HealthTech,Fitness & Wellness Tech > Physical Fitness > Fitness and Diet Training Apps > Fitness > Video Lessons > Live > Yoga,Unfunded,200,13204598,6720737,,"Anshul Agrawal; Co-Founder; Habuild, ex-Rario, ex-Kotak Mahindra Bank, Indian Institute of Management, Calcutta, 2018
 Saurabh Bothra; Co-Founder; Habuild, ex-Iit, Indian Institute of Technology (Banaras Hindu University), Varanasi, 2014
 Trishala Bothra; Co-Founder; trishala@habuild.in; Ex-EY-Parthenon, GEP Worldwide, IIT Bombay Sports. IIT Bombay BTech 2018, London Business School 2020",trishala@habuild.in,yogaeveryday@habuild.in,-7126924454,"https://linkedin.com/in/anshul-agrawal-8001b031,
 https://linkedin.com/in/saurabhbothra,
 https://linkedin.com/in/trishala-bothra-302604b8",https://linkedin.com/company/habuild,https://habuild.in,https://platform.tracxn.com/companies/20Xoiqn6hjyRf_Z6yfwMWy9m9oaPEkxYzZzlG71sT8c/habuild.in
0.0,100,44.8,Flexnest,raunaq@theflexnest.com,person (Tracxn),theflexnest.com,194,2020,6,Gurugram,Haryana,HealthTech,Fitness & Wellness Tech > Physical Fitness > Smart Exercising Equipment > Smart Equipment and Accessories > Home Gyms,Unfunded,200,3257483,189004,,"Raunaq Singh Anand; Co-Founder; raunaq@theflexnest.com; AMP Group. University of California Berkeley BS 2014, Duke University MMS 2016
 Rhea Nihal Singh Anand; Co-Founder; Ex-Anand Motor Products, PR Pundit. Emory University 2016",raunaq@theflexnest.com,orders@theflexnest.com,-9310840412,"https://linkedin.com/in/raunaqanand,
 https://linkedin.com/in/rhea-nihal-singh-anand-765b642a",https://linkedin.com/company/flexnest,https://www.theflexnest.com/,https://platform.tracxn.com/companies/Ap8-adFrR1aNsABbjwfUB06i4MAXoqrDbXccBq8VRs8/theflexnest.com
0.0,100,43.9,Infraon,satish@infraon.io,person (Tracxn),infraon.io,211,2021,5,Bengaluru,Karnataka,Enterprise Infrastructure,IT Operations > Unified IT Management,Unfunded,200,6817260,1671328,,"Arun Prasath; Founder; 10xwinners, ex-Dmx Technologies, ex-Hsbsoft Technologies, Visvesvaraya Technological University
 Satish Kumar Viswanathan; Co-Founder & CEO; satish@infraon.io; Founder & CEO EverestIMS Technologies, ex-DMX India, HSBSoft Technologies, Tecknodreams.",satish@infraon.io,sales@infraon.io,-415322222,"https://linkedin.com/in/arunprasath-r,
 https://linkedin.com/in/satish-kumar-v",https://linkedin.com/company/infraon,https://infraon.io,https://platform.tracxn.com/companies/c1DDhqTezoLrTLksRTB0Weuf_PMIl13VNlm7jG2Pepw/infraon.io
0.0,100,43.5,Talent500,monica@talent500.co,person (Tracxn),talent500.com,255,2018,8,Bengaluru,Karnataka,Enterprise Applications,HRTech > Job Board > Job Matching,Unfunded,200,8383024,978664,,"Vikram Ahuja; Founder & CEO; Co-Founder ANSR, Founder Byond Travel, ex-Parallel XR. RV College Of Engineering BSc 2005, IESE Business School MBA 2010
 Monica Jamwal; Managing Director; monica@talent500.co; Managing Director : Talent Solutions - Talent500",monica@talent500.co,support@talent500.co,-1244444909,"https://linkedin.com/in/vikramahuja1,
 https://linkedin.com/in/monicajamwal",https://linkedin.com/company/talent500/about,https://talent500.com,https://platform.tracxn.com/companies/0ed-FP1LunD8DeWxvWAReRrBIxgU7EfDg2qQTbAhc3Q/talent500.com
0.0,100,43.1,EverestIMS Technologies,sudhakar@everestims.com,person (Tracxn),everestims.com,224,2017,9,Bengaluru,Karnataka,Enterprise Infrastructure,IT Operations > Unified IT Management,Unfunded,200,6817260,1671328,,"Sudhakar Aruchamy; Co-Founder & CTO; sudhakar@everestims.com; Ex-DMX Technologies Group, HSBSoft Technologies
 Satish Kumar; Co-Founder & CEO; satish@everestims.com; Founder & CEO Infraon, ex-DMX, HSBSoft Technologies. MGR BE 2001","sudhakar@everestims.com,
 satish@everestims.com",sales@everest-ims.com,-8046567009,"https://www.linkedin.com/in/sudhakar-aruchamy-604a6370/?originalSubdomain=in,
 https://linkedin.com/in/satish-kumar-v",https://linkedin.com/company/everestims,https://everestims.com,https://platform.tracxn.com/companies/7QneLIyEk-wUC3YGmxNhzdBijk6K3b_ZShKMz5OXs_c/everestims.com
0.0,100,40.4,Akrivia HCM,rahul.kalidindi@akriviahcm.com,person (Tracxn),akriviahcm.com,222,2018,8,Visakhapatnam,Andhra Pradesh,Enterprise Applications,HRTech > HRMS > Suite > Enterprise,Unfunded,200,3705664,98003,,"Kalidindi Raghu; Co-Founder & Head of Operations
 Rahul Varma Kalidindi; Co-Founder & CEO; rahul.kalidindi@akriviahcm.com; Raghu Engineering College BTech 2013, UC Berkeley College of Engineering ME 2016",rahul.kalidindi@akriviahcm.com,sales@akrivia.in,-9866898677,https://linkedin.com/in/rahulkalidindi,https://linkedin.com/company/akrivia-hcm,https://akriviahcm.com,https://platform.tracxn.com/companies/qEm7xEVxO2AcATDu7TBXVkfNeNY8wvaNnCB1Tzes648/akriviahcm.com
0.0,100,37.4,Exicom,sandeep.agarwal@exicom.co.in,person (Tracxn),exicom.co.in,190,2018,8,Mumbai,Maharashtra,"Aerospace, Maritime and Defense Tech",Military Tech > Non Combat Systems > C4ISR > Communications > Radio Systems,Unfunded,200,3974683,1253713,,"Sandeep Agarwal; Founder; sandeep.agarwal@exicom.co.in; Founder Excellence Group of Companies, Brij Systems.
 Ashish Padte; CEO; ashish.padte@exicom.co.in","sandeep.agarwal@exicom.co.in,
 ashish.padte@exicom.co.in",info@exicom.co.in,-2228830171,"https://linkedin.com/in/sandeep-agarwal-a2147212,
 https://linkedin.com/in/ashishpadte",https://linkedin.com/company/exicomtechnologies,https://exicom.co.in,https://platform.tracxn.com/companies/zSNf7OTiogPTanhVSShBqIwJG3es82MasmlZSzQHbbA/exicom.co.in
0.0,90,71.9,Avvatar,devendra.shah@parag.com,person (Tracxn),avvatarindia.com,312,2016,10,Mumbai,Maharashtra,Food and Agriculture Tech,"Fitness & Wellness Tech > Commerce > Supplements > Sports Nutrition,
 Online Grocery > B2C Ecommerce > Nutrition Product",Unfunded,200,410760147,14051766,,"Devendra Shah; Founder & Owner; devendra.shah@parag.com; Parag Milk Foods.
 Pritam Shah; Managing Director",devendra.shah@parag.com,customercare@parag.com,-2243005489,https://linkedin.com/in/devendra-shah-72567328,,https://www.avvatarindia.com/,https://platform.tracxn.com/companies/RxQ6YL_S6dgGTrtnugYo9RDzE-DglCkdR4rqByyUz60/avvatarindia.com
0.0,90,66.6,Blisson,tushar.patil@blisson.health,person (Tracxn),blisson.health,400,2019,7,Mumbai,Maharashtra,Healthcare,"Women Health > Drugs > Reproductive Diseases > Infertility,
 Diversified Pharmaceuticals > Drugs",Unfunded,200,5871513,41063,,"Tushar Patil; Founder & CEO; tushar.patil@blisson.health; Ex-Wanbury. R C Patel Collage of Pharmacy BPham, Savitribai Phule Pune University MBA 2000
 Tushar Patil; Founder; tushar.patil@blisson.health; Akumentis Healthcare, ex-Wanbury, Emcure Pharmaceuticals. R C Patel Collage of Pharmacy BPharm 1996, Savitribai Phule Pune University MBA 2000","tushar.patil@blisson.health,
 tushar.patil@blisson.health",connect@blisson.health,-2267828509,"https://www.linkedin.com/in/tusharmpatil/,
 https://linkedin.com/in/tusharmpatil",,https://www.blisson.health/,https://platform.tracxn.com/companies/3Fg8nzVwCK0V5y9ZIyTZtbukz50Xah6Z5_XLONJhZAI/blisson.health
0.0,90,66.2,Pocketly,aarav@pocketly.in,person (Tracxn),pocketly.in,395,2019,7,Bengaluru,Karnataka,FinTech,Alternative Lending > Online Lenders > Consumer Loans > Personal Loans > Direct Lender,Seed,200,4373163,1624898,2832433,"Aarav Bhatia; Co-Founder & Director; aarav@pocketly.in; Vellore Institute of Technology BE 2019
 Navdeesh Ahuja; Co-Founder & Director; navdeesh@pocketly.in; Ex-Udaan.com, Team Go. Vellore Institute of Technology BTech 2019","aarav@pocketly.in,
 navdeesh@pocketly.in","support@pocketly.in,
 care@help.pocketly.in",-8064892909,"https://linkedin.com/in/aarav-bhatia-630416106,
 https://linkedin.com/in/navdeeshahuja",https://linkedin.com/company/pocketly,https://pocketly.in,https://platform.tracxn.com/companies/lxbZ8vZhztMJlBcwtf6XX2yg-gGbfVW68c6AEmcVI9o/pocketly.in
0.0,90,65.2,Vernost,himanshoo.patil@vernost.com,person (Tracxn),vernost.com,188,2014,12,Mumbai,Maharashtra,Enterprise Applications,"Loyalty Software > Standalone Loyalty > Multi-Industry > Loyalty Management Platforms,
 Payments > Business Payments > I",Unfunded,200,48389853,4006143,,"Himanshoo Patil; Co-Founder & CCO; himanshoo.patil@vernost.com; Ex-BuySmart EPRS, ANMsoft Technologies, SLMsoft. Nagpur University BTech 1998, University of Mumbai MBA 2000
 Darshana Jagtap; Co-Founder & Director; darshana.jagtap@vernost.com; Co-Founder Commerce Bay, ex-Loylty Rewardz Mngt, Sumer Group, Integrated Leasing.","himanshoo.patil@vernost.com,
 darshana.jagtap@vernost.com",,-7045051009,"https://linkedin.com/in/himanshoopatil,
 https://linkedin.com/in/darshana-jagtap-30423b123",https://linkedin.com/company/vernostmarketingtechnologysolutions,https://www.vernost.com/,https://platform.tracxn.com/companies/9ycVAcAxIYHsYko8S64TxJlblua2xI3hJCdotgcXIF4/vernost.com
0.0,90,59.9,Gameberry Labs,afsar@gameberrylabs.com,person (Tracxn),gameberrylabs.com,339,2017,9,Bengaluru,Karnataka,Mobile,Mobile Gaming > Game Developers > Casual > Board Games,Unfunded,200,73620777,13012227,,"Afsar Ahmad; Co-Founder; afsar@gameberrylabs.com; Ex-Co-Founder Halfteaspoon, Moonfrog Labs, Capillary Technologies. IIT Kharagpur BTech 2013
 Govind Agarwal; Co-Founder; govind@gameberrylabs.com; Ex-Moonfrog Labs, Capillary Technologies. IIT Kharagpur MTech 2014","afsar@gameberrylabs.com,
 govind@gameberrylabs.com",support@gameberrylabs.com,,"http://linkedin.com/in/afsarahmad,
 http://linkedin.com/in/govind4485",https://linkedin.com/company/gameberry-labs,https://gameberrylabs.com,https://platform.tracxn.com/companies/j5am6SYKBgXxe_1eKU0JT4bym336kc0YJUrRh8ZYL9w/gameberrylabs.com
0.0,90,58.0,Adro Clothing,amit@adro.in,person (Tracxn),adro.in,201,2015,11,Bengaluru,Karnataka,Consumer,Fashion Tech > B2C Commerce > Apparel > Casual Wear > Multi Category > Men > Internet First Brand,Unfunded,200,1831540,53038,,"Sarbajit Ghose; Co-Founder
 Amit Saibannavar; Co-Founder; amit@adro.in; Ex-TrueNorth Resources, Co-Founder United Fashion Mart, Prasad Bidapa Associates. K.L.E. Societys Law College 2007",amit@adro.in,info@adro.in,,http://linkedin.com/in/amit-saibannavar-40194752,https://linkedin.com/company/belsi-retail-private-limited,https://adro.in,https://platform.tracxn.com/companies/s-7JvVObeSZkxeM2hYAjmQXXLdpXjg0aViolP33h8b0/adro.in
